ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
COP,2006-01-03,23.39,23.49,22.72,22.74,41127558,60.51,60.77,58.79,58.84,15894500,2026-02-21T03:45:39Z
COP,2006-01-04,23.19,23.42,23.02,23.29,28436742,60,60.59,59.57,60.25,10989900,2026-02-21T03:45:39Z
COP,2006-01-05,23.01,23.22,22.84,23.13,31964792,59.53,60.08,59.1,59.85,12353400,2026-02-21T03:45:39Z
COP,2006-01-06,23.53,23.63,23.17,23.29,30687066,60.89,61.13,59.95,60.25,11859600,2026-02-21T03:45:39Z
COP,2006-01-09,23.53,23.76,23.35,23.73,25699121,60.88,61.47,60.43,61.4,9931900,2026-02-21T03:45:39Z
COP,2006-01-10,23.48,23.75,23.37,23.44,22356475,60.76,61.44,60.47,60.65,8640100,2026-02-21T03:45:39Z
COP,2006-01-11,23.49,23.62,23.16,23.44,28214192,60.77,61.11,59.93,60.65,10903900,2026-02-21T03:45:39Z
COP,2006-01-12,23.49,24.02,23.35,23.71,33441004,60.77,62.14,60.42,61.35,12923900,2026-02-21T03:45:39Z
COP,2006-01-13,23.48,23.6,23.29,23.34,26071902,60.76,61.07,60.25,60.4,10076000,2026-02-21T03:45:39Z
COP,2006-01-17,24.85,24.97,23.87,23.88,50051090,64.29,64.6,61.76,61.8,19343200,2026-02-21T03:45:39Z
COP,2006-01-18,24.51,25.08,24.17,25.08,30885272,63.41,64.9,62.55,64.9,11936200,2026-02-21T03:45:39Z
COP,2006-01-19,24.82,24.89,24.33,24.72,30641755,64.21,64.41,62.96,63.95,11842100,2026-02-21T03:45:39Z
COP,2006-01-20,24.99,25.6,24.81,24.95,40732922,64.65,66.25,64.2,64.56,15742000,2026-02-21T03:45:39Z
COP,2006-01-23,25.09,25.19,24.22,24.37,31611077,64.91,65.19,62.68,63.05,12216700,2026-02-21T03:45:39Z
COP,2006-01-24,24.92,25.27,24.65,24.72,28694692,64.48,65.39,63.77,63.97,11089600,2026-02-21T03:45:39Z
COP,2006-01-25,24.56,25.46,24.15,25.33,35150874,63.54,65.87,62.5,65.55,13584700,2026-02-21T03:45:39Z
