ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
CRM,2006-01-03,8.46,8.51,7.8,7.93,6752291,34.24,34.44,31.6,32.1,1667800,2025-12-20T03:44:56Z
CRM,2006-01-04,8.88,8.91,8.41,8.41,8981366,35.97,36.09,34.04,34.05,2218400,2025-12-20T03:44:56Z
CRM,2006-01-05,8.91,8.97,8.72,8.88,4228349,36.06,36.3,35.31,35.97,1044400,2025-12-20T03:44:56Z
CRM,2006-01-06,9.84,9.92,9.29,9.29,18918313,39.85,40.15,37.6,37.6,4672800,2025-12-20T03:44:56Z
CRM,2006-01-09,9.52,9.75,9.51,9.73,12337259,38.53,39.46,38.5,39.4,3047300,2025-12-20T03:44:56Z
CRM,2006-01-10,9.45,9.46,9.03,9.36,12427596,38.25,38.3,36.57,37.9,3069600,2025-12-20T03:44:56Z
CRM,2006-01-11,9.45,9.53,9.3,9.51,7959185,38.27,38.6,37.65,38.5,1965900,2025-12-20T03:44:56Z
CRM,2006-01-12,9.45,9.56,9.36,9.47,4972901,38.25,38.7,37.91,38.35,1228300,2025-12-20T03:44:56Z
CRM,2006-01-13,9.42,9.54,9.38,9.39,2836845,38.13,38.62,37.97,38.03,700700,2025-12-20T03:44:56Z
CRM,2006-01-17,9.63,9.68,9.37,9.4,4269244,38.99,39.17,37.95,38.04,1054500,2025-12-20T03:44:56Z
CRM,2006-01-18,10.27,10.36,9.21,9.21,11075336,41.59,41.96,37.3,37.3,2735600,2025-12-20T03:44:56Z
CRM,2006-01-19,10.2,10.32,10.14,10.14,4785019,41.3,41.8,41.05,41.05,1181900,2025-12-20T03:44:56Z
CRM,2006-01-20,9.86,10.37,9.86,10.2,6244945,39.93,41.99,39.93,41.29,1542500,2025-12-20T03:44:56Z
CRM,2006-01-23,9.86,9.91,9.79,9.89,3620242,39.9,40.11,39.63,40.04,894200,2025-12-20T03:44:56Z
