ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
CVX,2006-01-03,27.15,27.16,26.22,26.31,28935331,59.08,59.1,57.06,57.25,13296000,2026-02-21T03:45:41Z
CVX,2006-01-04,27.07,27.15,26.85,27.15,19235367,58.91,59.08,58.43,59.08,8838800,2026-02-21T03:45:41Z
CVX,2006-01-05,26.74,27.09,26.58,26.96,18791382,58.19,58.96,57.85,58.68,8634800,2026-02-21T03:45:41Z
CVX,2006-01-06,27.23,27.37,26.92,27.09,20911456,59.25,59.57,58.59,58.95,9609000,2026-02-21T03:45:41Z
CVX,2006-01-09,27.09,27.38,26.9,27.34,14019994,58.95,59.58,58.55,59.49,6442300,2026-02-21T03:45:41Z
CVX,2006-01-10,27.22,27.33,27,27,15166848,59.24,59.48,58.75,58.76,6969300,2026-02-21T03:45:41Z
CVX,2006-01-11,27.5,27.57,26.95,27.21,14039560,59.84,60,58.65,59.22,6451300,2026-02-21T03:45:41Z
CVX,2006-01-12,27.52,27.84,27.39,27.57,16398429,59.89,60.59,59.61,60,7535200,2026-02-21T03:45:41Z
CVX,2006-01-13,27.74,27.86,27.46,27.52,12769746,60.36,60.62,59.75,59.89,5867800,2026-02-21T03:45:41Z
CVX,2006-01-17,28.43,28.44,27.9,27.98,19046000,61.86,61.9,60.72,60.9,8751800,2026-02-21T03:45:41Z
CVX,2006-01-18,27.98,28.49,27.78,28.48,19773061,60.9,62,60.46,61.98,9085900,2026-02-21T03:45:41Z
CVX,2006-01-19,28.31,28.38,27.67,27.75,17146377,61.6,61.75,60.21,60.4,7878900,2026-02-21T03:45:41Z
CVX,2006-01-20,28.09,28.69,27.92,28.49,24354334,61.12,62.43,60.75,62,11191000,2026-02-21T03:45:41Z
CVX,2006-01-23,28.59,28.66,27.81,28.07,19505205,62.21,62.38,60.52,61.09,8962800,2026-02-21T03:45:41Z
CVX,2006-01-24,28.51,28.82,28.4,28.51,18280620,62.05,62.72,61.8,62.05,8400100,2026-02-21T03:45:41Z
CVX,2006-01-25,28.15,28.74,27.81,28.63,27087411,61.26,62.55,60.53,62.3,12446900,2026-02-21T03:45:41Z
CVX,2006-01-26,27.67,28.26,27.62,28.26,31392023,60.22,61.5,60.11,61.5,14424900,2026-02-21T03:45:41Z
