ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
DE,2006-01-03,23.15,23.3,23.11,23.16,5938901,68,68.43,67.86,68.01,2022100,2026-01-03T03:45:15Z
DE,2006-01-04,23.18,23.33,23.02,23.15,6550074,68.09,68.52,67.61,68,2230200,2026-01-03T03:45:15Z
DE,2006-01-05,23.22,23.26,23.03,23.03,5651074,68.2,68.31,67.65,67.65,1924100,2026-01-03T03:45:15Z
DE,2006-01-06,23.3,23.43,23.26,23.31,4358211,68.43,68.8,68.31,68.45,1483900,2026-01-03T03:45:15Z
DE,2006-01-09,23.44,23.53,23.28,23.3,4682161,68.83,69.12,68.36,68.43,1594200,2026-01-03T03:45:15Z
DE,2006-01-10,23.45,23.45,23.16,23.39,3598411,68.86,68.86,68.02,68.7,1225200,2026-01-03T03:45:15Z
DE,2006-01-11,23.54,23.63,23.26,23.45,3934981,69.15,69.41,68.3,68.86,1339800,2026-01-03T03:45:15Z
DE,2006-01-12,23.59,23.7,23.33,23.58,3318222,69.28,69.6,68.52,69.26,1129800,2026-01-03T03:45:15Z
DE,2006-01-13,23.7,23.72,23.53,23.66,3050068,69.6,69.66,69.1,69.5,1038500,2026-01-03T03:45:15Z
DE,2006-01-17,23.97,24,23.49,23.52,5122113,70.39,70.48,68.98,69.08,1744000,2026-01-03T03:45:15Z
DE,2006-01-18,23.97,24.01,23.79,23.82,3203378,70.41,70.53,69.86,69.95,1090700,2026-01-03T03:45:15Z
DE,2006-01-19,23.99,24.34,23.98,24.04,4074201,70.47,71.49,70.43,70.6,1387200,2026-01-03T03:45:15Z
DE,2006-01-20,23.45,24.11,23.43,24.11,4465119,68.86,70.82,68.8,70.81,1520300,2026-01-03T03:45:15Z
DE,2006-01-23,23.56,23.72,23.33,23.43,2691754,69.2,69.67,68.51,68.8,916500,2026-01-03T03:45:15Z
DE,2006-01-24,24.08,24.23,23.61,23.64,3381954,70.72,71.17,69.35,69.43,1151500,2026-01-03T03:45:15Z
