ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
DHR,2006-01-03,17.56,17.61,17.1,17.48,4084298,56.36,56.51,54.89,56.09,1272500,2025-12-30T03:44:48Z
DHR,2006-01-04,17.63,17.72,17.49,17.56,4299020,56.6,56.88,56.14,56.36,1339400,2025-12-30T03:44:48Z
DHR,2006-01-05,17.47,17.71,17.36,17.61,5211526,56.06,56.85,55.71,56.53,1623700,2025-12-30T03:44:48Z
DHR,2006-01-06,17.73,17.81,17.67,17.69,4231304,56.9,57.15,56.71,56.79,1318300,2025-12-30T03:44:48Z
DHR,2006-01-09,17.65,17.75,17.55,17.73,3695945,56.65,56.96,56.33,56.9,1151500,2025-12-30T03:44:48Z
DHR,2006-01-10,17.46,17.65,17.42,17.65,5168541,56.04,56.66,55.91,56.66,1610300,2025-12-30T03:44:48Z
DHR,2006-01-11,17.24,17.46,17.19,17.45,6173803,55.34,56.05,55.17,56.02,1923500,2025-12-30T03:44:48Z
DHR,2006-01-12,16.97,17.22,16.95,17.2,5043675,54.47,55.27,54.4,55.19,1571400,2025-12-30T03:44:48Z
DHR,2006-01-13,17.23,17.43,16.99,17.04,7392518,55.29,55.96,54.52,54.68,2303200,2025-12-30T03:44:48Z
DHR,2006-01-17,17.14,17.2,16.98,17.03,3920301,55,55.2,54.5,54.65,1221400,2025-12-30T03:44:48Z
DHR,2006-01-18,17.25,17.35,17,17.11,3125903,55.38,55.7,54.57,54.9,973900,2025-12-30T03:44:48Z
DHR,2006-01-19,17.32,17.44,17.24,17.31,3736696,55.6,55.98,55.34,55.56,1164200,2025-12-30T03:44:48Z
DHR,2006-01-20,16.93,17.3,16.93,17.3,6558322,54.35,55.53,54.33,55.53,2043300,2025-12-30T03:44:48Z
DHR,2006-01-23,16.93,16.99,16.84,16.95,4088479,54.35,54.53,54.04,54.4,1273800,2025-12-30T03:44:48Z
DHR,2006-01-24,17.04,17.12,16.91,16.94,5585154,54.7,54.95,54.28,54.38,1740100,2025-12-30T03:44:48Z
DHR,2006-01-25,16.92,17.11,16.9,17.01,5253274,54.3,54.93,54.23,54.6,1636700,2025-12-30T03:44:48Z
DHR,2006-01-26,17.23,17.4,17.09,17.23,5653826,55.3,55.85,54.84,55.3,1761500,2025-12-30T03:44:48Z
DHR,2006-01-27,17.31,17.45,17.15,17.35,3711344,55.55,56,55.06,55.7,1156300,2025-12-30T03:44:48Z
DHR,2006-01-30,17.69,17.9,17.35,17.38,5935979,56.79,57.44,55.7,55.77,1849400,2025-12-30T03:44:48Z
DHR,2006-01-31,17.65,17.75,17.47,17.57,3854168,56.64,56.97,56.06,56.4,1200800,2025-12-30T03:44:48Z
DHR,2006-02-01,17.68,17.7,17.46,17.53,3459064,56.75,56.81,56.05,56.27,1077700,2025-12-30T03:44:48Z
DHR,2006-02-02,17.48,17.71,17.37,17.71,3102465,56.12,56.85,55.76,56.85,966600,2025-12-30T03:44:48Z
DHR,2006-02-03,17.29,17.5,17.26,17.42,3471572,55.49,56.17,55.4,55.9,1081600,2025-12-30T03:44:48Z
DHR,2006-02-06,17.41,17.45,17.21,17.27,2560034,55.88,56.02,55.25,55.42,797600,2025-12-30T03:44:48Z
DHR,2006-02-07,17.2,17.43,17.2,17.41,3799290,55.22,55.95,55.2,55.89,1183700,2025-12-30T03:44:48Z
DHR,2006-02-08,17.51,17.54,17.18,17.29,4536546,56.19,56.31,55.15,55.5,1413400,2025-12-30T03:44:48Z
DHR,2006-02-09,17.53,17.71,17.43,17.51,3069415,56.25,56.84,55.93,56.19,956300,2025-12-30T03:44:48Z
DHR,2006-02-10,17.61,17.64,17.42,17.53,2565494,56.51,56.62,55.9,56.26,799300,2025-12-30T03:44:48Z
DHR,2006-02-13,17.67,17.7,17.54,17.61,2342737,56.73,56.8,56.3,56.52,729900,2025-12-30T03:44:48Z
DHR,2006-02-14,18,18.05,17.56,17.68,3941480,57.76,57.93,56.37,56.75,1228000,2025-12-30T03:44:48Z
DHR,2006-02-15,18.02,18.07,17.68,17.93,2836056,57.85,57.99,56.75,57.56,883600,2025-12-30T03:44:48Z
DHR,2006-02-16,18.53,18.57,18.05,18.07,8152251,59.48,59.6,57.94,57.99,2539900,2025-12-30T03:44:48Z
DHR,2006-02-17,18.69,18.81,18.42,18.81,4982371,59.98,60.37,59.13,60.37,1552300,2025-12-30T03:44:48Z
DHR,2006-02-21,18.69,18.78,18.64,18.69,3618894,59.99,60.27,59.83,60,1127500,2025-12-30T03:44:48Z
DHR,2006-02-22,19.05,19.13,18.85,18.89,5584503,61.16,61.4,60.5,60.64,1739900,2025-12-30T03:44:48Z
DHR,2006-02-23,19.15,19.43,18.99,19.11,5132588,61.46,62.38,60.95,61.32,1599100,2025-12-30T03:44:48Z
DHR,2006-02-24,19.08,19.15,18.94,19.15,2862383,61.23,61.47,60.78,61.47,891800,2025-12-30T03:44:48Z
DHR,2006-02-27,19.22,19.32,19.08,19.18,2428441,61.69,62.02,61.24,61.55,756600,2025-12-30T03:44:48Z
DHR,2006-02-28,18.87,19.13,18.77,19.05,4595272,60.58,61.4,60.23,61.13,1431700,2025-12-30T03:44:48Z
DHR,2006-03-01,19.07,19.09,18.8,18.86,3122369,61.2,61.28,60.33,60.53,972800,2025-12-30T03:44:48Z
DHR,2006-03-02,18.97,19.18,18.83,18.9,4318619,60.89,61.55,60.43,60.65,1345500,2025-12-30T03:44:48Z
DHR,2006-03-03,19,19.18,18.77,18.81,2722762,60.97,61.55,60.26,60.38,848300,2025-12-30T03:44:48Z
DHR,2006-03-06,18.81,19.07,18.79,18.96,2838302,60.37,61.21,60.3,60.85,884300,2025-12-30T03:44:48Z
DHR,2006-03-07,19.05,19.11,18.76,18.82,3098299,61.15,61.32,60.21,60.4,965300,2025-12-30T03:44:48Z
DHR,2006-03-08,19.03,19.09,18.85,19.01,3573330,61.08,61.27,60.49,61,1113300,2025-12-30T03:44:48Z
DHR,2006-03-09,19.07,19.3,19.01,19.03,3695942,61.22,61.96,61,61.09,1151500,2025-12-30T03:44:48Z
DHR,2006-03-10,19.1,19.12,18.92,19.07,4118969,61.3,61.36,60.71,61.22,1283300,2025-12-30T03:44:48Z
DHR,2006-03-13,19.15,19.2,18.99,19.18,2200871,61.46,61.64,60.95,61.55,685700,2025-12-30T03:44:48Z
DHR,2006-03-14,19.49,19.54,19.06,19.12,3284777,62.57,62.73,61.16,61.36,1023400,2025-12-30T03:44:48Z
DHR,2006-03-15,19.57,19.63,19.41,19.45,4376392,62.8,63.02,62.31,62.43,1363500,2025-12-30T03:44:48Z
DHR,2006-03-16,19.91,20.07,19.62,19.63,4002450,63.9,64.41,62.98,63,1247000,2025-12-30T03:44:48Z
DHR,2006-03-17,20.1,20.38,19.99,19.99,5906424,64.51,65.42,64.15,64.16,1840200,2025-12-30T03:44:48Z
DHR,2006-03-20,19.93,20.07,19.84,20.03,2782463,63.96,64.43,63.69,64.3,866900,2025-12-30T03:44:48Z
