ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
EOG,2006-01-03,27.2,27.23,25.49,25.97,12814036,78.97,79.05,74,75.4,4413500,2026-01-17T03:44:47Z
EOG,2006-01-04,27.23,27.27,26.7,26.78,9009764,79.05,79.19,77.51,77.75,3103200,2026-01-17T03:44:47Z
EOG,2006-01-05,26.2,27.09,26.01,27.09,9988766,76.08,78.65,75.51,78.65,3440400,2026-01-17T03:44:47Z
EOG,2006-01-06,26.8,27.19,26.61,26.61,8182001,77.8,78.93,77.26,77.26,2818100,2026-01-17T03:44:47Z
EOG,2006-01-09,26.92,27.01,26.23,26.8,7665198,78.16,78.41,76.14,77.82,2640100,2026-01-17T03:44:47Z
EOG,2006-01-10,26.87,27.52,26.8,26.95,7459928,78,79.9,77.82,78.24,2569400,2026-01-17T03:44:47Z
EOG,2006-01-11,27,27.13,26.44,26.83,8015337,78.38,78.78,76.76,77.91,2760700,2026-01-17T03:44:47Z
EOG,2006-01-12,26.98,28,26.91,27.2,9759642,78.3,81.24,78.09,78.92,3363200,2026-01-17T03:44:47Z
EOG,2006-01-13,27.63,27.73,26.84,26.88,8276485,80.19,80.47,77.9,78,2852100,2026-01-17T03:44:47Z
EOG,2006-01-17,28.44,28.44,27.91,28.03,9050424,82.54,82.54,81,81.35,3118800,2026-01-17T03:44:47Z
EOG,2006-01-18,27.74,28.26,27.09,28.17,8013565,80.51,82,78.61,81.75,2761500,2026-01-17T03:44:47Z
EOG,2006-01-19,28.96,29,27.48,27.55,10381507,84.03,84.14,79.74,79.96,3577500,2026-01-17T03:44:47Z
EOG,2006-01-20,29.23,29.75,28.79,29.33,11232664,84.81,86.32,83.54,85.1,3870800,2026-01-17T03:44:47Z
EOG,2006-01-23,29.14,29.22,28.55,28.95,8905343,84.57,84.8,82.85,84,3068800,2026-01-17T03:44:47Z
EOG,2006-01-24,28.68,29.28,28.62,28.82,8018517,83.24,84.96,83.05,83.62,2763200,2026-01-17T03:44:47Z
EOG,2006-01-25,27.99,28.91,27.46,28.69,11223641,81.23,83.9,79.7,83.25,3867700,2026-01-17T03:44:47Z
EOG,2006-01-26,27.62,27.74,26.74,27.67,10821140,80.14,80.5,77.59,80.3,3729000,2026-01-17T03:44:47Z
EOG,2006-01-27,27.7,28.43,27.51,28.43,9129357,80.39,82.5,79.82,82.5,3146000,2026-01-17T03:44:47Z
EOG,2006-01-30,28.75,29.01,27.9,27.91,7809298,83.42,84.18,80.95,81,2691100,2026-01-17T03:44:47Z
EOG,2006-01-31,29.13,29.25,28.34,28.6,9178109,84.54,84.89,82.25,83,3162800,2026-01-17T03:44:47Z
EOG,2006-02-01,28.58,29.95,28.44,29.34,12500188,82.95,86.91,82.53,85.15,4307600,2026-01-17T03:44:47Z
EOG,2006-02-02,27.81,28.5,27.13,28.5,14516998,80.71,82.7,78.72,82.7,5002600,2026-01-17T03:44:47Z
EOG,2006-02-03,27.26,27.63,27.06,27.48,12066078,79.11,80.17,78.53,79.75,4158000,2026-01-17T03:44:47Z
EOG,2006-02-06,27.65,28.06,27.52,27.52,13717519,80.25,81.44,79.85,79.85,4727100,2026-01-17T03:44:47Z
EOG,2006-02-07,25.5,27.07,25.47,26.96,16803697,74,78.55,73.91,78.25,5790600,2026-01-17T03:44:47Z
EOG,2006-02-08,25.48,25.57,24.59,25.5,14947372,73.94,74.2,71.35,74,5150900,2026-01-17T03:44:47Z
EOG,2006-02-09,24.23,25.95,23.95,25.57,16200376,70.3,75.3,69.5,74.2,5582700,2026-01-17T03:44:47Z
EOG,2006-02-10,23.91,24.45,23.49,24.35,18329796,69.37,70.95,68.16,70.65,6316500,2026-01-17T03:44:47Z
EOG,2006-02-13,23.52,23.98,23.33,23.67,12665009,68.26,69.6,67.7,68.69,4364400,2026-01-17T03:44:47Z
EOG,2006-02-14,23.78,23.82,22.74,22.74,17158043,69.01,69.13,65.98,66,5912700,2026-01-17T03:44:47Z
EOG,2006-02-15,23.89,24.41,23.56,24.07,14312164,69.34,70.85,68.37,69.85,4932000,2026-01-17T03:44:47Z
EOG,2006-02-16,24.83,24.9,23.99,24,12114805,72.06,72.25,69.62,69.64,4174800,2026-01-17T03:44:47Z
EOG,2006-02-17,24.66,25.32,24.62,25.16,10201031,71.55,73.48,71.45,73,3515300,2026-01-17T03:44:47Z
EOG,2006-02-21,25.03,25.67,24.81,25.34,8579443,72.63,74.5,72,73.54,2956500,2026-01-17T03:44:47Z
EOG,2006-02-22,24.31,24.94,24.15,24.9,9471205,70.55,72.38,70.09,72.25,3263800,2026-01-17T03:44:47Z
EOG,2006-02-23,24.07,24.75,23.59,24.07,11467697,69.85,71.81,68.45,69.84,3951800,2026-01-17T03:44:47Z
EOG,2006-02-24,24.17,24.64,24.13,24.52,8148217,70.15,71.49,70.01,71.16,2807900,2026-01-17T03:44:47Z
EOG,2006-02-27,23.53,24.11,23.48,24,8560880,68.29,69.95,68.15,69.65,2950100,2026-01-17T03:44:47Z
EOG,2006-02-28,23.23,23.31,22.61,23.26,12930555,67.4,67.64,65.61,67.49,4455900,2026-01-17T03:44:47Z
EOG,2006-03-01,23.55,23.69,23.2,23.28,7069878,68.35,68.74,67.32,67.56,2436300,2026-01-17T03:44:47Z
EOG,2006-03-02,23.89,24.31,23.35,23.55,11186196,69.32,70.55,67.77,68.35,3854800,2026-01-17T03:44:47Z
EOG,2006-03-03,24.24,24.49,23.86,23.86,10373395,70.35,71.06,69.25,69.25,3574700,2026-01-17T03:44:47Z
EOG,2006-03-06,22.96,24.09,22.68,23.95,13737579,66.62,69.9,65.82,69.5,4734000,2026-01-17T03:44:47Z
EOG,2006-03-07,22.49,23.02,22.1,22.96,10813913,65.25,66.79,64.12,66.62,3726500,2026-01-17T03:44:47Z
EOG,2006-03-08,23,23.24,22.28,22.43,16298210,66.75,67.45,64.65,65.1,5616400,2026-01-17T03:44:47Z
EOG,2006-03-09,22.5,23.5,22.38,23.35,11648755,65.3,68.2,64.94,67.75,4014200,2026-01-17T03:44:47Z
EOG,2006-03-10,22.56,23.02,22.12,22.46,8950301,65.48,66.81,64.2,65.17,3084300,2026-01-17T03:44:47Z
EOG,2006-03-13,23.33,23.42,22.67,22.68,7239949,67.69,67.95,65.79,65.8,2494900,2026-01-17T03:44:47Z
EOG,2006-03-14,23.88,24,22.83,23.33,10329872,69.31,69.65,66.24,67.69,3559700,2026-01-17T03:44:47Z
EOG,2006-03-15,24.26,24.29,23.33,23.55,9359758,70.39,70.48,67.7,68.35,3225400,2026-01-17T03:44:47Z
EOG,2006-03-16,25.14,25.2,24.12,24.17,12382358,72.95,73.13,70,70.14,4267000,2026-01-17T03:44:47Z
EOG,2006-03-17,25,25.3,24.87,25.29,8838864,72.56,73.42,72.17,73.39,3045900,2026-01-17T03:44:47Z
EOG,2006-03-20,23.61,24.94,23.56,24.47,12310399,68.5,72.38,68.37,71,4242200,2026-01-17T03:44:47Z
EOG,2006-03-21,23.59,24.16,23.26,23.35,9518516,68.47,70.11,67.5,67.75,3280100,2026-01-17T03:44:47Z
EOG,2006-03-22,23.93,24.41,23.53,23.61,8689141,69.44,70.85,68.29,68.5,2994300,2026-01-17T03:44:47Z
