ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
GE,2006-01-03,107.54,107.63,105.81,106.72,10926389,35.37,35.4,34.8,35.1,33221200,2026-03-13T02:46:22Z
GE,2006-01-04,107.39,107.63,106.72,107.48,7899211,35.32,35.4,35.1,35.35,24017200,2026-03-13T02:46:22Z
GE,2006-01-05,107.12,107.48,106.72,107.24,6202422,35.23,35.35,35.1,35.27,18858200,2026-03-13T02:46:22Z
GE,2006-01-06,107.85,108.03,106.99,107.57,7263348,35.47,35.53,35.19,35.38,22083900,2026-03-13T02:46:22Z
GE,2006-01-09,107.57,107.72,107.15,107.63,6813585,35.38,35.43,35.24,35.4,20716400,2026-03-13T02:46:22Z
GE,2006-01-10,106.99,107.36,106.57,107.24,6921328,35.19,35.31,35.05,35.27,21044000,2026-03-13T02:46:22Z
GE,2006-01-11,107.72,108.09,106.72,106.84,7365472,35.43,35.55,35.1,35.14,22394400,2026-03-13T02:46:22Z
GE,2006-01-12,106.42,107.82,106.23,107.78,7288016,35,35.46,34.94,35.45,22158900,2026-03-13T02:46:22Z
GE,2006-01-13,106.72,107.18,105.81,106.11,5663789,35.1,35.25,34.8,34.9,17220500,2026-03-13T02:46:22Z
GE,2006-01-17,106.23,108.33,105.87,108.33,5285193,34.94,35.63,34.82,35.63,16069400,2026-03-13T02:46:22Z
GE,2006-01-18,105.87,106.14,105.23,106.11,6646013,34.82,34.91,34.61,34.9,20206900,2026-03-13T02:46:22Z
GE,2006-01-19,105.44,106.11,104.9,106.11,9644574,34.68,34.9,34.5,34.9,29323900,2026-03-13T02:46:22Z
GE,2006-01-20,101.46,104.9,101,104.29,29006811,33.37,34.5,33.22,34.3,88193904,2026-03-13T02:46:22Z
GE,2006-01-23,101.22,102.37,101.13,101.95,12765977,33.29,33.67,33.26,33.53,38814400,2026-03-13T02:46:22Z
GE,2006-01-24,100.21,102.01,100.06,102.01,15287315,32.96,33.55,32.91,33.55,46480400,2026-03-13T02:46:22Z
GE,2006-01-25,99.61,100.94,99.27,100.79,16901546,32.76,33.2,32.65,33.15,51388400,2026-03-13T02:46:22Z
GE,2006-01-26,100.4,100.55,99.54,100.12,16068443,33.02,33.07,32.74,32.93,48855400,2026-03-13T02:46:22Z
GE,2006-01-27,100.18,100.4,99.58,100.18,14247373,32.95,33.02,32.75,32.95,43318500,2026-03-13T02:46:22Z
GE,2006-01-30,100.12,100.61,99.42,100.03,11638718,32.93,33.09,32.7,32.9,35387000,2026-03-13T02:46:22Z
GE,2006-01-31,99.57,100.27,99.21,100.03,13057189,32.75,32.98,32.63,32.9,39699800,2026-03-13T02:46:22Z
GE,2006-02-01,100.76,100.91,99.24,99.3,12520296,33.14,33.19,32.64,32.66,38067400,2026-03-13T02:46:22Z
