ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
GOOGL,2006-01-03,10.79,10.8,10.37,10.48,529839570,435.23,435.67,418.22,422.52,13137400,2026-03-13T02:46:25Z
GOOGL,2006-01-04,11.04,11.13,10.9,11.01,616745149,445.24,448.96,439.75,443.9,15292300,2026-03-13T02:46:25Z
GOOGL,2006-01-05,11.19,11.2,10.95,11.06,436200691,451.24,451.55,441.5,446,10815600,2026-03-13T02:46:25Z
GOOGL,2006-01-06,11.55,11.67,11.24,11.33,716249534,465.66,470.5,453.24,456.87,17759500,2026-03-13T02:46:25Z
GOOGL,2006-01-09,11.58,11.74,11.43,11.56,516063062,466.9,473.4,460.94,466.41,12795800,2026-03-13T02:46:25Z
GOOGL,2006-01-10,11.65,11.66,11.46,11.52,367199008,469.76,470.25,462.04,464.42,9104700,2026-03-13T02:46:25Z
GOOGL,2006-01-11,11.69,11.78,11.63,11.69,363323731,471.63,475.11,469.18,471.27,9008600,2026-03-13T02:46:25Z
GOOGL,2006-01-12,11.5,11.78,11.44,11.73,408354939,463.63,474.99,461.5,473,10125200,2026-03-13T02:46:25Z
GOOGL,2006-01-13,11.56,11.58,11.45,11.51,308939140,466.25,466.89,461.61,464.31,7660200,2026-03-13T02:46:25Z
GOOGL,2006-01-17,11.58,11.65,11.47,11.48,336166897,467.11,469.9,462.53,463.06,8335300,2026-03-13T02:46:25Z
GOOGL,2006-01-18,11.03,11.34,10.99,11.09,827226698,444.91,457.36,443.25,447.3,20511100,2026-03-13T02:46:25Z
GOOGL,2006-01-19,10.82,11.24,10.74,11.19,586396510,436.45,453.49,433,451.17,14539800,2026-03-13T02:46:25Z
GOOGL,2006-01-20,9.9,10.91,9.79,10.88,1660933331,399.46,440.03,394.74,438.7,41182800,2026-03-13T02:46:25Z
GOOGL,2006-01-23,10.6,10.62,10.06,10.1,918246347,427.5,428.39,405.73,407.38,22768000,2026-03-13T02:46:25Z
GOOGL,2006-01-24,10.98,11.03,10.77,10.81,623850369,443.03,444.95,434.48,436.03,15468400,2026-03-13T02:46:25Z
GOOGL,2006-01-25,10.74,11.26,10.64,11.19,756055048,433,454.23,429.22,451.26,18746500,2026-03-13T02:46:25Z
GOOGL,2006-01-26,10.77,10.91,10.5,10.9,521527316,434.27,439.99,423.56,439.54,12931300,2026-03-13T02:46:25Z
GOOGL,2006-01-27,10.75,10.87,10.64,10.79,341183637,433.49,438.22,428.98,435,8459700,2026-03-13T02:46:25Z
GOOGL,2006-01-30,10.58,10.74,10.54,10.64,346686887,426.82,433.28,425,429.23,8596100,2026-03-13T02:46:25Z
GOOGL,2006-01-31,10.73,10.9,10.51,10.68,905408669,432.66,439.6,423.97,430.57,22449600,2026-03-13T02:46:25Z
GOOGL,2006-02-01,9.96,9.97,9.61,9.65,1094274040,401.78,402,387.52,389.03,27132700,2026-03-13T02:46:25Z
GOOGL,2006-02-02,9.82,10.08,9.82,10.01,476342574,396.04,406.5,395.98,403.82,11810900,2026-03-13T02:46:25Z
GOOGL,2006-02-03,9.46,9.77,9.24,9.76,737505929,381.56,393.9,372.57,393.62,18286500,2026-03-13T02:46:25Z
GOOGL,2006-02-06,9.55,9.67,9.41,9.55,360893610,385.1,389.9,379.56,385.31,8948400,2026-03-13T02:46:25Z
GOOGL,2006-02-07,9.12,9.51,9.01,9.5,671105322,367.92,383.7,363.35,382.99,16640100,2026-03-13T02:46:25Z
GOOGL,2006-02-08,9.15,9.19,8.79,9.14,839611275,369.08,370.69,354.67,368.48,20818300,2026-03-13T02:46:25Z
GOOGL,2006-02-09,8.9,9.28,8.83,9.2,480473325,358.77,374.4,356.11,371.2,11913400,2026-03-13T02:46:25Z
GOOGL,2006-02-10,8.99,9.04,8.76,8.97,613968172,362.61,364.5,353.14,361.95,15223400,2026-03-13T02:46:25Z
GOOGL,2006-02-13,8.57,8.69,8.48,8.6,795508828,345.7,350.6,341.89,346.64,19724800,2026-03-13T02:46:25Z
GOOGL,2006-02-14,8.51,8.72,8.49,8.56,591201218,343.32,351.69,342.4,345.33,14658800,2026-03-13T02:46:25Z
GOOGL,2006-02-15,8.49,8.58,8.38,8.46,522291579,342.38,346,337.83,341.27,12950200,2026-03-13T02:46:25Z
GOOGL,2006-02-16,9.09,9.1,8.54,8.57,860921257,366.46,367,344.49,345.67,21346600,2026-03-13T02:46:25Z
GOOGL,2006-02-17,9.14,9.23,9.02,9.17,577540115,368.75,372.14,363.62,369.86,14320100,2026-03-13T02:46:25Z
GOOGL,2006-02-21,9.09,9.26,9.05,9.09,350500135,366.59,373.54,365.11,366.44,8690700,2026-03-13T02:46:25Z
GOOGL,2006-02-22,9.06,9.15,9.02,9.1,261370484,365.49,368.95,363.86,367.15,6480700,2026-03-13T02:46:25Z
GOOGL,2006-02-23,9.37,9.45,9.06,9.06,506384128,378.07,381.24,365.39,365.61,12555800,2026-03-13T02:46:25Z
GOOGL,2006-02-24,9.36,9.42,9.26,9.36,261591189,377.4,380.07,373.49,377.3,6486200,2026-03-13T02:46:25Z
GOOGL,2006-02-27,9.68,9.71,9.43,9.45,412118175,390.38,391.7,380.28,381.27,10218500,2026-03-13T02:46:25Z
GOOGL,2006-02-28,8.99,9.86,8.39,9.75,1590910884,362.62,397.54,338.51,393.2,39446800,2026-03-13T02:46:25Z
GOOGL,2006-03-01,9.05,9.16,8.96,9.14,486276300,364.8,369.45,361.3,368.56,12057200,2026-03-13T02:46:25Z
