ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
GS,2006-01-03,93.36,93.78,90,91.79,8542459,128.87,129.44,124.23,126.7,6188700,2026-03-06T03:46:34Z
GS,2006-01-04,92.07,93.39,91.56,92.26,6711170,127.09,128.91,126.38,127.35,4862000,2026-03-06T03:46:34Z
GS,2006-01-05,92.04,92.24,91,91.28,5131242,127.04,127.32,125.61,126,3717400,2026-03-06T03:46:34Z
GS,2006-01-06,93.34,93.64,92.22,92.22,5962480,128.84,129.25,127.29,127.29,4319600,2026-03-06T03:46:34Z
GS,2006-01-09,94.46,94.63,92.73,93.09,6519996,130.39,130.62,128,128.5,4723500,2026-03-06T03:46:34Z
GS,2006-01-10,95.65,96.32,94.19,94.22,7646762,132.03,132.95,130.02,130.05,5539800,2026-03-06T03:46:34Z
GS,2006-01-11,95.61,96.93,95.21,95.23,6448078,131.97,133.8,131.42,131.45,4671400,2026-03-06T03:46:34Z
GS,2006-01-12,95.81,96.51,95.18,95.19,5142425,132.25,133.21,131.38,131.4,3725500,2026-03-06T03:46:34Z
GS,2006-01-13,96.54,96.83,95.56,95.64,3995922,133.26,133.66,131.9,132.02,2894900,2026-03-06T03:46:34Z
GS,2006-01-17,96.06,96.45,94.61,94.91,5003151,132.59,133.13,130.59,131,3624600,2026-03-06T03:46:34Z
GS,2006-01-18,95.9,96.12,94.91,94.95,5942876,132.37,132.68,131.01,131.06,4305400,2026-03-06T03:46:34Z
GS,2006-01-19,96.95,97.67,96.14,96.15,6930232,133.82,134.82,132.71,132.72,5020700,2026-03-06T03:46:34Z
GS,2006-01-20,95.4,97.3,95.26,96.42,7825776,131.44,134.06,131.25,132.85,5680100,2026-03-06T03:46:34Z
GS,2006-01-23,96.44,97.39,95.55,95.55,5303524,132.87,134.18,131.64,131.64,3849400,2026-03-06T03:46:34Z
GS,2006-01-24,96.53,97.33,96.06,96.27,5177595,133,134.09,132.34,132.63,3758000,2026-03-06T03:46:34Z
GS,2006-01-25,96.94,97.29,96.14,97.01,5153482,133.56,134.04,132.46,133.65,3740500,2026-03-06T03:46:34Z
