ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
HD,2006-01-03,24.84,24.96,23.95,24.33,14875609,41.24,41.45,39.77,40.39,8959200,2026-03-13T02:46:28Z
HD,2006-01-04,24.38,24.72,24.23,24.66,15693223,40.48,41.04,40.23,40.94,9451600,2026-03-13T02:46:28Z
HD,2006-01-05,24.14,24.31,23.98,24.15,15761459,40.08,40.36,39.81,40.1,9492700,2026-03-13T02:46:28Z
HD,2006-01-06,24.32,24.4,24.14,24.24,15225975,40.38,40.51,40.09,40.25,9170200,2026-03-13T02:46:28Z
HD,2006-01-09,24.58,24.75,24.24,24.57,13708558,40.82,41.1,40.25,40.8,8256300,2026-03-13T02:46:28Z
HD,2006-01-10,25.18,25.59,24.7,24.72,25051838,41.8,42.49,41.02,41.04,15088100,2026-03-13T02:46:28Z
HD,2006-01-11,25.87,26.02,25.24,25.3,20113577,42.95,43.2,41.91,42,12113900,2026-03-13T02:46:28Z
HD,2006-01-12,25.63,25.87,25.59,25.72,14138392,42.55,42.95,42.49,42.7,8515200,2026-03-13T02:46:28Z
HD,2006-01-13,25.24,25.65,24.98,25.24,13901648,41.91,42.59,41.48,41.91,8372600,2026-03-13T02:46:28Z
HD,2006-01-17,25.04,25.22,24.91,24.99,10581076,41.57,41.88,41.36,41.5,6372700,2026-03-13T02:46:28Z
HD,2006-01-18,25.24,25.36,24.92,25.04,11754608,41.9,42.11,41.38,41.57,7079500,2026-03-13T02:46:28Z
HD,2006-01-19,24.86,25.29,24.77,24.87,20363298,41.28,41.99,41.13,41.3,12264300,2026-03-13T02:46:28Z
HD,2006-01-20,24.19,24.86,24.16,24.79,24974893,40.17,41.27,40.12,41.16,15041700,2026-03-13T02:46:28Z
HD,2006-01-23,23.9,24.44,23.88,24.33,15449914,39.69,40.58,39.65,40.4,9305100,2026-03-13T02:46:28Z
HD,2006-01-24,24.36,24.36,23.92,24.09,18082954,40.45,40.45,39.72,39.99,10890900,2026-03-13T02:46:28Z
HD,2006-01-25,24.08,24.49,23.96,24.34,13443556,39.98,40.66,39.79,40.42,8096700,2026-03-13T02:46:28Z
HD,2006-01-26,24.33,24.43,24.11,24.15,12087175,40.4,40.56,40.04,40.1,7279800,2026-03-13T02:46:28Z
HD,2006-01-27,24.09,24.52,23.95,24.22,13602922,40,40.72,39.77,40.22,8192700,2026-03-13T02:46:28Z
HD,2006-01-30,24.09,24.27,23.92,23.92,9394047,40,40.29,39.72,39.72,5657800,2026-03-13T02:46:28Z
HD,2006-01-31,24.42,24.61,23.98,24.09,17952301,40.55,40.86,39.82,40,10812200,2026-03-13T02:46:28Z
HD,2006-02-01,24.23,24.44,24.04,24.36,11518668,40.23,40.58,39.91,40.45,6937400,2026-03-13T02:46:28Z
HD,2006-02-02,24.07,24.23,23.98,24.07,12192607,39.96,40.24,39.81,39.96,7343300,2026-03-13T02:46:28Z
HD,2006-02-03,23.98,24.07,23.73,24,12553117,39.82,39.96,39.4,39.85,7560400,2026-03-13T02:46:28Z
HD,2006-02-06,23.78,24.1,23.66,23.95,12625151,39.49,40.02,39.28,39.77,7603800,2026-03-13T02:46:28Z
HD,2006-02-07,23.33,23.75,23.19,23.69,18515471,38.73,39.44,38.5,39.34,11151400,2026-03-13T02:46:28Z
HD,2006-02-08,23.65,23.71,23.4,23.49,12025755,39.27,39.36,38.86,39,7242800,2026-03-13T02:46:28Z
HD,2006-02-09,23.52,23.79,23.46,23.62,11605348,39.05,39.5,38.95,39.22,6989600,2026-03-13T02:46:28Z
HD,2006-02-10,23.62,23.68,23.31,23.46,10356243,39.22,39.32,38.7,38.95,6237300,2026-03-13T02:46:28Z
HD,2006-02-13,23.91,24.05,23.5,23.5,10741447,39.7,39.93,39.02,39.02,6469300,2026-03-13T02:46:28Z
HD,2006-02-14,24.77,24.82,23.99,24.06,21438441,41.13,41.21,39.83,39.95,12911800,2026-03-13T02:46:28Z
HD,2006-02-15,25.01,25.16,24.57,24.75,16841862,41.53,41.77,40.8,41.1,10143400,2026-03-13T02:46:28Z
