ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
HON,2006-01-03,22.06,22.15,21.59,21.92,6851233,37.46,37.61,36.66,37.22,4035500,2026-03-03T03:46:24Z
HON,2006-01-04,21.98,22.2,21.93,22.09,5470304,37.31,37.69,37.23,37.5,3222100,2026-03-03T03:46:24Z
HON,2006-01-05,21.96,22.09,21.8,21.95,5025325,37.29,37.5,37.01,37.26,2960000,2026-03-03T03:46:24Z
HON,2006-01-06,22.31,22.36,21.98,22.09,4693744,37.87,37.96,37.31,37.5,2764700,2026-03-03T03:46:24Z
HON,2006-01-09,22.12,22.39,22.1,22.31,6095409,37.56,38.01,37.52,37.87,3590300,2026-03-03T03:46:24Z
HON,2006-01-10,22.09,22.17,21.86,21.93,5695242,37.5,37.64,37.11,37.23,3354600,2026-03-03T03:46:24Z
HON,2006-01-11,22.1,22.25,21.97,22.21,5869779,37.52,37.77,37.3,37.7,3457400,2026-03-03T03:46:24Z
HON,2006-01-12,21.84,22.06,21.67,22.05,8829258,37.08,37.45,36.79,37.44,5200600,2026-03-03T03:46:24Z
HON,2006-01-13,21.89,21.95,21.66,21.79,5137365,37.16,37.26,36.78,37,3026000,2026-03-03T03:46:24Z
HON,2006-01-17,21.71,21.92,21.67,21.89,3590554,36.86,37.22,36.79,37.16,2114900,2026-03-03T03:46:24Z
HON,2006-01-18,21.81,21.86,21.53,21.72,4379328,37.02,37.12,36.55,36.87,2579500,2026-03-03T03:46:24Z
HON,2006-01-19,21.91,21.96,21.61,21.84,6468556,37.19,37.29,36.69,37.08,3810100,2026-03-03T03:46:24Z
HON,2006-01-20,21.11,21.96,21.06,21.91,8102635,35.84,37.28,35.75,37.2,4772600,2026-03-03T03:46:24Z
HON,2006-01-23,21.23,21.49,21.11,21.17,6123575,36.05,36.48,35.83,35.94,3606900,2026-03-03T03:46:24Z
HON,2006-01-24,21.52,21.65,20.76,20.76,4632629,36.54,36.75,35.24,35.24,2728700,2026-03-03T03:46:24Z
HON,2006-01-25,21.24,21.72,21.2,21.52,8422666,36.06,36.88,36,36.54,4961100,2026-03-03T03:46:24Z
HON,2006-01-26,22.04,22.12,21.25,21.5,11338868,37.41,37.56,36.08,36.5,6678800,2026-03-03T03:46:24Z
HON,2006-01-27,22.27,22.36,21.72,21.93,9229584,37.81,37.97,36.88,37.23,5436400,2026-03-03T03:46:24Z
HON,2006-01-30,22.4,22.45,22.11,22.27,6483157,38.03,38.11,37.54,37.81,3818700,2026-03-03T03:46:24Z
HON,2006-01-31,22.63,22.81,22.27,22.47,8455083,38.42,38.72,37.8,38.15,4980200,2026-03-03T03:46:24Z
HON,2006-02-01,23.17,23.28,22.65,22.7,11155327,39.34,39.53,38.45,38.53,6570700,2026-03-03T03:46:24Z
HON,2006-02-02,22.69,23.31,22.51,22.72,9043862,38.53,39.58,38.22,38.57,5327000,2026-03-03T03:46:24Z
HON,2006-02-03,23.11,23.48,22.82,23.06,9466795,39.23,39.86,38.75,39.15,5576100,2026-03-03T03:46:24Z
HON,2006-02-06,23.23,23.27,22.76,23.07,7061575,39.43,39.5,38.64,39.16,4159400,2026-03-03T03:46:24Z
HON,2006-02-07,23.06,23.06,22.62,23.04,6059399,39.15,39.15,38.4,39.11,3569100,2026-03-03T03:46:24Z
HON,2006-02-08,22.98,23.36,22.83,23.36,9386118,39.02,39.65,38.76,39.65,5528600,2026-03-03T03:46:24Z
HON,2006-02-09,23.28,23.52,22.82,22.98,9203955,39.52,39.94,38.74,39.02,5421300,2026-03-03T03:46:24Z
HON,2006-02-10,23.34,23.45,23.02,23.15,6095226,39.63,39.81,39.08,39.3,3590200,2026-03-03T03:46:24Z
HON,2006-02-13,23.6,23.61,23.17,23.27,6703518,40.07,40.09,39.33,39.5,3948500,2026-03-03T03:46:24Z
HON,2006-02-14,23.86,24.04,23.41,23.52,8449158,40.51,40.82,39.74,39.94,4976700,2026-03-03T03:46:24Z
HON,2006-02-15,24.06,24.06,23.7,23.74,6252269,40.84,40.85,40.23,40.3,3682700,2026-03-03T03:46:24Z
HON,2006-02-16,24.49,24.54,23.89,24.3,12126990,41.58,41.67,40.55,41.26,7143000,2026-03-03T03:46:24Z
HON,2006-02-17,24.84,25.29,24.56,24.61,13048841,42.18,42.93,41.7,41.79,7686000,2026-03-03T03:46:24Z
HON,2006-02-21,24.4,25.04,24.3,24.89,8908741,41.42,42.51,41.25,42.26,5247400,2026-03-03T03:46:24Z
HON,2006-02-22,24.76,24.8,24.52,24.55,7160562,42.03,42.1,41.62,41.68,4217700,2026-03-03T03:46:24Z
HON,2006-02-23,24.54,24.74,24.43,24.67,6559770,41.43,41.78,41.25,41.65,3884800,2026-03-03T03:46:24Z
HON,2006-02-24,24.57,24.62,24.22,24.44,4770732,41.48,41.58,40.9,41.27,2825300,2026-03-03T03:46:24Z
HON,2006-02-27,24.62,24.91,24.58,24.68,4083650,41.57,42.07,41.5,41.68,2418400,2026-03-03T03:46:24Z
HON,2006-02-28,24.25,24.62,24.16,24.49,6954743,40.95,41.58,40.79,41.35,4118700,2026-03-03T03:46:24Z
