ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
INTC,2006-01-03,14.98,15.02,14.59,14.76,96269569,25.57,25.64,24.9,25.19,56409000,2024-08-09T23:25:57Z
INTC,2006-01-04,15.18,15.2,14.99,15,78828900,25.91,25.94,25.59,25.6,46189600,2024-08-09T23:25:57Z
INTC,2006-01-05,15.39,15.51,15.18,15.19,93682871,26.27,26.47,25.91,25.93,54893100,2024-08-09T23:25:57Z
INTC,2006-01-06,15.42,15.6,15.36,15.52,77998856,26.31,26.63,26.21,26.48,45703300,2024-08-09T23:25:57Z
INTC,2006-01-09,15.51,15.53,15.29,15.46,67346947,26.47,26.51,26.09,26.39,39461700,2024-08-09T23:25:57Z
INTC,2006-01-10,15.3,15.47,15.19,15.4,80271100,26.12,26.41,25.92,26.29,47034500,2024-08-09T23:25:57Z
INTC,2006-01-11,15.32,15.43,15.18,15.31,90460724,26.14,26.33,25.9,26.13,53005000,2024-08-09T23:25:57Z
INTC,2006-01-12,15.22,15.54,15.16,15.28,92204161,25.97,26.52,25.87,26.07,54026600,2024-08-09T23:25:57Z
INTC,2006-01-13,15.11,15.34,14.96,15.21,79037560,25.79,26.18,25.54,25.96,46311900,2024-08-09T23:25:57Z
INTC,2006-01-17,14.95,15.09,14.84,14.99,151964441,25.52,25.75,25.32,25.59,89043296,2024-08-09T23:25:57Z
INTC,2006-01-18,13.24,13.51,13.1,13.4,481450964,22.6,23.06,22.36,22.87,282104704,2024-08-09T23:25:57Z
INTC,2006-01-19,13.13,13.4,13.12,13.36,335117825,22.4,22.87,22.39,22.8,196361104,2024-08-09T23:25:57Z
INTC,2006-01-20,12.75,13.17,12.74,13.15,265373462,21.76,22.47,21.75,22.44,155494704,2024-08-09T23:25:57Z
INTC,2006-01-23,12.51,12.85,12.36,12.84,264783680,21.35,21.93,21.1,21.92,155149600,2024-08-09T23:25:57Z
INTC,2006-01-24,12.47,12.65,12.45,12.62,183056233,21.28,21.59,21.24,21.53,107260800,2024-08-09T23:25:57Z
INTC,2006-01-25,12.43,12.55,12.36,12.54,188289077,21.21,21.42,21.1,21.4,110327104,2024-08-09T23:25:57Z
INTC,2006-01-26,12.59,12.74,12.46,12.54,174065585,21.49,21.75,21.27,21.4,101993200,2024-08-09T23:25:57Z
INTC,2006-01-27,12.7,12.83,12.63,12.74,128320695,21.67,21.9,21.55,21.75,75189296,2024-08-09T23:25:57Z
INTC,2006-01-30,12.69,12.85,12.65,12.79,103119642,21.65,21.93,21.59,21.83,60422400,2024-08-09T23:25:57Z
INTC,2006-01-31,12.46,12.72,12.45,12.71,135423366,21.26,21.71,21.25,21.69,79350704,2024-08-09T23:25:57Z
INTC,2006-02-01,12.63,12.65,12.44,12.45,122300522,21.55,21.59,21.23,21.24,71661296,2024-08-09T23:25:57Z
INTC,2006-02-02,12.42,12.7,12.41,12.63,149348902,21.2,21.68,21.18,21.56,87510704,2024-08-09T23:25:57Z
INTC,2006-02-03,12.21,12.46,12.2,12.45,172275788,20.74,21.17,20.73,21.14,101422600,2024-08-09T23:25:57Z
INTC,2006-02-06,12.13,12.28,12.07,12.28,113571061,20.61,20.85,20.5,20.85,66862000,2024-08-09T23:25:57Z
INTC,2006-02-07,12.17,12.33,12.08,12.14,161920021,20.67,20.94,20.52,20.62,95326000,2024-08-09T23:25:57Z
INTC,2006-02-08,12.17,12.27,12.09,12.23,131855446,20.67,20.84,20.54,20.78,77626304,2024-08-09T23:25:57Z
INTC,2006-02-09,12.36,12.51,12.2,12.23,138958879,21,21.25,20.72,20.77,81808400,2024-08-09T23:25:57Z
INTC,2006-02-10,12.53,12.56,12.25,12.38,141022666,21.29,21.34,20.81,21.02,83023200,2024-08-09T23:25:57Z
INTC,2006-02-13,12.44,12.62,12.4,12.47,111923747,21.13,21.44,21.07,21.18,65892000,2024-08-09T23:25:57Z
INTC,2006-02-14,12.58,12.64,12.44,12.47,102134881,21.37,21.47,21.13,21.18,60129100,2024-08-09T23:25:57Z
INTC,2006-02-15,12.57,12.64,12.49,12.57,114204127,21.35,21.47,21.21,21.35,67234400,2024-08-09T23:25:57Z
INTC,2006-02-16,12.57,12.63,12.47,12.57,120564696,21.35,21.45,21.18,21.36,70979000,2024-08-09T23:25:57Z
INTC,2006-02-17,12.13,12.39,12.1,12.36,198138713,20.61,21.04,20.56,21,116649000,2024-08-09T23:25:57Z
INTC,2006-02-21,12.14,12.22,12.07,12.16,114200444,20.62,20.75,20.5,20.66,67232600,2024-08-09T23:25:57Z
INTC,2006-02-22,11.86,12.04,11.72,12.02,235374233,20.15,20.45,19.9,20.42,138570592,2024-08-09T23:25:57Z
INTC,2006-02-23,11.95,12.06,11.7,11.88,144892127,20.29,20.49,19.88,20.18,85301400,2024-08-09T23:25:57Z
INTC,2006-02-24,11.99,12.09,11.85,11.89,124263886,20.36,20.53,20.13,20.19,73157000,2024-08-09T23:25:57Z
INTC,2006-02-27,12.08,12.24,12.03,12.05,148100334,20.52,20.79,20.43,20.47,87190096,2024-08-09T23:25:57Z
INTC,2006-02-28,12.13,12.37,12.07,12.1,158401408,20.6,21.01,20.5,20.55,93254600,2024-08-09T23:25:57Z
INTC,2006-03-01,12.25,12.36,12.17,12.2,137080684,20.8,21,20.67,20.73,80702304,2024-08-09T23:25:57Z
INTC,2006-03-02,12.06,12.27,12,12.18,146499537,20.49,20.84,20.38,20.68,86247400,2024-08-09T23:25:57Z
INTC,2006-03-03,11.96,12.06,11.69,11.76,344516474,20.32,20.48,19.86,19.97,202825600,2024-08-09T23:25:57Z
INTC,2006-03-06,11.95,12.1,11.91,12.03,138856031,20.3,20.56,20.23,20.43,81747904,2024-08-09T23:25:57Z
INTC,2006-03-07,11.81,11.89,11.67,11.86,154084986,20.06,20.2,19.83,20.15,90713504,2024-08-09T23:25:57Z
INTC,2006-03-08,11.78,11.89,11.67,11.78,140740594,20.01,20.19,19.82,20.01,82857600,2024-08-09T23:25:57Z
INTC,2006-03-09,11.63,11.87,11.62,11.8,118480970,19.75,20.16,19.73,20.05,69752600,2024-08-09T23:25:57Z
INTC,2006-03-10,11.69,11.79,11.64,11.67,104556213,19.85,20.02,19.78,19.83,61554900,2024-08-09T23:25:57Z
INTC,2006-03-13,11.62,12.07,11.59,11.74,136795271,19.73,20.5,19.69,19.95,80534496,2024-08-09T23:25:57Z
INTC,2006-03-14,11.63,11.72,11.56,11.62,117843537,19.76,19.9,19.64,19.73,69377400,2024-08-09T23:25:57Z
INTC,2006-03-15,11.73,11.76,11.62,11.65,118580343,19.92,19.97,19.73,19.79,69811200,2024-08-09T23:25:57Z
INTC,2006-03-16,11.57,11.82,11.56,11.8,112233150,19.65,20.08,19.64,20.05,66074200,2024-08-09T23:25:57Z
INTC,2006-03-17,11.5,11.64,11.42,11.63,188274101,19.54,19.77,19.4,19.75,110841800,2024-08-09T23:25:57Z
