ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
INTU,2006-01-03,23.82,23.97,22.85,23.38,4660562,54.08,54.41,51.87,53.07,2053000,2026-01-13T03:44:29Z
INTU,2006-01-04,23.86,23.86,23.6,23.63,3692799,54.16,54.16,53.57,53.65,1626700,2026-01-13T03:44:29Z
INTU,2006-01-05,23.51,23.86,23.43,23.83,3639905,53.36,54.16,53.2,54.1,1603400,2026-01-13T03:44:29Z
INTU,2006-01-06,23.77,23.77,23.3,23.59,4345910,53.95,53.95,52.89,53.54,1914400,2026-01-13T03:44:29Z
INTU,2006-01-09,23.41,23.7,23.32,23.68,3375449,53.14,53.79,52.93,53.75,1486900,2026-01-13T03:44:29Z
INTU,2006-01-10,23.36,23.62,23.15,23.25,3292353,53.02,53.62,52.56,52.77,1450300,2026-01-13T03:44:29Z
INTU,2006-01-11,23.17,23.35,22.99,23.35,4462144,52.6,53,52.2,53,1965600,2026-01-13T03:44:29Z
INTU,2006-01-12,23.06,23.28,22.89,23.22,2863297,52.36,52.84,51.97,52.71,1261300,2026-01-13T03:44:29Z
INTU,2006-01-13,22.82,23.08,22.55,23.08,4747725,51.81,52.4,51.2,52.4,2091400,2026-01-13T03:44:29Z
INTU,2006-01-17,22.91,23.16,22.48,22.71,3487582,52,52.58,51.03,51.56,1536300,2026-01-13T03:44:29Z
INTU,2006-01-18,23.14,23.26,22.77,22.88,3774081,52.52,52.8,51.7,51.93,1662500,2026-01-13T03:44:29Z
INTU,2006-01-19,23.38,23.54,23.04,23.11,2725962,53.07,53.44,52.3,52.46,1200800,2026-01-13T03:44:29Z
INTU,2006-01-20,22.71,23.46,22.69,23.26,3979757,51.56,53.25,51.51,52.8,1753100,2026-01-13T03:44:29Z
INTU,2006-01-23,22.51,22.85,22.47,22.66,3278284,51.11,51.87,51.01,51.45,1444100,2026-01-13T03:44:29Z
INTU,2006-01-24,22.69,22.77,22.3,22.56,2922328,51.5,51.68,50.63,51.21,1287300,2026-01-13T03:44:29Z
INTU,2006-01-25,22.62,22.84,22.42,22.58,3043556,51.35,51.86,50.89,51.25,1340700,2026-01-13T03:44:29Z
INTU,2006-01-26,23.02,23.17,22.74,22.86,3187930,52.25,52.6,51.63,51.9,1404300,2026-01-13T03:44:29Z
INTU,2006-01-27,23.01,23.5,23,23.03,2819942,52.23,53.34,52.22,52.29,1242200,2026-01-13T03:44:29Z
INTU,2006-01-30,23.02,23.47,23.02,23.17,2172732,52.25,53.27,52.25,52.6,957100,2026-01-13T03:44:29Z
INTU,2006-01-31,23.05,23.4,22.73,23.16,3451497,52.33,53.13,51.61,52.57,1520400,2026-01-13T03:44:29Z
INTU,2006-02-01,23.24,23.31,22.79,22.97,2255587,52.75,52.92,51.74,52.14,993600,2026-01-13T03:44:29Z
INTU,2006-02-02,23.01,23.25,22.64,23.16,2656947,52.23,52.79,51.39,52.58,1170400,2026-01-13T03:44:29Z
INTU,2006-02-03,22.51,22.99,22.48,22.99,2913929,51.1,52.18,51.02,52.18,1283600,2026-01-13T03:44:29Z
INTU,2006-02-06,22.7,22.88,22.45,22.47,2213825,51.53,51.95,50.96,51,975200,2026-01-13T03:44:29Z
INTU,2006-02-07,22.46,22.83,22.36,22.67,3893477,50.99,51.83,50.75,51.47,1715100,2026-01-13T03:44:29Z
INTU,2006-02-08,22.5,22.65,22.27,22.62,3456713,51.07,51.42,50.56,51.36,1522700,2026-01-13T03:44:29Z
INTU,2006-02-09,22.72,23.13,22.63,22.64,4212881,51.58,52.51,51.37,51.4,1855800,2026-01-13T03:44:29Z
INTU,2006-02-10,23.11,23.23,22.55,22.72,4284625,52.46,52.73,51.18,51.58,1887400,2026-01-13T03:44:29Z
INTU,2006-02-13,23.38,23.39,23.03,23.11,3571129,53.08,53.1,52.28,52.45,1573100,2026-01-13T03:44:29Z
INTU,2006-02-14,23.57,24.32,23.48,23.53,6517978,53.5,55.22,53.3,53.41,2871200,2026-01-13T03:44:29Z
INTU,2006-02-15,23.76,23.82,23.42,23.43,3731616,53.94,54.07,53.17,53.19,1643800,2026-01-13T03:44:29Z
INTU,2006-02-16,24.14,24.19,23.59,23.83,4429683,54.8,54.92,53.56,54.09,1951300,2026-01-13T03:44:29Z
INTU,2006-02-17,21.69,22.95,21.54,22.91,15543957,49.25,52.09,48.9,52,6847200,2026-01-13T03:44:29Z
INTU,2006-02-21,21.41,22.02,21.38,21.8,3809709,48.61,49.98,48.53,49.49,1678200,2026-01-13T03:44:29Z
INTU,2006-02-22,21.62,21.77,21.28,21.47,3637413,49.08,49.41,48.31,48.74,1602300,2026-01-13T03:44:29Z
INTU,2006-02-23,21.4,21.66,21.36,21.59,3060809,48.57,49.18,48.5,49,1348300,2026-01-13T03:44:29Z
INTU,2006-02-24,21.4,21.54,21.25,21.43,2550032,48.59,48.89,48.25,48.65,1123300,2026-01-13T03:44:29Z
INTU,2006-02-27,21.79,22.49,21.28,21.35,5648511,49.46,51.05,48.3,48.47,2488200,2026-01-13T03:44:29Z
INTU,2006-02-28,21.41,21.78,21.24,21.75,3329352,48.61,49.45,48.22,49.37,1466600,2026-01-13T03:44:29Z
INTU,2006-03-01,21.56,21.76,21.31,21.4,3364323,48.95,49.39,48.37,48.59,1482000,2026-01-13T03:44:29Z
INTU,2006-03-02,21.33,21.62,21.21,21.53,3497795,48.42,49.07,48.15,48.87,1540800,2026-01-13T03:44:29Z
INTU,2006-03-03,21.4,21.78,21.14,21.22,3499171,48.59,49.45,47.98,48.18,1541400,2026-01-13T03:44:29Z
INTU,2006-03-06,21.4,21.51,21.27,21.42,4606765,48.59,48.82,48.29,48.63,2029300,2026-01-13T03:44:29Z
INTU,2006-03-07,21.53,21.61,21.32,21.37,4133207,48.88,49.05,48.4,48.51,1820700,2026-01-13T03:44:29Z
INTU,2006-03-08,21.37,21.78,21.36,21.56,3725496,48.51,49.45,48.49,48.95,1641100,2026-01-13T03:44:29Z
INTU,2006-03-09,22.79,23.24,22.16,22.26,8737707,51.73,52.75,50.31,50.54,3849000,2026-01-13T03:44:29Z
INTU,2006-03-10,23.24,23.31,22.73,22.88,5732270,52.76,52.91,51.6,51.95,2525100,2026-01-13T03:44:29Z
INTU,2006-03-13,23.21,23.36,23.12,23.14,4343650,52.68,53.02,52.48,52.53,1913400,2026-01-13T03:44:29Z
INTU,2006-03-14,23.09,23.29,22.73,23.23,5552028,52.41,52.87,51.59,52.74,2445700,2026-01-13T03:44:29Z
INTU,2006-03-15,23.3,23.35,23.02,23.13,4059207,52.9,53,52.27,52.5,1788100,2026-01-13T03:44:29Z
