ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
JNJ,2006-01-03,34.32,34.45,34,34.01,19218929,61.63,61.85,61.05,61.07,10703100,2026-02-28T03:46:24Z
JNJ,2006-01-04,34.85,34.88,34.39,34.49,16283035,62.58,62.64,61.76,61.93,9068100,2026-02-28T03:46:24Z
JNJ,2006-01-05,34.71,35.06,34.58,34.85,17691716,62.32,62.95,62.1,62.57,9852600,2026-02-28T03:46:24Z
JNJ,2006-01-06,34.86,34.94,34.61,34.73,10628937,62.6,62.74,62.14,62.36,5919300,2026-02-28T03:46:24Z
JNJ,2006-01-09,35.08,35.09,34.77,34.82,12755693,62.99,63.01,62.43,62.52,7103700,2026-02-28T03:46:24Z
JNJ,2006-01-10,35.14,35.14,34.81,34.82,11955900,63.1,63.1,62.5,62.52,6658300,2026-02-28T03:46:24Z
JNJ,2006-01-11,34.81,35.08,34.49,35.06,15844921,62.5,62.99,61.94,62.96,8824100,2026-02-28T03:46:24Z
JNJ,2006-01-12,34.65,34.83,34.42,34.81,13040666,62.21,62.55,61.8,62.5,7262400,2026-02-28T03:46:24Z
JNJ,2006-01-13,34.43,34.69,34.2,34.47,12647783,61.82,62.29,61.42,61.9,7043600,2026-02-28T03:46:24Z
JNJ,2006-01-17,34.13,34.57,34.03,34.14,17371024,61.28,62.07,61.1,61.31,9674000,2026-02-28T03:46:24Z
JNJ,2006-01-18,34.63,34.66,34.17,34.39,13580780,62.19,62.24,61.35,61.75,7563200,2026-02-28T03:46:24Z
JNJ,2006-01-19,34.62,34.87,34.36,34.7,13457764,62.17,62.62,61.7,62.3,7494700,2026-02-28T03:46:24Z
JNJ,2006-01-20,33.86,34.7,33.82,34.1,19796748,60.8,62.3,60.73,61.24,11024900,2026-02-28T03:46:24Z
JNJ,2006-01-23,34.08,34.1,33.75,33.83,12959847,61.19,61.24,60.61,60.75,7217400,2026-02-28T03:46:24Z
JNJ,2006-01-24,33.06,34.1,33.06,33.52,35835714,59.36,61.24,59.36,60.19,19957100,2026-02-28T03:46:24Z
JNJ,2006-01-25,32.58,33.97,32.32,33.97,45553073,58.5,61,58.04,61,25368700,2026-02-28T03:46:24Z
JNJ,2006-01-26,32.66,33.14,32.61,32.72,28633438,58.64,59.5,58.56,58.75,15946100,2026-02-28T03:46:24Z
JNJ,2006-01-27,32.7,32.97,32.49,32.83,20822936,58.71,59.21,58.35,58.95,11596400,2026-02-28T03:46:24Z
JNJ,2006-01-30,32.52,32.72,32.32,32.7,21327908,58.4,58.75,58.04,58.71,11877600,2026-02-28T03:46:24Z
JNJ,2006-01-31,32.04,32.49,31.99,32.38,36924985,57.54,58.34,57.45,58.15,20563700,2026-02-28T03:46:24Z
JNJ,2006-02-01,32.22,32.53,32.11,32.12,24064625,57.86,58.42,57.65,57.67,13401700,2026-02-28T03:46:24Z
JNJ,2006-02-02,32.11,32.51,32.07,32.49,17982586,57.65,58.38,57.59,58.35,10014600,2026-02-28T03:46:24Z
