ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
LLY,2006-01-03,32.05,32.18,31.37,31.95,7082971,57.36,57.59,56.15,57.19,3957400,2026-02-14T03:46:13Z
LLY,2006-01-04,31.89,32.27,31.78,32.12,7087973,57.08,57.75,56.88,57.48,3960200,2026-02-14T03:46:13Z
LLY,2006-01-05,32.07,32.09,31.79,32.04,5621052,57.39,57.44,56.89,57.35,3140600,2026-02-14T03:46:13Z
LLY,2006-01-06,32.31,32.47,31.9,32.24,5582920,57.82,58.12,57.09,57.7,3119300,2026-02-14T03:46:13Z
LLY,2006-01-09,32.73,32.89,32.26,32.34,5284207,58.58,58.86,57.74,57.88,2952400,2026-02-14T03:46:13Z
LLY,2006-01-10,32.51,32.97,32.17,32.66,6208642,58.18,59,57.58,58.45,3468900,2026-02-14T03:46:13Z
LLY,2006-01-11,32.51,32.6,32.19,32.6,3419415,58.18,58.35,57.61,58.35,1910500,2026-02-14T03:46:13Z
LLY,2006-01-12,32.38,32.79,32.17,32.56,4843201,57.95,58.69,57.57,58.28,2706000,2026-02-14T03:46:13Z
LLY,2006-01-13,32.38,32.69,32.29,32.46,5696757,57.95,58.5,57.8,58.1,3182900,2026-02-14T03:46:13Z
LLY,2006-01-17,32,32.38,31.91,32.15,6030192,57.27,57.95,57.11,57.55,3369200,2026-02-14T03:46:13Z
LLY,2006-01-18,31.82,31.97,31.62,31.97,5670441,56.96,57.22,56.6,57.22,3168200,2026-02-14T03:46:13Z
LLY,2006-01-19,31.95,32.3,31.75,32.07,6462252,57.18,57.81,56.82,57.4,3610600,2026-02-14T03:46:13Z
LLY,2006-01-20,31.79,32.05,31.69,31.93,9021146,56.9,57.36,56.71,57.15,5040300,2026-02-14T03:46:13Z
LLY,2006-01-23,31.96,32.15,31.57,31.89,6021973,57.21,57.55,56.51,57.08,3364600,2026-02-14T03:46:13Z
LLY,2006-01-24,31.91,32.35,31.7,32.14,6655190,57.11,57.9,56.73,57.52,3718400,2026-02-14T03:46:13Z
LLY,2006-01-25,31.94,32.29,31.93,32.04,8690914,57.17,57.79,57.15,57.35,4855800,2026-02-14T03:46:13Z
LLY,2006-01-26,31.81,32.21,31.79,32.13,12264613,56.93,57.65,56.9,57.5,6852500,2026-02-14T03:46:13Z
LLY,2006-01-27,32.15,32.24,31.7,31.73,12279471,57.55,57.7,56.73,56.79,6860800,2026-02-14T03:46:13Z
LLY,2006-01-30,32.05,32.31,31.96,32.22,5575416,57.37,57.83,57.21,57.66,3115100,2026-02-14T03:46:13Z
LLY,2006-01-31,31.63,31.94,31.29,31.93,11650351,56.62,57.17,56,57.15,6509300,2026-02-14T03:46:13Z
LLY,2006-02-01,31.79,31.85,31.3,31.48,7213984,56.89,57,56.02,56.34,4030600,2026-02-14T03:46:13Z
LLY,2006-02-02,31.46,31.92,31.36,31.74,6099465,56.3,57.13,56.12,56.8,3407900,2026-02-14T03:46:13Z
LLY,2006-02-03,31.21,31.49,31.12,31.26,7270523,55.86,56.36,55.7,55.94,4062200,2026-02-14T03:46:13Z
LLY,2006-02-06,30.96,31.21,30.78,31.15,4985854,55.42,55.85,55.09,55.75,2785700,2026-02-14T03:46:13Z
LLY,2006-02-07,30.72,31.05,30.51,30.87,5673847,54.98,55.57,54.6,55.25,3170100,2026-02-14T03:46:13Z
LLY,2006-02-08,31.12,31.22,30.64,30.64,4695002,55.7,55.88,54.84,54.84,2623200,2026-02-14T03:46:13Z
LLY,2006-02-09,31.46,31.75,31.04,31.12,9372296,56.3,56.83,55.55,55.7,5236500,2026-02-14T03:46:13Z
LLY,2006-02-10,31.39,31.62,31.15,31.53,5401971,56.18,56.6,55.75,56.44,3018200,2026-02-14T03:46:13Z
LLY,2006-02-13,31.15,31.41,30.89,31.39,5080784,55.35,55.82,54.9,55.78,2859100,2026-02-14T03:46:13Z
LLY,2006-02-14,31.22,31.4,30.85,31.25,7143960,55.48,55.8,54.82,55.53,4020100,2026-02-14T03:46:13Z
LLY,2006-02-15,31.52,31.71,31.09,31.31,4749367,56.02,56.35,55.25,55.63,2672600,2026-02-14T03:46:13Z
LLY,2006-02-16,31.72,31.76,31.19,31.53,5421277,56.36,56.44,55.43,56.03,3050700,2026-02-14T03:46:13Z
LLY,2006-02-17,31.42,31.79,31.23,31.78,5104780,55.84,56.5,55.5,56.48,2872600,2026-02-14T03:46:13Z
LLY,2006-02-21,31.23,31.57,31.2,31.33,4759671,55.5,56.1,55.45,55.68,2678400,2026-02-14T03:46:13Z
LLY,2006-02-22,31.57,31.68,31.31,31.4,4348109,56.1,56.29,55.63,55.8,2446800,2026-02-14T03:46:13Z
LLY,2006-02-23,31.47,31.5,31.2,31.45,4641670,55.93,55.97,55.45,55.89,2612000,2026-02-14T03:46:13Z
LLY,2006-02-24,31.52,31.68,31.41,31.6,4434472,56.02,56.3,55.81,56.15,2495400,2026-02-14T03:46:13Z
LLY,2006-02-27,31.92,32.12,31.46,31.46,4407644,56.73,57.07,55.91,55.91,2480300,2026-02-14T03:46:13Z
LLY,2006-02-28,31.3,32.02,31.2,32,8307218,55.62,56.9,55.45,56.87,4674700,2026-02-14T03:46:13Z
LLY,2006-03-01,31.45,31.48,30.87,31.16,6224315,55.89,55.94,54.85,55.37,3502600,2026-02-14T03:46:13Z
LLY,2006-03-02,31.37,31.53,31.28,31.45,4176082,55.75,56.03,55.58,55.89,2350000,2026-02-14T03:46:13Z
LLY,2006-03-03,31.35,31.72,31.18,31.23,4312915,55.71,56.37,55.4,55.5,2427000,2026-02-14T03:46:13Z
LLY,2006-03-06,31.79,31.96,31.39,31.51,7148925,56.49,56.8,55.78,56,4022900,2026-02-14T03:46:13Z
LLY,2006-03-07,31.86,32.07,31.74,31.79,6065458,56.61,56.99,56.4,56.49,3413200,2026-02-14T03:46:13Z
LLY,2006-03-08,32.28,32.36,31.78,31.79,7554266,57.36,57.51,56.47,56.5,4251000,2026-02-14T03:46:13Z
LLY,2006-03-09,32.12,32.58,32,32.58,5982644,57.08,57.9,56.86,57.9,3366600,2026-02-14T03:46:13Z
LLY,2006-03-10,32.22,32.41,32.02,32.33,6262879,57.25,57.6,56.9,57.46,3524300,2026-02-14T03:46:13Z
LLY,2006-03-13,32.21,32.44,32.12,32.37,4276140,57.24,57.65,57.08,57.53,2406300,2026-02-14T03:46:13Z
LLY,2006-03-14,32.39,32.48,31.99,32.12,6303222,57.55,57.72,56.85,57.07,3547000,2026-02-14T03:46:13Z
LLY,2006-03-15,32.06,32.3,31.77,32.24,7171851,56.97,57.4,56.45,57.3,4035800,2026-02-14T03:46:13Z
