ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
LRCX,2006-01-03,3.12,3.14,3.02,3.07,34084639,36.69,36.92,35.44,36.09,2901700,2026-03-07T03:45:43Z
LRCX,2006-01-04,3.15,3.19,3.11,3.14,31973112,37.05,37.44,36.56,36.91,2721900,2026-03-07T03:45:43Z
LRCX,2006-01-05,3.21,3.25,3.17,3.17,25795089,37.74,38.22,37.26,37.27,2196000,2026-03-07T03:45:43Z
LRCX,2006-01-06,3.33,3.34,3.21,3.24,32736291,39.07,39.23,37.68,38,2786900,2026-03-07T03:45:43Z
LRCX,2006-01-09,3.36,3.39,3.3,3.32,30740579,39.46,39.8,38.78,38.99,2617000,2026-03-07T03:45:43Z
LRCX,2006-01-10,3.3,3.35,3.27,3.35,30598514,38.76,39.4,38.37,39.35,2604900,2026-03-07T03:45:43Z
LRCX,2006-01-11,3.38,3.4,3.24,3.28,31201984,39.65,39.92,38.09,38.56,2656300,2026-03-07T03:45:43Z
LRCX,2006-01-12,3.35,3.39,3.32,3.34,26893538,39.4,39.8,39.03,39.22,2289500,2026-03-07T03:45:43Z
LRCX,2006-01-13,3.26,3.31,3.23,3.3,30718217,38.29,38.87,37.9,38.75,2615100,2026-03-07T03:45:43Z
LRCX,2006-01-17,3.2,3.23,3.17,3.2,29118002,37.62,37.94,37.22,37.64,2478900,2026-03-07T03:45:43Z
LRCX,2006-01-18,3.26,3.27,3.15,3.19,48881435,38.32,38.45,36.94,37.44,4161300,2026-03-07T03:45:43Z
LRCX,2006-01-19,3.73,3.75,3.58,3.59,140511467,43.85,44,42.04,42.15,11961900,2026-03-07T03:45:43Z
LRCX,2006-01-20,3.58,3.7,3.58,3.69,45908134,42.02,43.49,42.02,43.35,3908200,2026-03-07T03:45:43Z
LRCX,2006-01-23,3.61,3.68,3.58,3.61,31559265,42.46,43.28,42.06,42.41,2686700,2026-03-07T03:45:43Z
LRCX,2006-01-24,3.76,3.79,3.61,3.65,37626135,44.21,44.54,42.39,42.87,3203200,2026-03-07T03:45:43Z
LRCX,2006-01-25,3.73,3.83,3.68,3.77,40057622,43.82,45,43.17,44.3,3410200,2026-03-07T03:45:43Z
LRCX,2006-01-26,3.87,3.87,3.75,3.78,42155075,45.45,45.45,43.99,44.35,3588700,2026-03-07T03:45:43Z
LRCX,2006-01-27,3.94,4.01,3.86,3.88,54917268,46.32,47.11,45.34,45.56,4675200,2026-03-07T03:45:43Z
LRCX,2006-01-30,3.99,4.01,3.95,3.96,30432629,46.86,47.1,46.35,46.55,2590800,2026-03-07T03:45:43Z
LRCX,2006-01-31,3.95,4,3.91,4,36880177,46.43,46.96,45.91,46.96,3139700,2026-03-07T03:45:43Z
LRCX,2006-02-01,3.99,4.04,3.93,3.94,25016691,46.89,47.45,46.17,46.23,2129700,2026-03-07T03:45:43Z
LRCX,2006-02-02,3.92,4.04,3.9,3.99,32523802,46.01,47.5,45.82,46.85,2768800,2026-03-07T03:45:43Z
LRCX,2006-02-03,3.94,4,3.87,3.92,20466136,46.23,47,45.5,46.06,1742300,2026-03-07T03:45:43Z
LRCX,2006-02-06,3.99,3.99,3.89,3.95,23769174,46.85,46.88,45.72,46.38,2023500,2026-03-07T03:45:43Z
LRCX,2006-02-07,3.95,4.01,3.88,4,19037342,46.35,47.1,45.59,47.02,1620700,2026-03-07T03:45:43Z
LRCX,2006-02-08,4.04,4.04,3.95,3.99,27893212,47.41,47.42,46.42,46.82,2374600,2026-03-07T03:45:43Z
LRCX,2006-02-09,4.01,4.13,4.01,4.07,70396824,47.08,48.54,47.08,47.84,5993000,2026-03-07T03:45:43Z
LRCX,2006-02-10,4.09,4.09,3.88,4,54172209,48.03,48.03,45.55,47.02,4611800,2026-03-07T03:45:43Z
LRCX,2006-02-13,3.95,4.09,3.94,4.08,22964229,46.45,48.01,46.25,47.95,1955000,2026-03-07T03:45:43Z
LRCX,2006-02-14,3.99,4,3.9,3.97,25723488,46.86,47.02,45.8,46.66,2189900,2026-03-07T03:45:43Z
LRCX,2006-02-15,4.06,4.07,3.92,3.97,35803238,47.74,47.82,46.09,46.67,3048000,2026-03-07T03:45:43Z
LRCX,2006-02-16,3.93,4.14,3.91,4.1,50890990,46.19,48.57,45.89,48.2,4332400,2026-03-07T03:45:43Z
LRCX,2006-02-17,3.8,3.94,3.78,3.93,48422320,44.62,46.27,44.41,46.12,4122300,2026-03-07T03:45:43Z
LRCX,2006-02-21,3.8,3.82,3.71,3.79,36384526,44.58,44.82,43.57,44.56,3097500,2026-03-07T03:45:43Z
LRCX,2006-02-22,3.76,3.82,3.65,3.82,41098257,44.13,44.81,42.9,44.81,3498800,2026-03-07T03:45:43Z
