ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
MCD,2006-01-03,19.23,19.67,19.05,19.67,16122513,33.52,34.29,33.2,34.29,9250100,2026-03-07T03:45:46Z
MCD,2006-01-04,19.4,19.42,19.17,19.18,10440664,33.82,33.85,33.42,33.43,5990200,2026-03-07T03:45:46Z
MCD,2006-01-05,19.43,19.62,19.35,19.4,10885090,33.86,34.2,33.73,33.82,6245200,2026-03-07T03:45:46Z
MCD,2006-01-06,19.54,19.68,19.4,19.64,10243534,34.06,34.3,33.81,34.23,5877100,2026-03-07T03:45:46Z
MCD,2006-01-09,19.91,19.93,19.5,19.51,8122018,34.71,34.74,33.99,34,4659900,2026-03-07T03:45:46Z
MCD,2006-01-10,19.93,20,19.82,19.86,12238723,34.74,34.85,34.54,34.61,7021800,2026-03-07T03:45:46Z
MCD,2006-01-11,20.28,20.29,19.97,19.98,14307924,35.34,35.36,34.8,34.82,8209000,2026-03-07T03:45:46Z
MCD,2006-01-12,19.96,20.26,19.93,20.22,20207177,34.79,35.32,34.74,35.25,11593600,2026-03-07T03:45:46Z
MCD,2006-01-13,19.78,19.93,19.71,19.88,8379630,34.47,34.74,34.35,34.65,4807700,2026-03-07T03:45:46Z
MCD,2006-01-17,19.85,20.17,19.8,19.92,9584861,34.59,35.16,34.52,34.72,5499200,2026-03-07T03:45:46Z
MCD,2006-01-18,20.08,20.33,19.74,19.84,18392536,34.99,35.44,34.41,34.58,10552500,2026-03-07T03:45:46Z
MCD,2006-01-19,20.2,20.29,20.08,20.25,15850073,35.2,35.37,35,35.3,9093800,2026-03-07T03:45:46Z
MCD,2006-01-20,20.57,20.6,20.13,20.2,19934753,35.86,35.91,35.09,35.2,11437300,2026-03-07T03:45:46Z
MCD,2006-01-23,20.49,20.71,20.24,20.57,12191618,35.71,36.09,35.27,35.86,6994800,2026-03-07T03:45:46Z
