ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
META,2012-05-18,37.96,44.69,37.74,41.76,584643370,38.23,45,38,42.05,580587776,2025-12-19T03:47:25Z
META,2012-05-21,33.79,36.41,32.77,36.28,169485684,34.03,36.66,33,36.53,168309792,2025-12-19T03:47:25Z
META,2012-05-22,30.79,33.36,30.73,32.38,102766533,31,33.59,30.94,32.61,102053800,2025-12-19T03:47:25Z
META,2012-05-23,31.78,32.28,31.14,31.15,74236117,32,32.5,31.36,31.37,73721104,2025-12-19T03:47:25Z
META,2012-05-24,32.8,32.98,31.55,32.72,50626955,33.03,33.21,31.77,32.95,50275800,2025-12-19T03:47:25Z
META,2012-05-25,31.69,32.72,30.89,32.67,37449433,31.91,32.95,31.11,32.9,37189600,2025-12-19T03:47:25Z
META,2012-05-29,28.64,31.47,28.45,31.26,78606191,28.84,31.69,28.65,31.48,78060800,2025-12-19T03:47:25Z
META,2012-05-30,27.99,29.35,27.67,28.49,57667731,28.19,29.55,27.86,28.69,57267800,2025-12-19T03:47:25Z
META,2012-05-31,29.39,29.46,26.64,28.35,112418924,29.6,29.67,26.83,28.55,111639200,2025-12-19T03:47:25Z
META,2012-06-01,27.53,28.95,27.2,28.69,42147787,27.72,29.15,27.39,28.89,41855400,2025-12-19T03:47:25Z
META,2012-06-04,26.71,27.46,26.26,27.01,35476291,26.9,27.65,26.44,27.2,35230200,2025-12-19T03:47:25Z
META,2012-06-05,25.69,27.57,25.57,26.52,42769961,25.87,27.76,25.75,26.7,42473200,2025-12-19T03:47:25Z
META,2012-06-06,26.62,26.98,25.34,25.89,61905176,26.81,27.17,25.52,26.07,61475700,2025-12-19T03:47:25Z
META,2012-06-07,26.13,27.16,25.97,26.81,26343229,26.31,27.35,26.15,27,26160500,2025-12-19T03:47:25Z
META,2012-06-08,26.91,27.57,26.26,26.37,38270793,27.1,27.76,26.44,26.55,38005300,2025-12-19T03:47:25Z
META,2012-06-11,26.81,27.88,26.64,26.99,28422970,27,28.07,26.83,27.18,28225800,2025-12-19T03:47:25Z
META,2012-06-12,27.21,27.58,26.77,27.29,15932942,27.4,27.77,26.96,27.48,15822400,2025-12-19T03:47:25Z
META,2012-06-13,27.08,27.91,26.91,27.47,17238199,27.27,28.1,27.1,27.66,17118600,2025-12-19T03:47:25Z
META,2012-06-14,28.09,28.12,27.19,27.46,16971805,28.29,28.32,27.38,27.65,16854100,2025-12-19T03:47:25Z
META,2012-06-15,29.8,29.89,28.15,28.3,43868044,30.01,30.1,28.35,28.5,43563700,2025-12-19T03:47:25Z
META,2012-06-18,31.19,31.86,29.21,29.74,43278432,31.41,32.08,29.41,29.95,42978200,2025-12-19T03:47:25Z
META,2012-06-19,31.69,31.96,30.49,31.31,31064433,31.91,32.18,30.7,31.53,30848900,2025-12-19T03:47:25Z
META,2012-06-20,31.38,31.71,30.93,31.7,15667581,31.6,31.93,31.15,31.92,15558900,2025-12-19T03:47:25Z
META,2012-06-21,31.62,32.28,31.29,31.45,22028025,31.84,32.5,31.51,31.67,21875200,2025-12-19T03:47:25Z
META,2012-06-22,32.82,33.22,31.84,32.19,75356723,33.05,33.45,32.06,32.41,74833904,2025-12-19T03:47:25Z
META,2012-06-25,31.84,32.79,31.33,32.63,24522915,32.06,33.02,31.55,32.86,24352800,2025-12-19T03:47:25Z
META,2012-06-26,32.87,33.21,32.28,32.46,25032237,33.1,33.44,32.5,32.69,24858600,2025-12-19T03:47:25Z
META,2012-06-27,32.01,32.67,31.68,32.24,28799297,32.23,32.9,31.9,32.46,28599500,2025-12-19T03:47:25Z
META,2012-06-28,31.14,31.97,30.69,31.74,17836909,31.36,32.19,30.9,31.96,17713200,2025-12-19T03:47:25Z
META,2012-06-29,30.87,31.77,30.55,31.7,19663221,31.09,31.99,30.76,31.92,19526800,2025-12-19T03:47:25Z
META,2012-07-02,30.56,31.51,30.34,31.03,14230090,30.77,31.73,30.55,31.25,14131400,2025-12-19T03:47:25Z
META,2012-07-03,30.98,31.22,30.59,30.7,8826620,31.2,31.44,30.8,30.91,8765400,2025-12-19T03:47:25Z
META,2012-07-05,31.25,31.41,30.81,31.06,10106708,31.47,31.63,31.02,31.28,10036600,2025-12-19T03:47:25Z
META,2012-07-06,31.51,31.68,31.04,31.22,11025480,31.73,31.9,31.26,31.44,10949000,2025-12-19T03:47:25Z
META,2012-07-09,31.95,32.65,31.77,31.88,17909356,32.17,32.88,31.99,32.1,17785100,2025-12-19T03:47:25Z
