ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
MRK,2006-01-03,16.02,16.08,15.56,15.9,23776466,32.75,32.87,31.81,32.52,11627600,2025-12-19T03:47:27Z
MRK,2006-01-04,16.2,16.24,16.02,16.02,25656948,33.13,33.2,32.75,32.75,12547200,2025-12-19T03:47:27Z
MRK,2006-01-05,16.23,16.33,15.89,16.1,31967826,33.18,33.39,32.5,32.92,15633500,2025-12-19T03:47:27Z
MRK,2006-01-06,16.2,16.31,16.08,16.18,19074721,33.12,33.36,32.87,33.09,9328300,2025-12-19T03:47:27Z
MRK,2006-01-09,16.46,16.46,16.02,16.25,32591778,33.66,33.66,32.75,33.22,15938600,2025-12-19T03:47:27Z
MRK,2006-01-10,16.3,16.36,16.2,16.36,18363328,33.33,33.45,33.13,33.45,8980400,2025-12-19T03:47:27Z
MRK,2006-01-11,16.36,16.43,16.29,16.38,19527535,33.46,33.59,33.31,33.49,9549700,2025-12-19T03:47:27Z
MRK,2006-01-12,16.37,16.42,16.31,16.41,14617671,33.48,33.58,33.35,33.56,7148600,2025-12-19T03:47:27Z
MRK,2006-01-13,16.37,16.49,16.31,16.4,14478223,33.47,33.72,33.35,33.53,7080400,2025-12-19T03:47:27Z
MRK,2006-01-17,16.24,16.46,16.14,16.19,20976017,33.21,33.65,33.01,33.11,10258100,2025-12-19T03:47:27Z
MRK,2006-01-18,16.15,16.34,16.11,16.2,18728225,33.03,33.42,32.95,33.12,9158800,2025-12-19T03:47:27Z
MRK,2006-01-19,16.29,16.45,16.25,16.31,19062668,33.32,33.63,33.22,33.36,9322400,2025-12-19T03:47:27Z
MRK,2006-01-20,16.26,16.35,16.14,16.3,20733579,33.25,33.43,33.01,33.32,10139500,2025-12-19T03:47:27Z
MRK,2006-01-23,16.06,16.24,16.02,16.21,15887741,32.83,33.21,32.76,33.14,7769700,2025-12-19T03:47:27Z
MRK,2006-01-24,16.03,16.14,15.95,16.01,15767860,32.78,33.01,32.61,32.73,7711100,2025-12-19T03:47:27Z
MRK,2006-01-25,16.23,16.26,15.92,15.99,16608701,33.19,33.24,32.55,32.7,8122300,2025-12-19T03:47:27Z
MRK,2006-01-26,16.6,16.65,16.3,16.31,22646829,33.95,34.05,33.32,33.34,11075200,2025-12-19T03:47:27Z
MRK,2006-01-27,16.97,17.04,16.49,16.53,22389489,34.7,34.85,33.71,33.8,10949300,2025-12-19T03:47:27Z
MRK,2006-01-30,16.85,16.95,16.66,16.83,20563165,34.46,34.65,34.06,34.41,10056200,2025-12-19T03:47:27Z
MRK,2006-01-31,16.87,17.06,16.82,17.05,30633223,34.5,34.88,34.39,34.87,14980800,2025-12-19T03:47:27Z
MRK,2006-02-01,16.95,16.99,16.73,16.76,17833947,34.66,34.74,34.2,34.27,8721500,2025-12-19T03:47:27Z
MRK,2006-02-02,16.54,16.98,16.48,16.9,21798667,33.82,34.73,33.7,34.55,10660400,2025-12-19T03:47:27Z
MRK,2006-02-03,16.82,16.94,16.54,16.87,21287731,34.39,34.64,33.82,34.5,10410500,2025-12-19T03:47:27Z
MRK,2006-02-06,16.54,16.77,16.5,16.75,13823632,33.83,34.29,33.74,34.24,6760300,2025-12-19T03:47:27Z
MRK,2006-02-07,16.48,16.82,16.41,16.48,13796669,33.69,34.4,33.56,33.7,6747100,2025-12-19T03:47:27Z
MRK,2006-02-08,16.77,16.86,16.45,16.58,19116115,34.29,34.48,33.64,33.9,9348500,2025-12-19T03:47:27Z
MRK,2006-02-09,16.79,16.97,16.77,16.86,17604729,34.34,34.7,34.3,34.48,8609400,2025-12-19T03:47:27Z
MRK,2006-02-10,16.78,16.82,16.46,16.48,14811522,34.31,34.4,33.66,33.7,7243400,2025-12-19T03:47:27Z
MRK,2006-02-13,16.78,16.97,16.69,16.78,11703994,34.31,34.69,34.13,34.32,5723700,2025-12-19T03:47:27Z
MRK,2006-02-14,16.95,16.98,16.8,16.88,13551256,34.67,34.72,34.35,34.51,6627100,2025-12-19T03:47:27Z
MRK,2006-02-15,17.26,17.26,16.91,16.91,26167013,35.29,35.3,34.58,34.58,12796700,2025-12-19T03:47:27Z
MRK,2006-02-16,17.6,17.65,17.11,17.12,25200272,35.98,36.08,34.98,35,12323900,2025-12-19T03:47:27Z
MRK,2006-02-17,17.63,17.64,17.37,17.6,24010838,36.05,36.06,35.52,35.98,11742200,2025-12-19T03:47:27Z
MRK,2006-02-21,17.4,17.92,17.35,17.86,20084080,35.59,36.65,35.47,36.52,9821900,2025-12-19T03:47:27Z
MRK,2006-02-22,17.57,17.73,17.36,17.51,24502927,35.92,36.25,35.5,35.81,11982900,2025-12-19T03:47:27Z
MRK,2006-02-23,17.32,17.46,17.26,17.39,21503974,35.41,35.7,35.29,35.55,10516300,2025-12-19T03:47:27Z
MRK,2006-02-24,17.17,17.38,17.12,17.38,13352284,35.1,35.54,35,35.54,6529800,2025-12-19T03:47:27Z
