ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
MRVL,2006-01-03,24.77,24.92,23.48,24.15,10306285,58.17,58.51,55.12,56.71,4389500,2026-01-13T03:44:31Z
MRVL,2006-01-04,24.63,25.09,24.49,24.82,7859038,57.82,58.9,57.49,58.27,3347200,2026-01-13T03:44:31Z
MRVL,2006-01-05,25.62,25.64,24.69,24.82,10094483,60.16,60.2,57.96,58.27,4299300,2026-01-13T03:44:31Z
MRVL,2006-01-06,26.14,26.36,25.33,25.78,10680060,61.38,61.89,59.48,60.53,4548700,2026-01-13T03:44:31Z
MRVL,2006-01-09,26.43,26.65,26.2,26.39,10597654,62.06,62.58,61.51,61.97,4513600,2026-01-13T03:44:31Z
MRVL,2006-01-10,27.68,27.68,26.53,26.79,21125622,65,65,62.3,62.89,8997500,2026-01-13T03:44:31Z
MRVL,2006-01-11,28.47,28.7,27.89,27.9,22124846,66.85,67.39,65.49,65.51,9423100,2026-01-13T03:44:31Z
MRVL,2006-01-12,27.24,28.41,27.16,28.08,15039986,63.95,66.71,63.77,65.93,6405600,2026-01-13T03:44:31Z
MRVL,2006-01-13,27.45,27.52,26.54,27.27,13382813,64.46,64.61,62.32,64.03,5699800,2026-01-13T03:44:31Z
MRVL,2006-01-17,26.82,27.36,26.66,27.36,8339176,62.96,64.24,62.6,64.23,3551700,2026-01-13T03:44:31Z
MRVL,2006-01-18,27.24,27.38,25.97,26.19,13978482,63.95,64.28,60.98,61.5,5953500,2026-01-13T03:44:31Z
MRVL,2006-01-19,27.73,28.2,27.67,27.98,10499294,65.1,66.2,64.97,65.69,4471700,2026-01-13T03:44:31Z
MRVL,2006-01-20,26.58,27.87,26.49,27.66,10581949,62.41,65.43,62.2,64.95,4506900,2026-01-13T03:44:31Z
MRVL,2006-01-23,26.82,27.25,26.58,26.83,9622801,62.98,63.99,62.4,63,4098400,2026-01-13T03:44:31Z
MRVL,2006-01-24,27.79,27.85,26.99,26.99,8825188,65.24,65.39,63.36,63.37,3758700,2026-01-13T03:44:31Z
