ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
MS,2006-01-03,31.35,31.45,30.51,30.74,10001016,58.31,58.49,56.74,57.17,5377000,2026-02-03T03:45:46Z
MS,2006-01-04,31.37,31.87,31.37,31.56,14838408,58.35,59.28,58.35,58.7,7977800,2026-02-03T03:45:46Z
MS,2006-01-05,31.46,31.5,31.19,31.48,10746871,58.51,58.59,58.02,58.55,5778000,2026-02-03T03:45:46Z
MS,2006-01-06,31.49,31.64,31.21,31.6,12814762,58.57,58.85,58.05,58.77,6889800,2026-02-03T03:45:46Z
MS,2006-01-09,31.82,31.88,31.52,31.52,7708619,59.19,59.29,58.62,58.63,4144500,2026-02-03T03:45:46Z
MS,2006-01-10,31.84,31.84,31.5,31.64,8767133,59.22,59.22,58.58,58.85,4713600,2026-02-03T03:45:46Z
MS,2006-01-11,32.17,32.34,31.78,31.95,10808776,59.57,59.88,58.84,59.15,5837900,2026-02-03T03:45:46Z
MS,2006-01-12,32.12,32.29,32.01,32.21,7068406,59.47,59.78,59.27,59.63,3817700,2026-02-03T03:45:46Z
MS,2006-01-13,32.07,32.23,31.9,32.17,6352250,59.38,59.67,59.06,59.57,3430900,2026-02-03T03:45:46Z
MS,2006-01-17,31.76,32.12,31.69,32.11,4859591,58.81,59.46,58.68,59.45,2624700,2026-02-03T03:45:46Z
MS,2006-01-18,31.57,31.81,31.35,31.62,5374853,58.45,58.9,58.05,58.55,2903000,2026-02-03T03:45:46Z
MS,2006-01-19,32.06,32.4,31.71,31.73,7059701,59.35,59.98,58.71,58.75,3813000,2026-02-03T03:45:46Z
MS,2006-01-20,31.25,32.16,31.01,32.03,10082998,57.85,59.55,57.41,59.3,5445900,2026-02-03T03:45:46Z
MS,2006-01-23,31.59,31.7,31.16,31.16,6974534,58.48,58.69,57.7,57.7,3767000,2026-02-03T03:45:46Z
MS,2006-01-24,31.7,32.11,31.66,31.77,7060818,58.69,59.45,58.62,58.82,3813600,2026-02-03T03:45:46Z
MS,2006-01-25,31.96,32.09,31.62,31.87,7427609,59.17,59.42,58.55,59,4011700,2026-02-03T03:45:46Z
MS,2006-01-26,32.39,32.68,32.13,32.67,10720844,59.97,60.5,59.49,60.49,5790400,2026-02-03T03:45:46Z
MS,2006-01-27,32.83,32.95,32.29,32.41,6850680,60.78,61,59.79,60,3700100,2026-02-03T03:45:46Z
MS,2006-01-30,32.77,33.41,32.75,33.19,7862514,60.67,61.85,60.64,61.45,4246600,2026-02-03T03:45:46Z
MS,2006-01-31,33.19,33.44,32.67,32.68,9587721,61.45,61.91,60.49,60.5,5178400,2026-02-03T03:45:46Z
MS,2006-02-01,33.39,33.47,32.89,33,6472794,61.83,61.96,60.89,61.1,3496000,2026-02-03T03:45:46Z
MS,2006-02-02,33.09,33.56,32.87,33.3,6424273,61.27,62.14,60.85,61.65,3469800,2026-02-03T03:45:46Z
MS,2006-02-03,33.18,33.57,32.6,32.73,7205233,61.44,62.15,60.36,60.6,3891600,2026-02-03T03:45:46Z
