ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
MSFT,2006-01-03,18.67,18.78,18.16,18.26,114956457,26.84,27,26.1,26.25,79974400,2026-02-21T03:46:12Z
MSFT,2006-01-04,18.76,18.84,18.62,18.62,83334770,26.97,27.08,26.77,26.77,57975600,2026-02-21T03:46:12Z
MSFT,2006-01-05,18.78,18.87,18.72,18.76,69351686,26.99,27.13,26.91,26.96,48247600,2026-02-21T03:46:12Z
MSFT,2006-01-06,18.72,18.78,18.43,18.71,145134406,26.91,27,26.49,26.89,100969000,2026-02-21T03:46:12Z
MSFT,2006-01-09,18.69,18.83,18.62,18.74,79960327,26.86,27.07,26.76,26.93,55627800,2026-02-21T03:46:12Z
MSFT,2006-01-10,18.78,18.8,18.5,18.54,93324116,27,27.02,26.59,26.65,64924900,2026-02-21T03:46:12Z
MSFT,2006-01-11,18.99,19.06,18.71,18.79,100796423,27.29,27.39,26.9,27.01,70123504,2026-02-21T03:46:12Z
MSFT,2006-01-12,18.88,18.97,18.76,18.85,66113532,27.14,27.26,26.97,27.1,45994700,2026-02-21T03:46:12Z
MSFT,2006-01-13,18.92,18.96,18.79,18.81,59579418,27.19,27.25,27.01,27.03,41449000,2026-02-21T03:46:12Z
MSFT,2006-01-17,18.78,18.92,18.71,18.71,84196128,26.99,27.19,26.9,26.9,58574800,2026-02-21T03:46:12Z
MSFT,2006-01-18,18.67,18.77,18.58,18.6,75457620,26.83,26.98,26.7,26.74,52495500,2026-02-21T03:46:12Z
MSFT,2006-01-19,18.8,18.95,18.68,18.69,86794720,27.02,27.24,26.85,26.87,60382400,2026-02-21T03:46:12Z
MSFT,2006-01-20,18.37,18.79,18.27,18.79,113883839,26.41,27.01,26.26,27.01,79228400,2026-02-21T03:46:12Z
MSFT,2006-01-23,18.33,18.46,18.3,18.37,68955174,26.35,26.53,26.3,26.41,47971600,2026-02-21T03:46:12Z
MSFT,2006-01-24,18.28,18.4,18.24,18.33,90645935,26.28,26.45,26.22,26.34,63061700,2026-02-21T03:46:12Z
MSFT,2006-01-25,18.37,18.49,18.25,18.37,84911995,26.4,26.57,26.23,26.41,59072700,2026-02-21T03:46:12Z
MSFT,2006-01-26,18.44,18.59,18.3,18.48,99945180,26.5,26.72,26.31,26.56,69531296,2026-02-21T03:46:12Z
MSFT,2006-01-27,19.33,19.45,18.92,18.94,193368727,27.79,27.95,27.19,27.23,134525200,2026-02-21T03:46:12Z
MSFT,2006-01-30,19.48,19.61,19.33,19.35,149490674,28,28.18,27.78,27.82,103999600,2026-02-21T03:46:12Z
MSFT,2006-01-31,19.58,19.74,19.39,19.42,136330533,28.15,28.38,27.87,27.91,94844400,2026-02-21T03:46:12Z
MSFT,2006-02-01,19.51,19.53,19.31,19.45,98373148,28.04,28.07,27.76,27.96,68437400,2026-02-21T03:46:12Z
MSFT,2006-02-02,19.26,19.47,19.17,19.46,79170767,27.68,27.99,27.55,27.97,55078600,2026-02-21T03:46:12Z
MSFT,2006-02-03,19.16,19.27,19.02,19.12,107839871,27.54,27.7,27.34,27.48,75023504,2026-02-21T03:46:12Z
MSFT,2006-02-06,18.9,19.16,18.85,19.14,86497247,27.17,27.54,27.09,27.51,60175600,2026-02-21T03:46:12Z
MSFT,2006-02-07,18.74,18.89,18.65,18.75,103765004,26.94,27.15,26.81,26.95,72188704,2026-02-21T03:46:12Z
MSFT,2006-02-08,18.72,18.84,18.58,18.79,74452952,26.91,27.08,26.71,27.01,51796400,2026-02-21T03:46:12Z
MSFT,2006-02-09,18.55,18.81,18.54,18.76,75983992,26.66,27.03,26.65,26.96,52861600,2026-02-21T03:46:12Z
MSFT,2006-02-10,18.57,18.71,18.44,18.52,74927948,26.69,26.89,26.51,26.62,52127000,2026-02-21T03:46:12Z
MSFT,2006-02-13,18.36,18.58,18.33,18.53,67142036,26.39,26.7,26.34,26.63,46710400,2026-02-21T03:46:12Z
MSFT,2006-02-14,18.54,18.56,18.33,18.37,83994029,26.65,26.68,26.35,26.41,58434000,2026-02-21T03:46:12Z
MSFT,2006-02-15,18.76,18.8,18.5,18.57,89981159,26.88,26.93,26.5,26.6,62811400,2026-02-21T03:46:12Z
MSFT,2006-02-16,18.71,18.78,18.55,18.74,70924795,26.81,26.9,26.57,26.85,49509000,2026-02-21T03:46:12Z
MSFT,2006-02-17,18.64,18.72,18.54,18.62,59469884,26.7,26.81,26.56,26.67,41513100,2026-02-21T03:46:12Z
MSFT,2006-02-21,18.53,18.65,18.39,18.65,71937479,26.54,26.72,26.34,26.72,50216100,2026-02-21T03:46:12Z
MSFT,2006-02-22,18.65,18.75,18.48,18.52,61665911,26.72,26.86,26.47,26.53,43045900,2026-02-21T03:46:12Z
MSFT,2006-02-23,18.61,18.77,18.53,18.66,68996248,26.66,26.89,26.54,26.73,48162800,2026-02-21T03:46:12Z
MSFT,2006-02-24,18.59,18.67,18.51,18.56,64115364,26.63,26.74,26.52,26.59,44755800,2026-02-21T03:46:12Z
MSFT,2006-02-27,18.88,19.03,18.62,18.67,73719035,27.05,27.26,26.67,26.75,51459700,2026-02-21T03:46:12Z
MSFT,2006-02-28,18.76,19.06,18.76,18.81,93170567,26.87,27.3,26.87,26.95,65037700,2026-02-21T03:46:12Z
MSFT,2006-03-01,18.95,18.99,18.81,18.83,75368431,27.14,27.2,26.95,26.98,52611000,2026-02-21T03:46:12Z
MSFT,2006-03-02,18.83,18.92,18.78,18.86,59961773,26.97,27.1,26.9,27.02,41856300,2026-02-21T03:46:12Z
MSFT,2006-03-03,18.8,18.96,18.67,18.72,64800615,26.93,27.16,26.74,26.81,45234100,2026-02-21T03:46:12Z
MSFT,2006-03-06,18.78,18.95,18.73,18.79,76031788,26.91,27.15,26.83,26.92,53074200,2026-02-21T03:46:12Z
MSFT,2006-03-07,18.89,18.92,18.72,18.78,73965784,27.06,27.1,26.81,26.9,51632000,2026-02-21T03:46:12Z
MSFT,2006-03-08,19.02,19.2,18.83,18.84,82450231,27.25,27.5,26.97,26.99,57554500,2026-02-21T03:46:12Z
MSFT,2006-03-09,18.85,19.14,18.85,19.04,65015228,27,27.42,27,27.27,45384000,2026-02-21T03:46:12Z
MSFT,2006-03-10,18.97,19,18.76,18.89,59180348,27.17,27.22,26.88,27.06,41310800,2026-02-21T03:46:12Z
MSFT,2006-03-13,18.92,19.05,18.81,18.97,57793512,27.11,27.29,26.94,27.18,40342900,2026-02-21T03:46:12Z
MSFT,2006-03-14,19.01,19.11,18.84,18.88,57300192,27.23,27.38,26.99,27.04,39998400,2026-02-21T03:46:12Z
MSFT,2006-03-15,19.1,19.16,18.85,18.99,81884172,27.36,27.45,27.01,27.2,57159400,2026-02-21T03:46:12Z
MSFT,2006-03-16,19.04,19.18,19,19.09,105721204,27.27,27.48,27.22,27.34,73798600,2026-02-21T03:46:12Z
MSFT,2006-03-17,19.2,19.31,19.04,19.09,172791987,27.5,27.66,27.27,27.35,120617600,2026-02-21T03:46:12Z
MSFT,2006-03-20,19.47,19.54,19.32,19.34,96117828,27.89,27.99,27.67,27.7,67095000,2026-02-21T03:46:12Z
MSFT,2006-03-21,19.36,19.7,19.32,19.52,104862879,27.74,28.22,27.68,27.96,73199504,2026-02-21T03:46:12Z
MSFT,2006-03-22,18.95,19.2,18.71,18.9,209193977,27.15,27.5,26.8,27.08,146028192,2026-02-21T03:46:12Z
MSFT,2006-03-23,18.74,18.92,18.61,18.9,105714452,26.85,27.1,26.66,27.08,73794200,2026-02-21T03:46:12Z
MSFT,2006-03-24,18.85,18.99,18.58,18.65,99080078,27.01,27.21,26.62,26.71,69163104,2026-02-21T03:46:12Z
MSFT,2006-03-27,18.85,19.06,18.85,18.85,85825339,27.01,27.3,27,27.01,59910600,2026-02-21T03:46:12Z
MSFT,2006-03-28,18.78,18.99,18.72,18.85,83834011,26.9,27.21,26.81,27.01,58520500,2026-02-21T03:46:12Z
MSFT,2006-03-29,18.86,18.99,18.79,18.81,76974764,27.02,27.2,26.92,26.95,53732200,2026-02-21T03:46:12Z
MSFT,2006-03-30,19.01,19.12,18.85,18.87,78235663,27.23,27.39,27,27.03,54612400,2026-02-21T03:46:12Z
MSFT,2006-03-31,18.99,19.22,18.99,19.06,89345040,27.21,27.54,27.21,27.3,62367500,2026-02-21T03:46:12Z
MSFT,2006-04-03,19.24,19.36,19.15,19.32,82529575,27.56,27.73,27.44,27.67,57609900,2026-02-21T03:46:12Z
MSFT,2006-04-04,19.29,19.41,19.18,19.27,65143337,27.64,27.8,27.47,27.6,45473300,2026-02-21T03:46:12Z
MSFT,2006-04-05,19.36,19.5,19.29,19.46,59514386,27.74,27.94,27.64,27.88,41544000,2026-02-21T03:46:12Z
MSFT,2006-04-06,19.24,19.35,19.11,19.31,74329327,27.56,27.72,27.37,27.66,51885700,2026-02-21T03:46:12Z
MSFT,2006-04-07,19.02,19.35,19.01,19.27,67698022,27.25,27.72,27.23,27.61,47256700,2026-02-21T03:46:12Z
MSFT,2006-04-10,19.05,19.15,18.99,19.01,56489745,27.29,27.44,27.2,27.23,39432700,2026-02-21T03:46:12Z
MSFT,2006-04-11,18.94,19.07,18.85,19.05,61533398,27.13,27.32,27,27.29,42953400,2026-02-21T03:46:12Z
MSFT,2006-04-12,18.99,18.99,18.83,18.92,46105342,27.2,27.2,26.97,27.1,32183900,2026-02-21T03:46:12Z
MSFT,2006-04-13,18.9,18.99,18.85,18.9,40355589,27.07,27.2,27,27.08,28170200,2026-02-21T03:46:12Z
MSFT,2006-04-17,18.74,18.88,18.66,18.87,51280317,26.84,27.05,26.73,27.03,35796300,2026-02-21T03:46:12Z
MSFT,2006-04-18,19,19.2,18.72,18.81,80618953,27.22,27.5,26.82,26.94,56276000,2026-02-21T03:46:12Z
MSFT,2006-04-19,18.87,18.98,18.82,18.92,64624714,27.03,27.19,26.96,27.11,45111300,2026-02-21T03:46:12Z
MSFT,2006-04-20,18.87,18.98,18.64,18.88,65961725,27.03,27.19,26.7,27.05,46044600,2026-02-21T03:46:12Z
MSFT,2006-04-21,18.95,19.12,18.85,18.88,83845517,27.15,27.39,27,27.05,58528500,2026-02-21T03:46:12Z
MSFT,2006-04-24,18.92,19.02,18.83,18.9,60624681,27.11,27.25,26.98,27.07,42319200,2026-02-21T03:46:12Z
MSFT,2006-04-25,18.92,18.99,18.86,18.91,70513909,27.11,27.21,27.02,27.09,49222400,2026-02-21T03:46:12Z
MSFT,2006-04-26,18.92,19.01,18.85,18.9,56147708,27.1,27.23,27,27.08,39194000,2026-02-21T03:46:12Z
MSFT,2006-04-27,19.02,19.29,18.81,18.83,143724795,27.25,27.63,26.94,26.97,100327296,2026-02-21T03:46:12Z
MSFT,2006-04-28,16.86,17.1,16.75,16.91,846757139,24.15,24.5,24,24.23,591078592,2026-02-21T03:46:12Z
MSFT,2006-05-01,16.96,17.45,16.82,16.98,250692965,24.29,25,24.09,24.32,174996896,2026-02-21T03:46:12Z
MSFT,2006-05-02,16.76,17.45,16.68,17.1,272990307,24.01,25,23.9,24.49,190561104,2026-02-21T03:46:12Z
MSFT,2006-05-03,16.17,16.77,16.16,16.75,303083951,23.17,24.02,23.15,23.99,211567504,2026-02-21T03:46:12Z
MSFT,2006-05-04,16.36,16.52,16.15,16.3,245352055,23.44,23.67,23.14,23.35,171268096,2026-02-21T03:46:12Z
MSFT,2006-05-05,16.61,16.72,16.42,16.52,188536384,23.8,23.95,23.52,23.66,131607904,2026-02-21T03:46:12Z
MSFT,2006-05-08,16.56,17.45,16.41,16.65,115604227,23.73,25,23.51,23.85,80697400,2026-02-21T03:46:12Z
