ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
NKE,2006-01-03,8.13,8.27,8.07,8.21,24398128,85.95,87.4,85.34,86.79,2308600,2026-03-06T03:47:15Z
NKE,2006-01-04,8.09,8.18,8.08,8.1,20914926,85.55,86.4,85.35,85.65,1979000,2026-03-06T03:47:15Z
NKE,2006-01-05,8.14,8.2,8.1,8.1,12227679,86.07,86.61,85.55,85.55,1157000,2026-03-06T03:47:15Z
NKE,2006-01-06,8.12,8.2,8.11,8.17,10005033,85.8,86.62,85.7,86.3,946700,2026-03-06T03:47:15Z
NKE,2006-01-09,8.23,8.31,8.12,8.12,13793856,87,87.82,85.76,85.8,1305200,2026-03-06T03:47:15Z
NKE,2006-01-10,8.25,8.31,8.17,8.18,15638100,87.18,87.86,86.38,86.45,1479700,2026-03-06T03:47:15Z
NKE,2006-01-11,8.26,8.33,8.23,8.26,13702945,87.3,88.06,87,87.3,1296600,2026-03-06T03:47:15Z
NKE,2006-01-12,8.17,8.34,8.14,8.34,14741747,86.31,88.16,86.01,88.16,1394900,2026-03-06T03:47:15Z
NKE,2006-01-13,8.16,8.24,8.09,8.2,12697918,86.2,87.12,85.45,86.7,1201500,2026-03-06T03:47:15Z
NKE,2006-01-17,8.06,8.14,8.05,8.14,14630835,85.2,86,85.1,86,1384400,2026-03-06T03:47:15Z
NKE,2006-01-18,8.01,8.09,7.98,8.05,12156802,84.64,85.44,84.36,85.05,1150300,2026-03-06T03:47:15Z
NKE,2006-01-19,8.01,8.04,7.95,7.97,11742488,84.7,84.96,84,84.23,1111100,2026-03-06T03:47:15Z
NKE,2006-01-20,7.97,8.1,7.93,8.05,21311035,84.2,85.63,83.83,85.1,2016500,2026-03-06T03:47:15Z
NKE,2006-01-23,7.9,7.95,7.71,7.91,50561461,83.45,84,81.47,83.6,4784200,2026-03-06T03:47:15Z
NKE,2006-01-24,7.95,8,7.87,7.98,22193683,84.02,84.52,83.13,84.31,2100000,2026-03-06T03:47:15Z
NKE,2006-01-25,7.97,8,7.94,7.95,13565640,84.26,84.54,83.9,84.06,1283600,2026-03-06T03:47:15Z
NKE,2006-01-26,7.95,8.06,7.93,8.06,21091438,83.98,85.14,83.78,85.14,1995700,2026-03-06T03:47:15Z
NKE,2006-01-27,7.87,8.01,7.86,7.97,22491474,83.15,84.63,83.08,84.23,2128200,2026-03-06T03:47:15Z
NKE,2006-01-30,7.74,7.83,7.63,7.82,104334876,81.8,82.79,80.6,82.62,9872400,2026-03-06T03:47:15Z
NKE,2006-01-31,7.66,7.76,7.65,7.74,26880601,80.95,82.05,80.88,81.8,2543500,2026-03-06T03:47:15Z
NKE,2006-02-01,7.87,7.96,7.68,7.69,46930736,83.13,84.12,81.21,81.25,4440700,2026-03-06T03:47:15Z
NKE,2006-02-02,7.89,7.94,7.85,7.87,27034878,83.35,83.91,83,83.18,2558100,2026-03-06T03:47:15Z
NKE,2006-02-03,7.92,7.93,7.83,7.84,20907540,83.69,83.82,82.74,82.9,1978300,2026-03-06T03:47:15Z
NKE,2006-02-06,7.96,8.11,7.95,8.08,25425308,84.15,85.75,84.04,85.4,2405800,2026-03-06T03:47:15Z
NKE,2006-02-07,7.9,8.01,7.87,7.98,13697750,83.46,84.7,83.21,84.3,1296100,2026-03-06T03:47:15Z
NKE,2006-02-08,7.99,8.04,7.9,7.92,24620033,84.39,84.95,83.5,83.71,2329600,2026-03-06T03:47:15Z
NKE,2006-02-09,7.94,7.99,7.91,7.93,12196917,83.89,84.44,83.59,83.8,1154100,2026-03-06T03:47:15Z
NKE,2006-02-10,7.99,8.01,7.86,8.01,13658485,84.47,84.69,83.06,84.69,1292400,2026-03-06T03:47:15Z
NKE,2006-02-13,7.97,7.98,7.87,7.96,12566910,84.28,84.35,83.16,84.15,1189100,2026-03-06T03:47:15Z
NKE,2006-02-14,7.95,8.01,7.91,7.97,15533478,84,84.64,83.61,84.28,1469800,2026-03-06T03:47:15Z
NKE,2006-02-15,7.97,8.04,7.92,7.97,12488572,84.27,85,83.75,84.25,1181700,2026-03-06T03:47:15Z
NKE,2006-02-16,8.02,8.05,7.98,8.04,8262308,84.76,85.08,84.33,84.95,781800,2026-03-06T03:47:15Z
NKE,2006-02-17,8.03,8.06,7.96,7.97,10570491,84.9,85.23,84.1,84.25,1000200,2026-03-06T03:47:15Z
NKE,2006-02-21,8.05,8.07,8,8.02,11551282,85.08,85.29,84.5,84.8,1093000,2026-03-06T03:47:15Z
NKE,2006-02-22,8.13,8.23,8.05,8.07,15899080,85.94,86.93,85.11,85.25,1504400,2026-03-06T03:47:15Z
NKE,2006-02-23,8.19,8.27,8.11,8.13,13353073,86.57,87.41,85.75,85.94,1263500,2026-03-06T03:47:15Z
NKE,2006-02-24,8.25,8.28,8.18,8.19,14549536,87.2,87.5,86.4,86.57,1376700,2026-03-06T03:47:15Z
NKE,2006-02-27,8.26,8.3,8.2,8.25,9484053,87.3,87.7,86.67,87.21,897400,2026-03-06T03:47:15Z
NKE,2006-02-28,8.21,8.31,8.2,8.21,24671843,86.78,87.83,86.62,86.8,2334500,2026-03-06T03:47:15Z
NKE,2006-03-01,8.17,8.24,8.16,8.2,14128785,86.31,87.14,86.2,86.65,1336900,2026-03-06T03:47:15Z
NKE,2006-03-02,8.14,8.17,8.08,8.11,18330744,86.05,86.39,85.35,85.75,1734500,2026-03-06T03:47:15Z
NKE,2006-03-03,8.17,8.21,8.12,8.12,11079846,86.3,86.72,85.79,85.85,1048400,2026-03-06T03:47:15Z
NKE,2006-03-06,8.22,8.33,8.16,8.19,19436387,86.92,88.04,86.25,86.5,1839100,2026-03-06T03:47:15Z
NKE,2006-03-07,8.03,8.11,7.95,8.11,32233552,84.9,85.66,84.03,85.66,3050000,2026-03-06T03:47:15Z
NKE,2006-03-08,8.04,8.05,8,8.02,26290827,85,85.08,84.5,84.75,2487700,2026-03-06T03:47:15Z
NKE,2006-03-09,8.11,8.12,8.05,8.05,15499874,85.35,85.49,84.74,84.8,1472000,2026-03-06T03:47:15Z
NKE,2006-03-10,8.07,8.14,8.05,8.11,11945030,84.99,85.75,84.79,85.35,1134400,2026-03-06T03:47:15Z
NKE,2006-03-13,8.02,8.07,8,8.07,11921889,84.45,85.03,84.26,84.99,1132200,2026-03-06T03:47:15Z
NKE,2006-03-14,8.04,8.04,8,8.02,11003696,84.62,84.64,84.19,84.4,1045000,2026-03-06T03:47:15Z
NKE,2006-03-15,8.07,8.1,8.02,8.07,15436738,85.02,85.28,84.41,85.01,1466000,2026-03-06T03:47:15Z
NKE,2006-03-16,8.17,8.21,8.07,8.07,16241154,86.02,86.47,85,85,1542400,2026-03-06T03:47:15Z
NKE,2006-03-17,8.11,8.16,8.1,8.14,14768071,85.42,85.92,85.3,85.77,1402500,2026-03-06T03:47:15Z
NKE,2006-03-20,8.12,8.19,8.06,8.07,20016096,85.51,86.22,84.9,85,1900900,2026-03-06T03:47:15Z
NKE,2006-03-21,8.07,8.12,8.04,8.12,25347389,84.95,85.52,84.69,85.52,2407200,2026-03-06T03:47:15Z
NKE,2006-03-22,8.25,8.28,8.03,8.06,51004683,86.82,87.18,84.5,84.9,4843800,2026-03-06T03:47:15Z
NKE,2006-03-23,8.17,8.27,8.17,8.24,31037580,86.01,87.1,86,86.75,2947600,2026-03-06T03:47:15Z
NKE,2006-03-24,8.16,8.24,8.12,8.18,16324344,85.96,86.74,85.51,86.11,1550300,2026-03-06T03:47:15Z
NKE,2006-03-27,8.12,8.15,8.08,8.15,10785677,85.45,85.85,85.05,85.85,1024300,2026-03-06T03:47:15Z
NKE,2006-03-28,8.09,8.15,8.05,8.1,11140558,85.2,85.84,84.78,85.3,1058000,2026-03-06T03:47:15Z
NKE,2006-03-29,8.12,8.12,8.07,8.08,8811348,85.54,85.55,85,85.1,836800,2026-03-06T03:47:15Z
NKE,2006-03-30,8.07,8.16,8.04,8.16,15625225,85,85.93,84.66,85.9,1483900,2026-03-06T03:47:15Z
NKE,2006-03-31,8.08,8.09,8.04,8.07,11236383,85.1,85.2,84.65,85,1067100,2026-03-06T03:47:15Z
NKE,2006-04-03,8.06,8.15,8.04,8.08,15507272,84.91,85.86,84.65,85.1,1472700,2026-03-06T03:47:15Z
NKE,2006-04-04,8.08,8.09,7.98,8.06,10166555,85.04,85.18,84.01,84.9,965500,2026-03-06T03:47:15Z
NKE,2006-04-05,8.03,8.09,8,8.06,10255010,84.57,85.15,84.22,84.9,973900,2026-03-06T03:47:15Z
NKE,2006-04-06,8.06,8.08,7.97,8.04,14896567,84.86,85.12,83.9,84.7,1414700,2026-03-06T03:47:15Z
NKE,2006-04-07,7.94,8.11,7.93,8.09,13727802,83.63,85.35,83.54,85.15,1303700,2026-03-06T03:47:15Z
NKE,2006-04-10,7.89,7.99,7.85,7.96,14114143,83.09,84.1,82.7,83.82,1340400,2026-03-06T03:47:15Z
NKE,2006-04-11,7.83,7.97,7.82,7.93,13204361,82.49,83.94,82.31,83.55,1254000,2026-03-06T03:47:15Z
NKE,2006-04-12,7.84,7.86,7.79,7.83,15706235,82.55,82.79,82.03,82.49,1491600,2026-03-06T03:47:15Z
NKE,2006-04-13,7.91,7.95,7.84,7.85,17792161,83.3,83.7,82.56,82.65,1689700,2026-03-06T03:47:15Z
NKE,2006-04-17,7.77,7.91,7.72,7.91,21947308,81.81,83.25,81.25,83.24,2084300,2026-03-06T03:47:15Z
NKE,2006-04-18,7.76,7.8,7.74,7.76,22620169,81.75,82.14,81.49,81.75,2148200,2026-03-06T03:47:15Z
NKE,2006-04-19,7.8,7.83,7.74,7.77,13003281,82.12,82.42,81.54,81.8,1234900,2026-03-06T03:47:15Z
NKE,2006-04-20,7.87,7.88,7.79,7.79,9799011,82.83,83,82.04,82.05,930600,2026-03-06T03:47:15Z
NKE,2006-04-21,7.88,7.9,7.84,7.89,12144002,83.02,83.15,82.52,83.1,1153300,2026-03-06T03:47:15Z
NKE,2006-04-24,7.85,7.88,7.83,7.88,15151329,82.7,83.03,82.5,83.02,1438900,2026-03-06T03:47:15Z
NKE,2006-04-25,7.79,7.87,7.76,7.84,12925364,82.02,82.83,81.7,82.6,1227500,2026-03-06T03:47:15Z
NKE,2006-04-26,7.72,7.83,7.69,7.81,16426584,81.26,82.48,80.96,82.27,1560000,2026-03-06T03:47:15Z
NKE,2006-04-27,7.77,7.78,7.63,7.63,13617184,81.84,81.94,80.36,80.36,1293200,2026-03-06T03:47:15Z
NKE,2006-04-28,7.77,7.82,7.72,7.8,8817685,81.84,82.39,81.27,82.15,837400,2026-03-06T03:47:15Z
NKE,2006-05-01,7.76,7.83,7.74,7.79,12572632,81.7,82.42,81.53,82.03,1194000,2026-03-06T03:47:15Z
NKE,2006-05-02,7.75,7.82,7.75,7.8,10099161,81.57,82.31,81.57,82.1,959100,2026-03-06T03:47:15Z
NKE,2006-05-03,7.7,7.77,7.65,7.75,15777929,81.13,81.8,80.55,81.58,1498400,2026-03-06T03:47:15Z
NKE,2006-05-04,7.69,7.78,7.69,7.73,11522842,80.96,81.9,80.95,81.35,1094300,2026-03-06T03:47:15Z
NKE,2006-05-05,7.74,7.75,7.69,7.71,8997742,81.55,81.58,80.93,81.18,854500,2026-03-06T03:47:15Z
NKE,2006-05-08,7.81,7.83,7.74,7.75,10310783,82.25,82.44,81.52,81.6,979200,2026-03-06T03:47:15Z
NKE,2006-05-09,7.81,7.87,7.8,7.82,9115666,82.2,82.85,82.14,82.35,865700,2026-03-06T03:47:15Z
NKE,2006-05-10,7.82,7.88,7.81,7.83,9629502,82.33,82.92,82.2,82.4,914500,2026-03-06T03:47:15Z
NKE,2006-05-11,7.72,7.89,7.71,7.88,11424880,81.31,83.1,81.14,82.93,1085000,2026-03-06T03:47:15Z
NKE,2006-05-12,7.74,7.78,7.69,7.69,13575084,81.5,81.91,80.93,81,1289200,2026-03-06T03:47:15Z
NKE,2006-05-15,7.75,7.76,7.69,7.69,12916961,81.64,81.69,81,81,1226700,2026-03-06T03:47:15Z
NKE,2006-05-16,7.66,7.8,7.65,7.77,16953094,80.67,82.09,80.51,81.81,1610000,2026-03-06T03:47:15Z
NKE,2006-05-17,7.63,7.68,7.58,7.6,20014980,80.3,80.9,79.79,80.06,1900800,2026-03-06T03:47:15Z
NKE,2006-05-18,7.57,7.69,7.55,7.55,15606176,79.75,80.96,79.51,79.51,1482100,2026-03-06T03:47:15Z
NKE,2006-05-19,7.47,7.56,7.39,7.56,40988442,78.7,79.65,77.78,79.6,3892600,2026-03-06T03:47:15Z
NKE,2006-05-22,7.41,7.51,7.35,7.46,30411316,77.98,79.05,77.39,78.5,2888100,2026-03-06T03:47:15Z
NKE,2006-05-23,7.5,7.74,7.47,7.47,35166397,78.99,81.5,78.7,78.7,3339700,2026-03-06T03:47:15Z
NKE,2006-05-24,7.53,7.56,7.45,7.5,17621640,79.26,79.57,78.41,79,1673500,2026-03-06T03:47:15Z
NKE,2006-05-25,7.56,7.58,7.5,7.56,7967882,79.65,79.78,78.97,79.65,756700,2026-03-06T03:47:15Z
NKE,2006-05-26,7.69,7.74,7.58,7.59,16564517,81.01,81.53,79.86,79.92,1573100,2026-03-06T03:47:15Z
NKE,2006-05-30,7.6,7.68,7.6,7.68,10154919,80,80.89,79.99,80.85,964400,2026-03-06T03:47:15Z
NKE,2006-05-31,7.63,7.66,7.6,7.6,14072142,80.31,80.61,80,80,1336400,2026-03-06T03:47:15Z
NKE,2006-06-01,7.73,7.74,7.62,7.64,14568054,81.42,81.53,80.27,80.41,1383500,2026-03-06T03:47:15Z
NKE,2006-06-02,7.77,7.8,7.7,7.73,14109962,81.79,82.16,81.07,81.38,1340000,2026-03-06T03:47:15Z
