ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
ORCL,2006-01-03,10.07,10.23,9.77,9.78,70132610,12.6,12.8,12.22,12.23,56073800,2026-01-13T03:44:32Z
ORCL,2006-01-04,10.09,10.22,10.03,10.04,70555902,12.62,12.78,12.54,12.56,56412300,2026-01-13T03:44:32Z
ORCL,2006-01-05,10.23,10.33,10.07,10.09,65859349,12.79,12.92,12.6,12.62,52657100,2026-01-13T03:44:32Z
ORCL,2006-01-06,10.49,10.51,10.19,10.23,118903607,13.12,13.15,12.75,12.8,95067600,2026-01-13T03:44:32Z
ORCL,2006-01-09,10.3,10.47,10.23,10.4,60256748,12.88,13.09,12.79,13.01,48177800,2026-01-13T03:44:32Z
ORCL,2006-01-10,10.09,10.24,10.08,10.24,54911042,12.62,12.81,12.61,12.81,43903600,2026-01-13T03:44:32Z
ORCL,2006-01-11,10.07,10.14,9.97,10.11,76056393,12.6,12.68,12.47,12.64,60810100,2026-01-13T03:44:32Z
ORCL,2006-01-12,10.01,10.19,9.98,10.14,54718314,12.52,12.74,12.48,12.68,43749300,2026-01-13T03:44:32Z
ORCL,2006-01-13,10,10.03,9.89,9.99,41583475,12.51,12.54,12.37,12.49,33247500,2026-01-13T03:44:32Z
ORCL,2006-01-17,9.95,10.03,9.91,9.96,28258311,12.44,12.54,12.4,12.46,22593700,2026-01-13T03:44:32Z
ORCL,2006-01-18,9.87,9.91,9.78,9.89,55962317,12.34,12.39,12.23,12.37,44744000,2026-01-13T03:44:32Z
ORCL,2006-01-19,10.01,10.07,9.95,9.97,52088168,12.52,12.6,12.45,12.47,41646400,2026-01-13T03:44:32Z
ORCL,2006-01-20,9.83,10.02,9.8,9.98,67355548,12.29,12.53,12.26,12.48,53853200,2026-01-13T03:44:32Z
ORCL,2006-01-23,9.83,9.99,9.76,9.84,46272055,12.3,12.5,12.21,12.31,36996200,2026-01-13T03:44:32Z
ORCL,2006-01-24,9.75,9.91,9.75,9.87,60534108,12.2,12.39,12.19,12.35,48399500,2026-01-13T03:44:32Z
ORCL,2006-01-25,10,10.04,9.87,9.91,116311152,12.51,12.56,12.34,12.4,92995000,2026-01-13T03:44:32Z
ORCL,2006-01-26,9.95,10.07,9.92,10.04,79398475,12.44,12.6,12.41,12.56,63482400,2026-01-13T03:44:32Z
ORCL,2006-01-27,9.92,10.02,9.91,9.95,77032349,12.41,12.53,12.39,12.45,61590500,2026-01-13T03:44:32Z
ORCL,2006-01-30,10.08,10.11,9.82,9.93,77659773,12.61,12.65,12.28,12.42,62092100,2026-01-13T03:44:32Z
ORCL,2006-01-31,10.05,10.07,9.92,10.04,66755495,12.57,12.59,12.41,12.56,53373600,2026-01-13T03:44:32Z
ORCL,2006-02-01,10.06,10.11,9.91,9.92,67796573,12.58,12.65,12.39,12.41,54206000,2026-01-13T03:44:32Z
ORCL,2006-02-02,9.91,10.06,9.88,10.03,52437659,12.39,12.58,12.36,12.54,41926000,2026-01-13T03:44:32Z
ORCL,2006-02-03,9.76,9.9,9.74,9.83,79570495,12.21,12.38,12.18,12.3,63619900,2026-01-13T03:44:32Z
ORCL,2006-02-06,9.79,9.83,9.64,9.77,77254931,12.25,12.29,12.06,12.22,61768000,2026-01-13T03:44:32Z
ORCL,2006-02-07,9.89,9.91,9.76,9.78,63990236,12.37,12.39,12.21,12.23,51162700,2026-01-13T03:44:32Z
ORCL,2006-02-08,10.05,10.1,9.95,9.95,67877772,12.57,12.63,12.44,12.44,54270900,2026-01-13T03:44:32Z
ORCL,2006-02-09,10.15,10.23,9.96,10.04,134267913,12.69,12.8,12.46,12.56,107351904,2026-01-13T03:44:32Z
ORCL,2006-02-10,10.15,10.23,10.04,10.06,74635999,12.69,12.8,12.56,12.58,59674100,2026-01-13T03:44:32Z
ORCL,2006-02-13,9.99,10.17,9.91,10.11,47072321,12.49,12.72,12.4,12.64,37636000,2026-01-13T03:44:32Z
ORCL,2006-02-14,9.91,9.99,9.87,9.98,59924807,12.4,12.49,12.35,12.48,47912300,2026-01-13T03:44:32Z
ORCL,2006-02-15,9.92,9.99,9.87,9.89,47065018,12.41,12.5,12.35,12.37,37630400,2026-01-13T03:44:32Z
ORCL,2006-02-16,9.95,9.99,9.88,9.93,36769936,12.44,12.49,12.36,12.42,29399100,2026-01-13T03:44:32Z
ORCL,2006-02-17,9.91,9.95,9.85,9.9,44445538,12.4,12.44,12.32,12.38,35536000,2026-01-13T03:44:32Z
ORCL,2006-02-21,9.87,9.9,9.79,9.87,51709359,12.34,12.38,12.25,12.35,41343600,2026-01-13T03:44:32Z
ORCL,2006-02-22,9.98,9.99,9.82,9.88,50830776,12.48,12.49,12.28,12.36,40641000,2026-01-13T03:44:32Z
ORCL,2006-02-23,9.91,10.03,9.91,9.95,49920306,12.4,12.54,12.4,12.44,39913300,2026-01-13T03:44:32Z
ORCL,2006-02-24,9.96,9.99,9.9,9.91,39146509,12.46,12.49,12.38,12.39,31299300,2026-01-13T03:44:32Z
ORCL,2006-02-27,9.96,10,9.88,9.95,48259594,12.46,12.51,12.36,12.44,38585600,2026-01-13T03:44:32Z
ORCL,2006-02-28,9.93,10.06,9.91,9.93,54280138,12.42,12.58,12.39,12.42,43399200,2026-01-13T03:44:32Z
ORCL,2006-03-01,10.24,10.26,9.99,9.99,90552256,12.81,12.83,12.49,12.49,72400096,2026-01-13T03:44:32Z
ORCL,2006-03-02,10.23,10.33,10.14,10.19,79082062,12.8,12.92,12.68,12.75,63229200,2026-01-13T03:44:32Z
ORCL,2006-03-03,10.23,10.34,10.08,10.1,65492638,12.79,12.93,12.61,12.63,52363900,2026-01-13T03:44:32Z
ORCL,2006-03-06,10.21,10.36,10.18,10.19,60726446,12.77,12.96,12.73,12.75,48553100,2026-01-13T03:44:32Z
ORCL,2006-03-07,10.3,10.33,10.17,10.19,45248030,12.88,12.92,12.72,12.74,36177700,2026-01-13T03:44:32Z
ORCL,2006-03-08,10.28,10.35,10.19,10.24,48706057,12.86,12.95,12.75,12.81,38942500,2026-01-13T03:44:32Z
ORCL,2006-03-09,10.27,10.39,10.25,10.31,61002291,12.84,13,12.82,12.9,48773800,2026-01-13T03:44:32Z
ORCL,2006-03-10,10.31,10.39,10.27,10.3,48075447,12.9,13,12.84,12.88,38438000,2026-01-13T03:44:32Z
ORCL,2006-03-13,10.31,10.35,10.27,10.33,30389041,12.9,12.95,12.85,12.92,24297100,2026-01-13T03:44:32Z
ORCL,2006-03-14,10.36,10.38,10.29,10.32,55655081,12.96,12.98,12.87,12.91,44498300,2026-01-13T03:44:32Z
ORCL,2006-03-15,10.59,10.65,10.31,10.35,95188436,13.24,13.32,12.9,12.94,76106896,2026-01-13T03:44:32Z
ORCL,2006-03-16,10.79,10.83,10.61,10.67,102505337,13.5,13.54,13.27,13.34,81957200,2026-01-13T03:44:32Z
ORCL,2006-03-17,10.87,10.97,10.73,10.83,88349910,13.6,13.72,13.42,13.54,70639000,2026-01-13T03:44:32Z
ORCL,2006-03-20,10.97,11.09,10.85,10.92,154834261,13.72,13.87,13.57,13.66,123796304,2026-01-13T03:44:32Z
ORCL,2006-03-21,10.89,11.11,10.57,10.67,180749266,13.62,13.9,13.22,13.34,144515808,2026-01-13T03:44:32Z
ORCL,2006-03-22,11.19,11.19,10.83,10.85,103943242,13.99,14,13.55,13.57,83106304,2026-01-13T03:44:32Z
ORCL,2006-03-23,11.03,11.19,10.98,11.12,63919681,13.8,13.99,13.73,13.91,51106100,2026-01-13T03:44:32Z
ORCL,2006-03-24,11.03,11.06,10.97,11.02,43993520,13.79,13.83,13.72,13.78,35174400,2026-01-13T03:44:32Z
ORCL,2006-03-27,11.07,11.15,11.01,11.06,45834743,13.84,13.94,13.77,13.83,36646600,2026-01-13T03:44:32Z
ORCL,2006-03-28,10.87,11.07,10.85,11.06,59451699,13.59,13.85,13.57,13.83,47533800,2026-01-13T03:44:32Z
ORCL,2006-03-29,10.97,11.04,10.74,10.87,69901872,13.72,13.81,13.43,13.59,55889400,2026-01-13T03:44:32Z
ORCL,2006-03-30,11.02,11.07,10.91,10.97,63162915,13.78,13.85,13.64,13.72,50501000,2026-01-13T03:44:32Z
ORCL,2006-03-31,10.95,11.07,10.95,10.97,41656211,13.69,13.85,13.69,13.72,33305800,2026-01-13T03:44:32Z
ORCL,2006-04-03,11.03,11.08,10.99,10.99,33659899,13.79,13.86,13.75,13.75,26912300,2026-01-13T03:44:32Z
ORCL,2006-04-04,11.07,11.12,11.02,11.05,38562040,13.84,13.91,13.78,13.82,30831800,2026-01-13T03:44:32Z
ORCL,2006-04-05,11.15,11.19,11.04,11.05,86134645,13.95,14,13.81,13.82,68868200,2026-01-13T03:44:32Z
ORCL,2006-04-06,11.03,11.16,10.99,11.16,41009275,13.8,13.96,13.74,13.96,32788400,2026-01-13T03:44:32Z
ORCL,2006-04-07,10.99,11.12,10.97,11.06,36917644,13.75,13.91,13.72,13.83,29517200,2026-01-13T03:44:32Z
ORCL,2006-04-10,11.06,11.07,10.89,10.98,36164418,13.83,13.85,13.62,13.73,28914800,2026-01-13T03:44:32Z
ORCL,2006-04-11,11.07,11.19,10.97,11.06,55306342,13.84,14,13.72,13.83,44219500,2026-01-13T03:44:32Z
ORCL,2006-04-12,11.02,11.11,10.98,11.07,36542840,13.78,13.9,13.73,13.84,29217300,2026-01-13T03:44:32Z
ORCL,2006-04-13,10.94,11.01,10.92,10.99,37138755,13.68,13.77,13.66,13.75,29693900,2026-01-13T03:44:32Z
ORCL,2006-04-17,10.99,11.06,10.91,10.92,36234142,13.74,13.83,13.65,13.66,28970700,2026-01-13T03:44:32Z
ORCL,2006-04-18,11.19,11.2,10.95,10.95,51422222,14,14.01,13.69,13.7,41113900,2026-01-13T03:44:32Z
ORCL,2006-04-19,11.44,11.46,11.04,11.07,72604862,14.31,14.34,13.81,13.84,58050400,2026-01-13T03:44:32Z
ORCL,2006-04-20,11.31,11.44,11.27,11.32,41042689,14.15,14.31,14.1,14.16,32815300,2026-01-13T03:44:32Z
ORCL,2006-04-21,11.42,11.55,11.31,11.32,70275348,14.28,14.45,14.15,14.16,56187800,2026-01-13T03:44:32Z
ORCL,2006-04-24,11.58,11.73,11.35,11.38,76736880,14.48,14.67,14.19,14.23,61354000,2026-01-13T03:44:32Z
ORCL,2006-04-25,11.71,11.86,11.63,11.64,73405087,14.65,14.83,14.55,14.56,58690000,2026-01-13T03:44:32Z
ORCL,2006-04-26,11.77,11.79,11.69,11.75,59216567,14.72,14.74,14.62,14.7,47345900,2026-01-13T03:44:32Z
ORCL,2006-04-27,11.94,12.16,11.63,11.74,135944410,14.93,15.21,14.55,14.68,108692704,2026-01-13T03:44:32Z
ORCL,2006-04-28,11.67,11.95,11.61,11.9,84645465,14.59,14.95,14.52,14.89,67677504,2026-01-13T03:44:32Z
ORCL,2006-05-01,11.66,11.96,11.54,11.68,51801382,14.58,14.96,14.43,14.61,41417300,2026-01-13T03:44:32Z
ORCL,2006-05-02,11.54,11.66,11.5,11.64,36328460,14.43,14.58,14.38,14.56,29045900,2026-01-13T03:44:32Z
ORCL,2006-05-03,11.45,11.59,11.2,11.49,51085179,14.32,14.49,14.01,14.37,40844600,2026-01-13T03:44:32Z
ORCL,2006-05-04,11.43,11.57,11.36,11.5,27312518,14.29,14.47,14.21,14.38,21837400,2026-01-13T03:44:32Z
ORCL,2006-05-05,11.55,11.65,11.42,11.43,33017387,14.45,14.57,14.28,14.3,26398600,2026-01-13T03:44:32Z
ORCL,2006-05-08,11.38,11.63,11.33,11.54,37125272,14.23,14.55,14.17,14.43,29683000,2026-01-13T03:44:32Z
ORCL,2006-05-09,11.28,11.42,11.23,11.37,27485077,14.11,14.28,14.05,14.22,21975400,2026-01-13T03:44:32Z
ORCL,2006-05-10,11.39,11.49,11.24,11.25,29494338,14.24,14.37,14.06,14.07,23581800,2026-01-13T03:44:32Z
ORCL,2006-05-11,11.12,11.42,11.03,11.35,39365264,13.91,14.28,13.8,14.19,31474100,2026-01-13T03:44:32Z
ORCL,2006-05-12,11.18,11.37,10.83,10.99,49934647,13.98,14.22,13.54,13.74,39924500,2026-01-13T03:44:32Z
ORCL,2006-05-15,11.17,11.22,11.03,11.06,32617554,13.97,14.03,13.8,13.83,26079100,2026-01-13T03:44:32Z
ORCL,2006-05-16,11.35,11.37,11.09,11.12,52871897,14.19,14.22,13.87,13.91,42273300,2026-01-13T03:44:32Z
ORCL,2006-05-17,11.07,11.28,10.99,11.26,60015293,13.85,14.11,13.75,14.08,47984500,2026-01-13T03:44:32Z
ORCL,2006-05-18,11.01,11.19,10.62,11.14,58655958,13.77,13.99,13.28,13.93,46897500,2026-01-13T03:44:32Z
ORCL,2006-05-19,10.95,11.14,10.84,10.88,58021100,13.7,13.93,13.56,13.61,46390200,2026-01-13T03:44:32Z
