ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
PG,2006-01-03,33.32,33.37,32.71,33.05,17183178,58.78,58.86,57.69,58.3,9741500,2026-01-27T03:44:52Z
PG,2006-01-04,33.39,33.52,33.2,33.34,11900098,58.89,59.12,58.56,58.8,6746400,2026-01-27T03:44:52Z
PG,2006-01-05,33.28,33.49,33.23,33.28,15762544,58.7,59.07,58.61,58.7,8936100,2026-01-27T03:44:52Z
PG,2006-01-06,33.24,33.34,33.15,33.3,15567974,58.64,58.8,58.48,58.74,8825800,2026-01-27T03:44:52Z
PG,2006-01-09,33.49,33.5,33.14,33.14,13609871,59.08,59.09,58.45,58.45,7715700,2026-01-27T03:44:52Z
PG,2006-01-10,33.36,33.39,33.2,33.39,15086626,58.85,58.9,58.57,58.89,8552900,2026-01-27T03:44:52Z
PG,2006-01-11,33.48,33.49,33.22,33.41,15505713,59.06,59.07,58.6,58.94,8790500,2026-01-27T03:44:52Z
PG,2006-01-12,33.11,33.45,33.11,33.44,11664430,58.41,59,58.4,58.98,6612800,2026-01-27T03:44:52Z
PG,2006-01-13,33.39,33.4,33.1,33.11,12606359,58.9,58.92,58.39,58.41,7146800,2026-01-27T03:44:52Z
PG,2006-01-17,33.25,33.37,33.12,33.14,9347338,58.65,58.86,58.42,58.45,5299200,2026-01-27T03:44:52Z
PG,2006-01-18,33.42,33.47,33.25,33.32,11743374,58.67,58.75,58.37,58.5,6689500,2026-01-27T03:44:52Z
PG,2006-01-19,33.33,33.54,33.04,33.04,14162116,58.51,58.88,58,58,8067300,2026-01-27T03:44:52Z
PG,2006-01-20,32.95,33.36,32.92,33.33,18417935,57.84,58.56,57.79,58.51,10491600,2026-01-27T03:44:52Z
PG,2006-01-23,32.83,33.19,32.83,32.95,16567856,57.64,58.26,57.64,57.84,9437700,2026-01-27T03:44:52Z
PG,2006-01-24,32.97,33.13,32.63,33.04,14331009,57.87,58.16,57.29,58,8163500,2026-01-27T03:44:52Z
PG,2006-01-25,33.31,33.31,32.94,33.1,15680628,58.47,58.47,57.83,58.1,8932300,2026-01-27T03:44:52Z
PG,2006-01-26,33.51,33.61,33.38,33.47,12300760,58.82,59,58.59,58.75,7007000,2026-01-27T03:44:52Z
PG,2006-01-27,34.03,34.06,33.64,33.84,20623373,59.74,59.8,59.05,59.4,11747900,2026-01-27T03:44:52Z
PG,2006-01-30,33.69,34.01,33.58,33.68,13885440,59.14,59.7,58.95,59.13,7909700,2026-01-27T03:44:52Z
PG,2006-01-31,33.74,33.81,33.55,33.58,18164969,59.23,59.35,58.89,58.95,10347500,2026-01-27T03:44:52Z
PG,2006-02-01,34.08,34.19,33.64,33.67,19020117,59.82,60.02,59.06,59.1,10834600,2026-01-27T03:44:52Z
PG,2006-02-02,33.98,34.26,33.97,34.03,17132061,59.65,60.15,59.64,59.74,9759100,2026-01-27T03:44:52Z
PG,2006-02-03,34,34.21,33.79,33.83,13720777,59.68,60.05,59.32,59.39,7815900,2026-01-27T03:44:52Z
PG,2006-02-06,34.06,34.12,33.67,33.94,8775361,59.79,59.9,59.1,59.58,4998800,2026-01-27T03:44:52Z
PG,2006-02-07,33.79,34.07,33.67,33.88,11241500,59.32,59.81,59.11,59.47,6403600,2026-01-27T03:44:52Z
PG,2006-02-08,33.88,34.06,33.74,33.84,11894702,59.47,59.8,59.23,59.4,6775700,2026-01-27T03:44:52Z
PG,2006-02-09,33.96,34.09,33.79,33.87,10958161,59.62,59.85,59.32,59.46,6242200,2026-01-27T03:44:52Z
PG,2006-02-10,34.01,34.06,33.87,33.97,10190474,59.7,59.79,59.46,59.63,5804900,2026-01-27T03:44:52Z
PG,2006-02-13,33.86,33.99,33.76,33.94,9126114,59.44,59.67,59.27,59.58,5198600,2026-01-27T03:44:52Z
PG,2006-02-14,34.09,34.18,33.88,33.92,13908807,59.84,60,59.48,59.55,7923000,2026-01-27T03:44:52Z
PG,2006-02-15,34.24,34.32,34.01,34.04,15053743,60.11,60.25,59.71,59.75,8575200,2026-01-27T03:44:52Z
PG,2006-02-16,34.59,34.65,34.18,34.19,12285315,60.73,60.83,60.01,60.02,6998200,2026-01-27T03:44:52Z
PG,2006-02-17,34.75,34.77,34.42,34.51,16040851,61,61.03,60.42,60.59,9137500,2026-01-27T03:44:52Z
PG,2006-02-21,34.68,34.75,34.57,34.68,11885747,60.88,61,60.69,60.88,6770600,2026-01-27T03:44:52Z
PG,2006-02-22,35.28,35.32,34.74,34.75,15753809,61.94,62,60.98,61,8974000,2026-01-27T03:44:52Z
PG,2006-02-23,35.02,35.37,34.97,35.23,12482995,61.48,62.09,61.39,61.85,7110800,2026-01-27T03:44:52Z
PG,2006-02-24,35.03,35.16,34.78,34.93,9849746,61.5,61.73,61.06,61.32,5610800,2026-01-27T03:44:52Z
PG,2006-02-27,34.95,35.26,34.95,35.13,11802371,61.35,61.89,61.35,61.68,6723100,2026-01-27T03:44:52Z
PG,2006-02-28,34.14,34.87,34.09,34.75,25380961,59.93,61.21,59.85,61,14458000,2026-01-27T03:44:52Z
PG,2006-03-01,34.24,34.44,34.19,34.24,16071933,60.11,60.46,60.02,60.11,9155200,2026-01-27T03:44:52Z
PG,2006-03-02,33.92,34.19,33.81,34.17,19094198,59.55,60.02,59.36,59.99,10876800,2026-01-27T03:44:52Z
PG,2006-03-03,33.99,34.27,33.78,33.78,13689179,59.67,60.16,59.3,59.3,7797900,2026-01-27T03:44:52Z
PG,2006-03-06,33.99,34.16,33.89,33.92,7993298,59.67,59.96,59.5,59.55,4553300,2026-01-27T03:44:52Z
PG,2006-03-07,34.35,34.5,33.85,33.93,12931672,60.3,60.56,59.42,59.56,7366400,2026-01-27T03:44:52Z
PG,2006-03-08,34.79,34.94,34.31,34.32,15238051,61.07,61.33,60.23,60.25,8680200,2026-01-27T03:44:52Z
PG,2006-03-09,34.98,35.32,34.8,35.03,12488588,61.4,62,61.1,61.5,7114000,2026-01-27T03:44:52Z
PG,2006-03-10,35.46,35.57,35,35,14933814,62.25,62.44,61.45,61.45,8506900,2026-01-27T03:44:52Z
PG,2006-03-13,35.31,35.6,35.2,35.38,10455897,61.98,62.5,61.8,62.11,5956100,2026-01-27T03:44:52Z
PG,2006-03-14,34.18,34.57,33.95,34.23,32010562,60.01,60.68,59.6,60.09,18234500,2026-01-27T03:44:52Z
PG,2006-03-15,34.12,34.47,34.05,34.47,17227741,59.9,60.51,59.77,60.51,9813600,2026-01-27T03:44:52Z
PG,2006-03-16,33.83,34.1,33.61,34.06,21925791,59.39,59.86,59,59.8,12489800,2026-01-27T03:44:52Z
PG,2006-03-17,33.67,33.84,33.52,33.83,30577228,59.1,59.4,58.85,59.39,17418000,2026-01-27T03:44:52Z
PG,2006-03-20,33.71,33.83,33.44,33.83,12337264,59.18,59.38,58.71,59.38,7027800,2026-01-27T03:44:52Z
PG,2006-03-21,33.63,34.02,33.58,33.73,12129432,59.03,59.72,58.94,59.21,6909400,2026-01-27T03:44:52Z
PG,2006-03-22,33.89,33.95,33.44,33.44,10269112,59.49,59.6,58.7,58.7,5849700,2026-01-27T03:44:52Z
PG,2006-03-23,33.41,33.84,33.29,33.76,16091735,58.65,59.4,58.44,59.26,9166500,2026-01-27T03:44:52Z
PG,2006-03-24,33.46,33.58,33.03,33.36,15572140,58.74,58.95,57.98,58.56,8870500,2026-01-27T03:44:52Z
PG,2006-03-27,33.2,33.39,33.19,33.26,14114886,58.29,58.62,58.26,58.38,8040400,2026-01-27T03:44:52Z
PG,2006-03-28,32.77,33.2,32.75,33.04,24775288,57.53,58.28,57.5,58,14113000,2026-01-27T03:44:52Z
PG,2006-03-29,32.89,33.03,32.47,32.72,21821862,57.74,57.98,57,57.44,12430600,2026-01-27T03:44:52Z
PG,2006-03-30,32.83,33.1,32.7,32.77,14780412,57.63,58.1,57.4,57.53,8419500,2026-01-27T03:44:52Z
PG,2006-03-31,32.83,33.21,32.8,32.83,19619616,57.63,58.3,57.58,57.63,11176100,2026-01-27T03:44:52Z
PG,2006-04-03,32.97,33.24,32.86,32.86,14243059,57.88,58.36,57.69,57.69,8113400,2026-01-27T03:44:52Z
PG,2006-04-04,33.04,33.31,32.91,32.94,15577216,58,58.48,57.77,57.83,8873400,2026-01-27T03:44:52Z
PG,2006-04-05,32.82,33.1,32.78,33.01,15669571,57.62,58.1,57.54,57.95,8926000,2026-01-27T03:44:52Z
PG,2006-04-06,32.75,32.99,32.61,32.79,11599080,57.5,57.92,57.24,57.57,6607300,2026-01-27T03:44:52Z
