ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
PLD,2006-01-03,25.83,25.97,25.38,25.64,1252278,49.75,50.02,48.89,49.4,650100,2025-12-20T03:47:21Z
PLD,2006-01-04,25.75,25.9,25.61,25.8,1133235,49.6,49.89,49.34,49.69,588300,2025-12-20T03:47:21Z
PLD,2006-01-05,25.75,25.91,25.64,25.75,1274047,49.6,49.9,49.39,49.61,661400,2025-12-20T03:47:21Z
PLD,2006-01-06,25.99,26,25.7,25.83,1055413,50.07,50.08,49.51,49.75,547900,2025-12-20T03:47:21Z
PLD,2006-01-09,26.03,26.06,25.89,25.96,901500,50.15,50.2,49.88,50,468000,2025-12-20T03:47:21Z
PLD,2006-01-10,26.48,26.64,25.84,25.98,1091819,51,51.31,49.78,50.05,566800,2025-12-20T03:47:21Z
PLD,2006-01-11,26.47,26.6,26.29,26.55,641068,50.99,51.24,50.65,51.15,332800,2025-12-20T03:47:21Z
PLD,2006-01-12,26.37,26.53,26.27,26.46,495440,50.8,51.1,50.6,50.98,257200,2025-12-20T03:47:21Z
PLD,2006-01-13,25.88,26.38,25.77,26.37,843906,49.85,50.82,49.64,50.8,438100,2025-12-20T03:47:21Z
PLD,2006-01-17,25.83,25.83,25.55,25.72,720238,49.75,49.75,49.21,49.55,373900,2025-12-20T03:47:21Z
PLD,2006-01-18,25.6,25.91,25.52,25.72,862397,49.32,49.91,49.15,49.55,447700,2025-12-20T03:47:21Z
PLD,2006-01-19,26.05,26.05,25.55,25.63,632978,50.18,50.19,49.21,49.37,328600,2025-12-20T03:47:21Z
PLD,2006-01-20,25.84,26.15,25.83,26.14,928276,49.77,50.38,49.76,50.35,481900,2025-12-20T03:47:21Z
PLD,2006-01-23,26.03,26.13,25.85,25.88,476177,50.14,50.33,49.8,49.86,247200,2025-12-20T03:47:21Z
PLD,2006-01-24,26.48,26.63,26.12,26.16,834467,51.01,51.29,50.32,50.4,433200,2025-12-20T03:47:21Z
PLD,2006-01-25,26.33,26.59,26.25,26.48,935981,50.72,51.22,50.57,51.01,485900,2025-12-20T03:47:21Z
PLD,2006-01-26,26.43,26.43,26.01,26.09,1175226,50.91,50.92,50.11,50.25,610100,2025-12-20T03:47:21Z
PLD,2006-01-27,26.56,27.03,26.46,26.56,1171566,51.16,52.06,50.98,51.16,608200,2025-12-20T03:47:21Z
PLD,2006-01-30,26.7,26.77,26.42,26.56,469242,51.43,51.56,50.9,51.16,243600,2025-12-20T03:47:21Z
PLD,2006-01-31,27.1,27.12,26.58,26.63,904968,52.2,52.24,51.2,51.3,469800,2025-12-20T03:47:21Z
PLD,2006-02-01,27.28,27.41,26.82,26.94,1404261,52.55,52.8,51.67,51.9,729000,2025-12-20T03:47:21Z
PLD,2006-02-02,27,27.22,26.93,27.02,771668,52,52.44,51.87,52.05,400600,2025-12-20T03:47:21Z
PLD,2006-02-03,26.89,27.02,26.73,27,1024592,51.8,52.04,51.49,52,531900,2025-12-20T03:47:21Z
PLD,2006-02-06,26.95,27,26.76,26.82,728907,51.92,52,51.55,51.66,378400,2025-12-20T03:47:21Z
PLD,2006-02-07,26.73,27.02,26.7,26.95,637408,51.48,52.05,51.43,51.92,330900,2025-12-20T03:47:21Z
PLD,2006-02-08,26.25,26.74,26.19,26.73,582316,50.57,51.51,50.45,51.5,302300,2025-12-20T03:47:21Z
PLD,2006-02-09,26.33,26.47,26.18,26.31,634325,50.71,50.99,50.43,50.68,329300,2025-12-20T03:47:21Z
PLD,2006-02-10,26.35,26.51,26.16,26.32,635675,50.75,51.06,50.4,50.69,330000,2025-12-20T03:47:21Z
PLD,2006-02-13,26.27,26.43,26.1,26.35,969883,50.61,50.91,50.28,50.75,503500,2025-12-20T03:47:21Z
PLD,2006-02-14,26.42,26.53,25.92,26.28,2118915,50.9,51.11,49.93,50.62,1100000,2025-12-20T03:47:21Z
PLD,2006-02-15,26.53,26.54,26.35,26.54,928470,51.11,51.13,50.75,51.12,482000,2025-12-20T03:47:21Z
PLD,2006-02-16,26.75,26.81,26.46,26.64,640489,51.53,51.65,50.98,51.31,332500,2025-12-20T03:47:21Z
PLD,2006-02-17,26.89,26.93,26.68,26.86,747592,51.8,51.88,51.4,51.75,388100,2025-12-20T03:47:21Z
PLD,2006-02-21,26.98,27.16,26.83,27.16,596377,51.97,52.31,51.68,52.31,309600,2025-12-20T03:47:21Z
PLD,2006-02-22,27.74,27.78,26.97,27,1588994,53.43,53.52,51.95,52,824900,2025-12-20T03:47:21Z
PLD,2006-02-23,27.78,27.89,27.57,27.77,1101259,53.52,53.73,53.1,53.5,571700,2025-12-20T03:47:21Z
PLD,2006-02-24,27.84,27.94,27.71,27.79,1181007,53.63,53.82,53.38,53.53,613100,2025-12-20T03:47:21Z
PLD,2006-02-27,27.96,28.01,27.87,27.89,675742,53.86,53.95,53.69,53.73,350800,2025-12-20T03:47:21Z
PLD,2006-02-28,27.85,28.08,27.82,27.93,811545,53.65,54.09,53.58,53.8,421300,2025-12-20T03:47:21Z
PLD,2006-03-01,27.94,28.03,27.77,27.9,1982917,53.82,54,53.5,53.75,1029400,2025-12-20T03:47:21Z
PLD,2006-03-02,27.89,27.95,27.78,27.94,648772,53.72,53.85,53.51,53.82,336800,2025-12-20T03:47:21Z
PLD,2006-03-03,27.57,27.86,27.51,27.8,1094323,53.1,53.67,53,53.55,568100,2025-12-20T03:47:21Z
PLD,2006-03-06,27.71,27.92,27.48,27.61,608705,53.38,53.78,52.93,53.19,316000,2025-12-20T03:47:21Z
PLD,2006-03-07,27.29,27.74,27.21,27.71,750287,52.57,53.43,52.41,53.38,389500,2025-12-20T03:47:21Z
PLD,2006-03-08,27.33,27.33,26.95,27.29,594066,52.65,52.65,51.92,52.57,308400,2025-12-20T03:47:21Z
PLD,2006-03-09,27.72,27.83,27.22,27.38,654165,53.39,53.6,52.43,52.75,339600,2025-12-20T03:47:21Z
PLD,2006-03-10,28.01,28.07,27.54,27.75,781108,53.95,54.08,53.05,53.46,405500,2025-12-20T03:47:21Z
PLD,2006-03-13,27.82,28.19,27.57,28.03,750865,53.59,54.3,53.11,54,389800,2025-12-20T03:47:21Z
PLD,2006-03-14,28.17,28.17,27.68,27.82,629510,54.26,54.26,53.33,53.59,326800,2025-12-20T03:47:21Z
PLD,2006-03-15,28.53,28.72,28.16,28.17,1022086,54.96,55.33,54.25,54.26,530600,2025-12-20T03:47:21Z
PLD,2006-03-16,28.89,28.97,28.6,28.66,948117,55.65,55.8,55.09,55.2,492200,2025-12-20T03:47:21Z
PLD,2006-03-17,29.35,29.35,28.97,29.11,946770,56.53,56.53,55.8,56.08,491500,2025-12-20T03:47:21Z
PLD,2006-03-20,28.77,29.28,28.55,29.26,644920,55.42,56.4,54.99,56.37,334800,2025-12-20T03:47:21Z
PLD,2006-03-21,28.41,28.98,28.27,28.77,536085,54.73,55.82,54.46,55.42,278300,2025-12-20T03:47:21Z
PLD,2006-03-22,28.5,28.63,28.22,28.32,1352635,54.89,55.15,54.36,54.56,702200,2025-12-20T03:47:21Z
PLD,2006-03-23,28.41,28.54,28.32,28.5,589443,54.73,54.98,54.55,54.89,306000,2025-12-20T03:47:21Z
PLD,2006-03-24,28.38,28.5,28.31,28.46,891101,54.67,54.9,54.53,54.83,462600,2025-12-20T03:47:21Z
PLD,2006-03-27,28.01,28.4,27.98,28.4,921341,53.96,54.7,53.9,54.7,478300,2025-12-20T03:47:21Z
PLD,2006-03-28,28.07,28.36,27.75,28.02,1195066,54.07,54.63,53.46,53.97,620400,2025-12-20T03:47:21Z
PLD,2006-03-29,28.62,28.7,28.23,28.23,754334,55.13,55.28,54.38,54.38,391600,2025-12-20T03:47:21Z
PLD,2006-03-30,28.13,28.61,27.73,28.6,764734,54.18,55.12,53.42,55.1,397000,2025-12-20T03:47:21Z
PLD,2006-03-31,28.17,28.32,27.89,28.11,644342,54.27,54.55,53.72,54.15,334500,2025-12-20T03:47:21Z
PLD,2006-04-03,27.45,28.16,27.41,28.16,957941,52.88,54.25,52.8,54.25,497300,2025-12-20T03:47:21Z
PLD,2006-04-04,27.23,27.61,27.04,27.58,1050623,51.99,52.72,51.63,52.67,550200,2025-12-20T03:47:21Z
PLD,2006-04-05,27.43,27.69,27.25,27.69,546317,52.38,52.87,52.04,52.87,286100,2025-12-20T03:47:21Z
PLD,2006-04-06,27.29,27.46,27.13,27.39,618113,52.11,52.43,51.8,52.3,323700,2025-12-20T03:47:21Z
PLD,2006-04-07,26.83,27.33,26.69,27.26,791310,51.24,52.19,50.97,52.05,414400,2025-12-20T03:47:21Z
PLD,2006-04-10,26.59,26.81,26.41,26.81,656878,50.77,51.2,50.44,51.2,344000,2025-12-20T03:47:21Z
PLD,2006-04-11,26.55,26.79,26.52,26.59,749490,50.69,51.15,50.64,50.77,392500,2025-12-20T03:47:21Z
PLD,2006-04-12,26.58,26.75,26.3,26.71,1062463,50.75,51.08,50.22,51,556400,2025-12-20T03:47:21Z
PLD,2006-04-13,26.02,26.55,25.95,26.55,844585,49.69,50.7,49.56,50.7,442300,2025-12-20T03:47:21Z
