ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
PNC,2006-01-03,35.73,35.78,34.73,34.99,2891120,63.56,63.64,61.78,62.25,1625300,2026-01-24T03:45:24Z
PNC,2006-01-04,35.96,36.03,35.63,35.71,2532863,63.96,64.1,63.38,63.52,1423900,2026-01-24T03:45:24Z
PNC,2006-01-05,35.97,36.11,35.65,35.96,1676897,63.99,64.23,63.41,63.96,942700,2026-01-24T03:45:24Z
PNC,2006-01-06,36.27,36.38,35.86,36.17,2039951,64.51,64.71,63.79,64.34,1146800,2026-01-24T03:45:24Z
PNC,2006-01-09,36.24,36.46,36.16,36.27,1540281,64.47,64.86,64.32,64.51,865900,2026-01-24T03:45:24Z
PNC,2006-01-10,36.25,36.4,36.07,36.12,1673694,64.48,64.75,64.16,64.25,940900,2026-01-24T03:45:24Z
PNC,2006-01-11,36.53,36.53,36.18,36.32,1908524,64.48,64.48,63.86,64.1,1081300,2026-01-24T03:45:24Z
PNC,2006-01-12,36.07,36.4,35.94,36.4,1532925,63.67,64.25,63.44,64.25,868500,2026-01-24T03:45:24Z
PNC,2006-01-13,36.13,36.32,35.94,36.13,1038367,63.77,64.1,63.44,63.77,588300,2026-01-24T03:45:24Z
PNC,2006-01-17,35.36,35.9,35.27,35.85,2591591,62.41,63.36,62.25,63.28,1468300,2026-01-24T03:45:24Z
PNC,2006-01-18,35.99,36.02,35.09,35.1,3542411,63.52,63.57,61.94,61.95,2007000,2026-01-24T03:45:24Z
PNC,2006-01-19,36.07,36.6,35.98,36.25,3138218,63.67,64.6,63.51,63.98,1778000,2026-01-24T03:45:24Z
PNC,2006-01-20,37.39,38.67,36.76,37.14,12179952,66,68.25,64.88,65.55,6900700,2026-01-24T03:45:24Z
PNC,2006-01-23,36.63,37.63,36.53,37.35,3920125,64.66,66.41,64.48,65.92,2221000,2026-01-24T03:45:24Z
PNC,2006-01-24,37.11,37.32,36.75,36.83,2683371,65.5,65.87,64.86,65,1520300,2026-01-24T03:45:24Z
PNC,2006-01-25,37.09,37.16,36.6,37.11,2456389,65.47,65.59,64.6,65.5,1391700,2026-01-24T03:45:24Z
PNC,2006-01-26,37.75,37.85,37.16,37.38,4606194,66.63,66.8,65.58,65.98,2609700,2026-01-24T03:45:24Z
PNC,2006-01-27,37.46,38.24,37.14,37.84,3707270,66.12,67.5,65.56,66.79,2100400,2026-01-24T03:45:24Z
PNC,2006-01-30,36.95,37.45,36.88,37.45,2675958,65.21,66.1,65.09,66.1,1516100,2026-01-24T03:45:24Z
