ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
QCOM,2006-01-03,27.66,27.88,26.98,27.19,25178831,44,44.35,42.91,43.25,15828500,2026-03-07T03:45:59Z
QCOM,2006-01-04,28.56,28.6,27.62,27.66,26772224,45.43,45.49,43.93,44,16830200,2026-03-07T03:45:59Z
QCOM,2006-01-05,28.42,28.72,28.29,28.43,17285615,45.21,45.68,45,45.23,10866500,2026-03-07T03:45:59Z
QCOM,2006-01-06,29.77,29.79,28.52,28.64,42456273,47.36,47.39,45.36,45.55,26689900,2026-03-07T03:45:59Z
QCOM,2006-01-09,29.9,29.99,29.49,29.51,23165570,47.57,47.7,46.91,46.94,14562900,2026-03-07T03:45:59Z
QCOM,2006-01-10,29.79,30.18,29.6,29.65,20498759,47.38,48,47.09,47.16,12886400,2026-03-07T03:45:59Z
QCOM,2006-01-11,30.68,31.09,29.73,29.89,31826468,48.8,49.45,47.3,47.55,20007500,2026-03-07T03:45:59Z
QCOM,2006-01-12,30.8,30.99,30.34,30.35,26472265,49,49.3,48.27,48.28,16641600,2026-03-07T03:45:59Z
QCOM,2006-01-13,30.58,30.8,30.21,30.75,18625194,48.64,49,48.06,48.92,11708600,2026-03-07T03:45:59Z
QCOM,2006-01-17,30.25,30.38,29.74,29.81,20958796,48.12,48.33,47.31,47.42,13175600,2026-03-07T03:45:59Z
QCOM,2006-01-18,30.02,30.48,29.8,29.81,21003814,47.75,48.48,47.4,47.42,13203900,2026-03-07T03:45:59Z
QCOM,2006-01-19,30.6,30.63,29.93,30.31,22443228,48.67,48.72,47.61,48.22,14108800,2026-03-07T03:45:59Z
QCOM,2006-01-20,29.52,30.6,29.25,30.5,33455049,46.96,48.68,46.53,48.52,21031300,2026-03-07T03:45:59Z
QCOM,2006-01-23,29.5,29.67,29.23,29.65,17208612,46.92,47.19,46.5,47.16,10818100,2026-03-07T03:45:59Z
QCOM,2006-01-24,30.22,30.36,29.52,29.7,22125412,48.07,48.3,46.96,47.25,13909000,2026-03-07T03:45:59Z
QCOM,2006-01-25,29.91,30.55,29.61,30.31,27606387,47.58,48.6,47.11,48.22,17354600,2026-03-07T03:45:59Z
QCOM,2006-01-26,29.86,30.23,29.23,29.38,31458017,47.5,48.09,46.5,46.74,19775900,2026-03-07T03:45:59Z
