ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
REGN,2006-01-03,15.79,16.08,15.31,15.69,971217,15.9,16.19,15.41,15.8,964700,2026-02-24T03:45:59Z
REGN,2006-01-04,15.81,15.9,15.41,15.9,594387,15.92,16.01,15.51,16.01,590400,2026-02-24T03:45:59Z
REGN,2006-01-05,16.34,16.59,15.67,15.69,696474,16.45,16.7,15.78,15.8,691800,2026-02-24T03:45:59Z
REGN,2006-01-06,16.89,17.22,15.83,16.46,669090,17,17.34,15.94,16.57,664600,2026-02-24T03:45:59Z
REGN,2006-01-09,17.02,17.56,16.56,16.77,895109,17.13,17.68,16.67,16.88,889100,2026-02-24T03:45:59Z
REGN,2006-01-10,16.61,16.99,16.04,16.88,556333,16.72,17.1,16.15,16.99,552600,2026-02-24T03:45:59Z
REGN,2006-01-11,16.18,16.66,15.85,16.54,772583,16.29,16.77,15.96,16.65,767400,2026-02-24T03:45:59Z
REGN,2006-01-12,15.73,16.52,15.6,16.22,582207,15.84,16.63,15.7,16.33,578300,2026-02-24T03:45:59Z
REGN,2006-01-13,16.02,17.31,15.71,15.71,494517,16.13,17.43,15.82,15.82,491200,2026-02-24T03:45:59Z
REGN,2006-01-17,15.84,16.19,15.7,15.87,361726,15.95,16.3,15.81,15.98,359300,2026-02-24T03:45:59Z
REGN,2006-01-18,15.66,15.71,15.23,15.64,623885,15.77,15.82,15.33,15.75,619700,2026-02-24T03:45:59Z
REGN,2006-01-19,16.36,16.49,15.35,15.65,616838,16.47,16.6,15.45,15.76,612700,2026-02-24T03:45:59Z
REGN,2006-01-20,15.4,16.45,15.23,16.45,444784,15.5,16.56,15.33,16.56,441800,2026-02-24T03:45:59Z
REGN,2006-01-23,15.12,15.55,14.25,15.35,729997,15.22,15.65,14.35,15.45,725100,2026-02-24T03:45:59Z
REGN,2006-01-24,15.01,15.13,14.59,15.13,347934,15.11,15.23,14.69,15.23,345600,2026-02-24T03:45:59Z
REGN,2006-01-25,15.17,15.36,14.91,14.98,326390,15.27,15.46,15.01,15.08,324200,2026-02-24T03:45:59Z
REGN,2006-01-26,15.42,15.53,15.03,15.35,342396,15.52,15.63,15.13,15.45,340100,2026-02-24T03:45:59Z
REGN,2006-01-27,15.34,15.79,15.23,15.41,554420,15.44,15.9,15.33,15.51,550700,2026-02-24T03:45:59Z
REGN,2006-01-30,15.08,15.56,15.02,15.27,222795,15.18,15.66,15.12,15.37,221300,2026-02-24T03:45:59Z
REGN,2006-01-31,15.13,15.3,14.9,15.02,286623,15.23,15.4,15,15.12,284700,2026-02-24T03:45:59Z
REGN,2006-02-01,15.66,15.81,15.05,15.05,475188,15.77,15.92,15.15,15.15,472000,2026-02-24T03:45:59Z
REGN,2006-02-02,15.57,15.87,15.38,15.57,339981,15.68,15.98,15.48,15.67,337700,2026-02-24T03:45:59Z
REGN,2006-02-03,16.08,16.91,15.67,15.81,800268,16.19,17.02,15.78,15.92,794900,2026-02-24T03:45:59Z
REGN,2006-02-06,15.78,16.13,15.23,16.11,479818,15.89,16.24,15.33,16.22,476600,2026-02-24T03:45:59Z
REGN,2006-02-07,15.38,16.11,15.28,15.67,317430,15.48,16.22,15.38,15.78,315300,2026-02-24T03:45:59Z
REGN,2006-02-08,15.31,15.6,15.14,15.38,179202,15.41,15.7,15.24,15.48,178000,2026-02-24T03:45:59Z
REGN,2006-02-09,15.21,15.74,15.09,15.3,221989,15.31,15.85,15.19,15.4,220500,2026-02-24T03:45:59Z
