ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
SCHW,2006-01-03,11.08,11.11,10.47,10.74,9820057,14.96,15,14.14,14.51,7271700,2026-02-14T03:46:34Z
SCHW,2006-01-04,11.62,11.67,10.97,11.08,16526875,15.69,15.76,14.81,14.96,12238000,2026-02-14T03:46:34Z
SCHW,2006-01-05,11.71,11.76,11.46,11.47,6714172,15.81,15.88,15.47,15.49,4971800,2026-02-14T03:46:34Z
SCHW,2006-01-06,11.88,12,11.56,11.74,8808327,16.04,16.2,15.61,15.85,6522500,2026-02-14T03:46:34Z
SCHW,2006-01-09,12,12.03,11.73,12.03,9414123,16.2,16.25,15.84,16.25,6971100,2026-02-14T03:46:34Z
SCHW,2006-01-10,11.6,12,11.6,11.97,11353811,15.67,16.2,15.67,16.16,8407400,2026-02-14T03:46:34Z
SCHW,2006-01-11,11.54,11.65,11.47,11.6,14087759,15.59,15.73,15.49,15.67,10431900,2026-02-14T03:46:34Z
SCHW,2006-01-12,11.43,11.54,11.4,11.49,7621822,15.44,15.59,15.4,15.52,5643900,2026-02-14T03:46:34Z
SCHW,2006-01-13,11.27,11.53,11.19,11.51,6636256,15.22,15.57,15.11,15.54,4914100,2026-02-14T03:46:34Z
SCHW,2006-01-17,11.09,11.2,10.99,11.12,9278940,14.98,15.12,14.84,15.01,6871000,2026-02-14T03:46:34Z
SCHW,2006-01-18,10.83,11.09,10.73,11,16654051,14.62,14.98,14.49,14.86,12332200,2026-02-14T03:46:34Z
SCHW,2006-01-19,11.09,11.12,10.86,11.01,12122313,14.98,15.02,14.67,14.87,8976500,2026-02-14T03:46:34Z
SCHW,2006-01-20,10.73,11.06,10.73,11.06,10357639,14.49,14.93,14.49,14.93,7669800,2026-02-14T03:46:34Z
SCHW,2006-01-23,10.94,11.03,10.74,10.77,11158763,14.77,14.9,14.51,14.54,8263000,2026-02-14T03:46:34Z
SCHW,2006-01-24,10.92,11.29,10.37,10.97,12966462,14.75,15.25,14,14.81,9601600,2026-02-14T03:46:34Z
SCHW,2006-01-25,10.85,11,10.74,10.92,9681003,14.65,14.86,14.5,14.75,7168700,2026-02-14T03:46:34Z
SCHW,2006-01-26,11.24,11.31,11.06,11.17,9911760,15.18,15.27,14.93,15.08,7339600,2026-02-14T03:46:34Z
SCHW,2006-01-27,11.01,11.34,10.97,11.16,10582708,14.87,15.31,14.82,15.07,7836400,2026-02-14T03:46:34Z
SCHW,2006-01-30,11.13,11.28,10.9,10.93,9167414,15.03,15.23,14.72,14.76,6788400,2026-02-14T03:46:34Z
SCHW,2006-01-31,10.95,11.22,10.85,11.09,9708119,14.79,15.15,14.65,14.98,7188800,2026-02-14T03:46:34Z
SCHW,2006-02-01,10.91,11.23,10.86,10.89,13554982,14.74,15.16,14.67,14.71,10037400,2026-02-14T03:46:34Z
SCHW,2006-02-02,10.69,10.96,10.59,10.91,12832683,14.43,14.8,14.3,14.73,9502500,2026-02-14T03:46:34Z
SCHW,2006-02-03,10.81,10.87,10.56,10.66,8745252,14.6,14.68,14.26,14.4,6475800,2026-02-14T03:46:34Z
SCHW,2006-02-06,10.88,10.9,10.71,10.81,9476310,14.67,14.7,14.44,14.58,7029200,2026-02-14T03:46:34Z
SCHW,2006-02-07,10.74,10.91,10.7,10.9,7331606,14.48,14.71,14.43,14.69,5438300,2026-02-14T03:46:34Z
SCHW,2006-02-08,10.93,10.96,10.69,10.72,9121769,14.74,14.78,14.41,14.45,6766200,2026-02-14T03:46:34Z
SCHW,2006-02-09,10.84,11.06,10.83,10.91,8599492,14.62,14.91,14.6,14.71,6378800,2026-02-14T03:46:34Z
SCHW,2006-02-10,10.79,10.95,10.59,10.82,9571747,14.55,14.76,14.27,14.59,7100000,2026-02-14T03:46:34Z
SCHW,2006-02-13,10.71,10.79,10.66,10.72,5454955,14.44,14.55,14.37,14.45,4046300,2026-02-14T03:46:34Z
SCHW,2006-02-14,11.34,11.34,10.74,10.77,19819460,15.29,15.29,14.48,14.52,14701400,2026-02-14T03:46:34Z
SCHW,2006-02-15,11.68,11.78,11.27,11.3,15127026,15.75,15.88,15.19,15.24,11220700,2026-02-14T03:46:34Z
SCHW,2006-02-16,11.96,11.99,11.68,11.68,13155480,16.13,16.16,15.74,15.75,9758300,2026-02-14T03:46:34Z
SCHW,2006-02-17,11.96,12.01,11.86,11.94,8998172,16.12,16.19,15.99,16.1,6674500,2026-02-14T03:46:34Z
SCHW,2006-02-21,11.9,11.98,11.82,11.89,8040964,16.04,16.15,15.94,16.03,5964500,2026-02-14T03:46:34Z
SCHW,2006-02-22,12.16,12.24,11.85,11.88,11850698,16.4,16.5,15.98,16.02,8790400,2026-02-14T03:46:34Z
SCHW,2006-02-23,12.28,12.57,12.11,12.13,20479308,16.56,16.95,16.32,16.36,15190800,2026-02-14T03:46:34Z
SCHW,2006-02-24,12.28,12.54,12.17,12.41,12295566,16.56,16.91,16.41,16.73,9120400,2026-02-14T03:46:34Z
SCHW,2006-02-27,12.22,12.44,11.57,12.07,13106293,16.48,16.77,15.6,16.27,9721800,2026-02-14T03:46:34Z
SCHW,2006-02-28,12.02,12.33,11.96,12.16,11552859,16.21,16.62,16.12,16.4,8569500,2026-02-14T03:46:34Z
SCHW,2006-03-01,12.25,12.34,11.89,12.08,10337420,16.52,16.63,16.03,16.29,7667900,2026-02-14T03:46:34Z
SCHW,2006-03-02,12.27,12.4,12.05,12.1,6302936,16.54,16.72,16.25,16.31,4675300,2026-02-14T03:46:34Z
SCHW,2006-03-03,12.39,12.48,12.07,12.13,7770909,16.7,16.82,16.27,16.35,5764200,2026-02-14T03:46:34Z
SCHW,2006-03-06,12.2,12.48,12.11,12.39,9709571,16.45,16.83,16.33,16.7,7202200,2026-02-14T03:46:34Z
SCHW,2006-03-07,12.06,12.5,11.91,12.19,6762518,16.26,16.85,16.06,16.43,5016200,2026-02-14T03:46:34Z
SCHW,2006-03-08,12.02,12.15,11.8,12.13,8645051,16.2,16.38,15.91,16.35,6412600,2026-02-14T03:46:34Z
SCHW,2006-03-09,11.94,12.24,11.88,12.04,6967434,16.09,16.5,16.02,16.23,5168200,2026-02-14T03:46:34Z
SCHW,2006-03-10,12.12,12.17,11.94,12.05,4409901,16.34,16.41,16.1,16.25,3271100,2026-02-14T03:46:34Z
SCHW,2006-03-13,12.25,12.28,12.07,12.13,8429799,16.52,16.56,16.27,16.36,6252900,2026-02-14T03:46:34Z
SCHW,2006-03-14,12.58,12.63,12.17,12.22,9746239,16.96,17.03,16.41,16.47,7229400,2026-02-14T03:46:34Z
SCHW,2006-03-15,12.57,12.68,12.46,12.56,9526736,16.94,17.1,16.8,16.93,7066600,2026-02-14T03:46:34Z
SCHW,2006-03-16,13.05,13.21,12.96,13.02,27846114,17.59,17.81,17.47,17.55,20655200,2026-02-14T03:46:34Z
SCHW,2006-03-17,13.45,13.53,13.07,13.26,13852633,18.13,18.24,17.62,17.87,10275400,2026-02-14T03:46:34Z
SCHW,2006-03-20,13.22,13.54,13.11,13.53,8558404,17.82,18.26,17.68,18.24,6348300,2026-02-14T03:46:34Z
SCHW,2006-03-21,12.98,13.3,12.91,13.19,7485786,17.5,17.93,17.4,17.78,5552700,2026-02-14T03:46:34Z
SCHW,2006-03-22,13,13.02,12.73,12.94,8737958,17.52,17.55,17.16,17.44,6481500,2026-02-14T03:46:34Z
SCHW,2006-03-23,12.85,13.01,12.77,13.01,3505149,17.33,17.54,17.22,17.54,2600000,2026-02-14T03:46:34Z
SCHW,2006-03-24,12.9,12.94,12.75,12.78,3833691,17.39,17.45,17.19,17.23,2843700,2026-02-14T03:46:34Z
SCHW,2006-03-27,12.92,13.04,12.79,12.79,4939048,17.42,17.58,17.25,17.25,3663600,2026-02-14T03:46:34Z
SCHW,2006-03-28,12.82,13.06,12.75,12.86,8671209,17.28,17.61,17.19,17.34,6432000,2026-02-14T03:46:34Z
SCHW,2006-03-29,13.08,13.28,12.98,13,11912429,17.64,17.9,17.5,17.53,8836200,2026-02-14T03:46:34Z
SCHW,2006-03-30,12.96,13.14,12.82,12.95,12444944,17.47,17.71,17.28,17.46,9231200,2026-02-14T03:46:34Z
SCHW,2006-03-31,12.77,13.01,12.77,12.9,7830362,17.21,17.54,17.21,17.39,5808300,2026-02-14T03:46:34Z
SCHW,2006-04-03,12.91,13.28,12.82,12.91,7420830,17.41,17.9,17.29,17.4,5504500,2026-02-14T03:46:34Z
SCHW,2006-04-04,13.14,13.27,12.8,12.98,8662755,17.71,17.89,17.26,17.5,6425700,2026-02-14T03:46:34Z
SCHW,2006-04-05,13.01,13.15,12.97,13.12,8467949,17.54,17.73,17.48,17.69,6281200,2026-02-14T03:46:34Z
SCHW,2006-04-06,13.26,13.3,12.89,12.91,10102704,17.88,17.93,17.38,17.41,7493800,2026-02-14T03:46:34Z
SCHW,2006-04-07,13.35,13.39,13.17,13.32,12208017,18,18.05,17.76,17.96,9055500,2026-02-14T03:46:34Z
SCHW,2006-04-10,13.44,13.51,13.26,13.44,9004322,18.12,18.21,17.87,18.12,6679100,2026-02-14T03:46:34Z
SCHW,2006-04-11,13.15,13.62,13,13.52,8316915,17.73,18.36,17.53,18.23,6169200,2026-02-14T03:46:34Z
SCHW,2006-04-12,12.9,13.21,12.86,13.2,7263752,17.39,17.81,17.33,17.8,5388000,2026-02-14T03:46:34Z
SCHW,2006-04-13,13.05,13.06,12.85,12.88,6450988,17.59,17.61,17.32,17.37,4785100,2026-02-14T03:46:34Z
SCHW,2006-04-17,12.86,13.12,12.66,13.08,10381324,17.34,17.69,17.07,17.63,7700500,2026-02-14T03:46:34Z
SCHW,2006-04-18,13.01,13.13,12.82,12.96,10659893,17.54,17.7,17.28,17.47,7907100,2026-02-14T03:46:34Z
SCHW,2006-04-19,13.2,13.28,13.03,13.2,9164492,17.79,17.9,17.56,17.8,6797900,2026-02-14T03:46:34Z
SCHW,2006-04-20,13.14,13.24,13.03,13.19,7697436,17.72,17.85,17.56,17.78,5709700,2026-02-14T03:46:34Z
SCHW,2006-04-21,13.26,13.31,13.16,13.29,11686756,17.87,17.95,17.74,17.92,8668800,2026-02-14T03:46:34Z
SCHW,2006-04-24,13.05,13.11,12.87,13.05,9513301,17.6,17.68,17.35,17.59,7056600,2026-02-14T03:46:34Z
SCHW,2006-04-25,12.96,13.16,12.91,13.13,5926151,17.47,17.74,17.41,17.7,4395800,2026-02-14T03:46:34Z
SCHW,2006-04-26,13.14,13.17,13.01,13.15,4516140,17.71,17.75,17.54,17.73,3349900,2026-02-14T03:46:34Z
SCHW,2006-04-27,13.51,13.67,12.9,13.09,12712554,18.21,18.43,17.39,17.65,9429700,2026-02-14T03:46:34Z
SCHW,2006-04-28,13.28,13.72,13.13,13.55,10719562,17.9,18.5,17.7,18.27,7951400,2026-02-14T03:46:34Z
SCHW,2006-05-01,13,13.59,12.97,13.4,8685931,17.53,18.32,17.49,18.06,6442900,2026-02-14T03:46:34Z
SCHW,2006-05-02,13.11,13.15,13,13.03,5638168,17.67,17.73,17.53,17.56,4182200,2026-02-14T03:46:34Z
SCHW,2006-05-03,13.08,13.22,12.91,13.12,7637199,17.63,17.82,17.41,17.69,5665000,2026-02-14T03:46:34Z
SCHW,2006-05-04,13.23,13.53,13.11,13.11,11902107,17.8,18.21,17.64,17.65,8843600,2026-02-14T03:46:34Z
SCHW,2006-05-05,13.71,13.75,13.26,13.38,11182055,18.45,18.51,17.85,18.01,8308600,2026-02-14T03:46:34Z
SCHW,2006-05-08,13.66,13.77,13.47,13.75,8271953,18.39,18.53,18.13,18.51,6146300,2026-02-14T03:46:34Z
SCHW,2006-05-09,13.56,13.64,13.48,13.64,7078851,18.25,18.36,18.14,18.36,5259800,2026-02-14T03:46:34Z
SCHW,2006-05-10,13.58,13.63,13.12,13.47,7189879,18.28,18.34,17.66,18.13,5342300,2026-02-14T03:46:34Z
SCHW,2006-05-11,13.26,13.61,13.12,13.44,9370185,17.84,18.31,17.66,18.09,6962300,2026-02-14T03:46:34Z
SCHW,2006-05-12,12.8,13.15,12.76,12.96,11851344,17.23,17.7,17.17,17.44,8805900,2026-02-14T03:46:34Z
SCHW,2006-05-15,12.68,12.82,12.39,12.82,11921314,17.06,17.25,16.68,17.25,8857900,2026-02-14T03:46:34Z
SCHW,2006-05-16,12.84,12.97,12.59,12.59,8014921,17.28,17.45,16.94,16.94,5955300,2026-02-14T03:46:34Z
SCHW,2006-05-17,12.65,12.91,12.19,12.75,15073416,17.03,17.37,16.4,17.16,11200000,2026-02-14T03:46:34Z
SCHW,2006-05-18,12.36,12.83,12.25,12.65,11202660,16.64,17.27,16.49,17.02,8323900,2026-02-14T03:46:34Z
SCHW,2006-05-19,12.37,12.51,12.07,12.42,13332623,16.65,16.83,16.25,16.72,9906500,2026-02-14T03:46:34Z
SCHW,2006-05-22,11.82,12.33,11.7,12.28,17535911,15.91,16.59,15.74,16.52,13029700,2026-02-14T03:46:34Z
SCHW,2006-05-23,11.82,12.15,11.82,12,7120309,15.91,16.35,15.91,16.15,5290600,2026-02-14T03:46:34Z
SCHW,2006-05-24,11.89,12.14,11.33,11.72,14425368,16,16.34,15.25,15.78,10718500,2026-02-14T03:46:34Z
SCHW,2006-05-25,12.23,12.26,11.93,11.97,9051371,16.46,16.5,16.05,16.11,6725400,2026-02-14T03:46:34Z
SCHW,2006-05-26,12.52,12.66,12.33,12.57,6874046,16.85,17.04,16.59,16.92,5107600,2026-02-14T03:46:34Z
SCHW,2006-05-30,12.21,12.57,12.16,12.51,7111008,16.43,16.92,16.36,16.83,5283700,2026-02-14T03:46:34Z
SCHW,2006-05-31,12.38,12.5,12.21,12.31,7673029,16.66,16.82,16.44,16.57,5701300,2026-02-14T03:46:34Z
SCHW,2006-06-01,12.48,12.49,12.33,12.42,7870388,16.79,16.81,16.6,16.71,5847900,2026-02-14T03:46:34Z
SCHW,2006-06-02,12.61,12.71,12.4,12.61,6602838,16.97,17.1,16.69,16.97,4906100,2026-02-14T03:46:34Z
