ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
SLB,2006-01-03,33.58,33.59,31.97,32.12,19736092,103.36,103.38,98.4,98.85,6411900,2026-02-14T03:46:38Z
SLB,2006-01-04,34.03,34.11,33.25,33.58,19782899,104.74,105,102.35,103.36,6427100,2026-02-14T03:46:38Z
SLB,2006-01-05,33.85,34.19,33.44,34.03,22707323,104.2,105.24,102.94,104.75,7377200,2026-02-14T03:46:38Z
SLB,2006-01-06,34.92,34.92,34.02,34.11,13257436,107.48,107.49,104.7,105,4307100,2026-02-14T03:46:38Z
SLB,2006-01-09,34.44,35.05,34.26,34.86,13294670,106,107.88,105.45,107.29,4319200,2026-02-14T03:46:38Z
SLB,2006-01-10,34.81,35.5,34.46,34.68,17029902,107.16,109.28,106.08,106.75,5532700,2026-02-14T03:46:38Z
SLB,2006-01-11,34.84,35.15,34.02,34.81,15444682,107.25,108.2,104.72,107.16,5017700,2026-02-14T03:46:38Z
SLB,2006-01-12,34.25,35.25,34.13,34.96,17888964,105.41,108.5,105.06,107.6,5811800,2026-02-14T03:46:38Z
SLB,2006-01-13,34.85,35.02,34.19,34.25,12496244,107.28,107.8,105.25,105.42,4059800,2026-02-14T03:46:38Z
SLB,2006-01-17,35.25,35.66,35.25,35.48,13616327,108.5,109.75,108.5,109.2,4423700,2026-02-14T03:46:38Z
SLB,2006-01-18,35.45,35.54,34.94,35.54,16452162,109.11,109.4,107.54,109.4,5345000,2026-02-14T03:46:38Z
SLB,2006-01-19,37.32,37.48,35.12,35.12,29177667,114.87,115.35,108.1,108.1,9479300,2026-02-14T03:46:38Z
SLB,2006-01-20,39.72,39.79,38.05,38.13,51097658,122.25,122.47,117.11,117.35,16600700,2026-02-14T03:46:38Z
SLB,2006-01-23,40.94,41.22,39.36,40.04,33127438,126,126.87,121.15,123.25,10762500,2026-02-14T03:46:38Z
SLB,2006-01-24,40.15,40.7,40.03,40.7,29236817,123.59,125.26,123.2,125.26,9498500,2026-02-14T03:46:38Z
SLB,2006-01-25,39.21,40.54,38.67,40.54,28509162,120.7,124.79,119.04,124.79,9262100,2026-02-14T03:46:38Z
SLB,2006-01-26,40.4,40.44,38.38,39.07,21638331,124.34,124.49,118.13,120.25,7029900,2026-02-14T03:46:38Z
SLB,2006-01-27,41.38,41.53,40.32,40.9,25150067,127.37,127.83,124.09,125.9,8170800,2026-02-14T03:46:38Z
SLB,2006-01-30,42.45,42.8,41.41,41.41,25080200,130.65,131.75,127.47,127.47,8148100,2026-02-14T03:46:38Z
SLB,2006-01-31,41.41,42.24,41.3,42.24,23582721,127.45,130.01,127.11,130.01,7661600,2026-02-14T03:46:38Z
SLB,2006-02-01,40.03,41.94,39.92,41.59,19534789,123.21,129.08,122.86,128,6346500,2026-02-14T03:46:38Z
SLB,2006-02-02,39.67,40.56,38.99,40.04,22878764,122.12,124.84,120.01,123.25,7432900,2026-02-14T03:46:38Z
SLB,2006-02-03,39.77,40.51,38.82,39.76,19356878,122.41,124.7,119.5,122.37,6288700,2026-02-14T03:46:38Z
SLB,2006-02-06,40.52,41,39.82,40.43,18440887,124.72,126.2,122.57,124.44,5991100,2026-02-14T03:46:38Z
SLB,2006-02-07,38.17,40.2,37.96,40.2,25131302,117.5,123.75,116.85,123.75,8164700,2026-02-14T03:46:38Z
