ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
SO,2006-01-03,14.29,14.32,14.05,14.17,5406840,35.07,35.13,34.48,34.76,2203700,2026-02-21T03:46:34Z
SO,2006-01-04,14.26,14.31,14.04,14.23,5734629,34.99,35.1,34.45,34.92,2337300,2026-02-21T03:46:34Z
SO,2006-01-05,14.22,14.31,14.16,14.28,3369164,34.9,35.12,34.75,35.04,1373200,2026-02-21T03:46:34Z
SO,2006-01-06,14.31,14.31,14.18,14.26,2898583,35.1,35.1,34.8,34.99,1181400,2026-02-21T03:46:34Z
SO,2006-01-09,14.23,14.3,14.19,14.29,4201656,34.92,35.08,34.81,35.06,1712500,2026-02-21T03:46:34Z
SO,2006-01-10,14.21,14.24,14.16,14.19,4715185,34.87,34.95,34.75,34.82,1921800,2026-02-21T03:46:34Z
SO,2006-01-11,14.18,14.24,14.12,14.19,5011079,34.79,34.93,34.64,34.81,2042400,2026-02-21T03:46:34Z
SO,2006-01-12,14.2,14.31,14.17,14.18,5556253,34.83,35.1,34.76,34.79,2264600,2026-02-21T03:46:34Z
SO,2006-01-13,14.23,14.26,14.16,14.2,4313782,34.92,34.98,34.74,34.85,1758200,2026-02-21T03:46:34Z
SO,2006-01-17,14.3,14.31,14.17,14.22,4712975,35.08,35.11,34.76,34.88,1920900,2026-02-21T03:46:34Z
SO,2006-01-18,14.33,14.41,14.27,14.27,4750270,35.16,35.35,35.02,35.02,1936100,2026-02-21T03:46:34Z
SO,2006-01-19,14.52,14.53,14.31,14.34,5700505,35.63,35.64,35.1,35.17,2323400,2026-02-21T03:46:34Z
SO,2006-01-20,14.29,14.63,14.22,14.52,7969277,35.05,35.89,34.9,35.63,3248100,2026-02-21T03:46:34Z
SO,2006-01-23,14.36,14.41,14.27,14.27,3827235,35.23,35.35,35,35,1559900,2026-02-21T03:46:34Z
SO,2006-01-24,14.5,14.55,14.32,14.36,5636722,35.58,35.69,35.14,35.22,2297400,2026-02-21T03:46:34Z
SO,2006-01-25,14.41,14.61,14.27,14.5,7608104,35.35,35.84,35,35.57,3100900,2026-02-21T03:46:34Z
SO,2006-01-26,14.32,14.52,14.17,14.47,10548176,35.13,35.63,34.77,35.5,4299200,2026-02-21T03:46:34Z
SO,2006-01-27,14.38,14.53,14.24,14.27,7874307,35.27,35.64,34.95,35,3209400,2026-02-21T03:46:34Z
SO,2006-01-30,14.3,14.34,14.22,14.27,8766182,35.09,35.17,34.88,35,3572900,2026-02-21T03:46:34Z
SO,2006-01-31,14.18,14.36,14.14,14.32,10269210,34.8,35.22,34.69,35.14,4185500,2026-02-21T03:46:34Z
