ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
TFC,2006-01-03,19.26,19.34,18.93,19.18,5169396,42.31,42.49,41.58,42.13,2352900,2026-02-14T03:46:44Z
TFC,2006-01-04,19.41,19.48,19.21,19.21,3596761,42.64,42.79,42.2,42.2,1637100,2026-02-14T03:46:44Z
TFC,2006-01-05,19.41,19.43,19.31,19.35,2020610,42.64,42.7,42.42,42.52,919700,2026-02-14T03:46:44Z
TFC,2006-01-06,19.36,19.5,19.24,19.48,2453869,42.53,42.85,42.26,42.79,1116900,2026-02-14T03:46:44Z
TFC,2006-01-09,19.4,19.42,19.27,19.35,4087368,42.63,42.66,42.34,42.51,1860400,2026-02-14T03:46:44Z
TFC,2006-01-10,19.38,19.43,19.2,19.29,4199185,42.58,42.7,42.19,42.38,1911300,2026-02-14T03:46:44Z
TFC,2006-01-11,19.26,19.38,19.15,19.38,5000234,41.94,42.2,41.7,42.2,2296400,2026-02-14T03:46:44Z
TFC,2006-01-12,18.99,19.21,18.98,19.2,3347793,41.36,41.83,41.33,41.8,1537500,2026-02-14T03:46:44Z
TFC,2006-01-13,19.23,19.27,19.1,19.17,4066131,41.87,41.97,41.58,41.75,1867400,2026-02-14T03:46:44Z
TFC,2006-01-17,19.14,19.18,18.99,19.11,2369907,41.67,41.77,41.35,41.62,1088400,2026-02-14T03:46:44Z
TFC,2006-01-18,19.17,19.36,19.04,19.13,2789938,41.75,42.16,41.46,41.65,1281300,2026-02-14T03:46:44Z
TFC,2006-01-19,18.87,19.02,18.65,18.94,4573250,41.08,41.41,40.61,41.25,2100300,2026-02-14T03:46:44Z
TFC,2006-01-20,18.2,18.87,18.09,18.87,7673245,39.63,41.08,39.38,41.08,3524000,2026-02-14T03:46:44Z
TFC,2006-01-23,18.18,18.36,18.14,18.2,4025193,39.59,39.97,39.5,39.64,1848600,2026-02-14T03:46:44Z
TFC,2006-01-24,18.09,18.29,18.02,18.18,3678318,39.39,39.82,39.24,39.59,1689300,2026-02-14T03:46:44Z
TFC,2006-01-25,18.05,18.16,18,18.09,2553254,39.3,39.54,39.19,39.38,1172600,2026-02-14T03:46:44Z
TFC,2006-01-26,18.38,18.47,18.18,18.21,3434887,40.03,40.22,39.59,39.65,1577500,2026-02-14T03:46:44Z
TFC,2006-01-27,18.39,18.69,18.38,18.46,4307598,40.04,40.69,40.01,40.19,1978300,2026-02-14T03:46:44Z
TFC,2006-01-30,18.18,18.41,18.15,18.37,2683899,39.58,40.09,39.52,39.99,1232600,2026-02-14T03:46:44Z
TFC,2006-01-31,17.93,18.17,17.86,18.17,7926278,39.04,39.57,38.9,39.57,3640200,2026-02-14T03:46:44Z
TFC,2006-02-01,17.92,18.03,17.8,18,4823878,39.03,39.26,38.75,39.2,2215400,2026-02-14T03:46:44Z
TFC,2006-02-02,17.62,17.98,17.56,17.98,5517822,38.37,39.14,38.24,39.14,2534100,2026-02-14T03:46:44Z
TFC,2006-02-03,17.74,17.91,17.69,17.91,5611018,38.63,39,38.51,39,2576900,2026-02-14T03:46:44Z
TFC,2006-02-06,17.72,17.77,17.69,17.73,2492059,38.58,38.7,38.52,38.6,1144500,2026-02-14T03:46:44Z
TFC,2006-02-07,17.65,17.8,17.59,17.7,3446425,38.43,38.76,38.3,38.54,1582800,2026-02-14T03:46:44Z
TFC,2006-02-08,17.86,17.86,17.57,17.63,2994621,38.88,38.89,38.25,38.38,1375300,2026-02-14T03:46:44Z
TFC,2006-02-09,17.92,18.07,17.83,17.86,3834238,39.02,39.34,38.82,38.88,1760900,2026-02-14T03:46:44Z
TFC,2006-02-10,18.04,18.06,17.84,17.9,3143121,39.29,39.32,38.85,38.98,1443500,2026-02-14T03:46:44Z
TFC,2006-02-13,17.87,18.02,17.8,17.95,2289131,38.91,39.23,38.76,39.09,1051300,2026-02-14T03:46:44Z
TFC,2006-02-14,18.18,18.29,17.87,17.92,3227166,39.59,39.82,38.91,39.02,1482100,2026-02-14T03:46:44Z
TFC,2006-02-15,18.1,18.26,17.99,18.1,4708479,39.41,39.76,39.17,39.42,2162400,2026-02-14T03:46:44Z
TFC,2006-02-16,18.41,18.41,18.03,18.08,3728200,40.08,40.09,39.25,39.36,1712200,2026-02-14T03:46:44Z
TFC,2006-02-17,18.25,18.41,18.19,18.41,2816502,39.73,40.09,39.61,40.09,1293500,2026-02-14T03:46:44Z
TFC,2006-02-21,18.2,18.37,18.1,18.32,2985685,39.62,39.99,39.42,39.9,1371200,2026-02-14T03:46:44Z
TFC,2006-02-22,18.59,18.64,18.28,18.31,3302512,40.48,40.58,39.8,39.86,1516700,2026-02-14T03:46:44Z
TFC,2006-02-23,18.34,18.55,18.29,18.52,2802356,39.94,40.39,39.82,40.32,1287000,2026-02-14T03:46:44Z
TFC,2006-02-24,18.34,18.48,18.26,18.38,1505041,39.94,40.23,39.75,40.01,691200,2026-02-14T03:46:44Z
TFC,2006-02-27,18.39,18.55,18.35,18.37,1555116,40.04,40.39,39.96,39.99,714200,2026-02-14T03:46:44Z
TFC,2006-02-28,18.15,18.38,18.13,18.26,4196762,39.53,40.02,39.48,39.76,1927400,2026-02-14T03:46:44Z
TFC,2006-03-01,18.23,18.28,18.1,18.15,3165983,39.7,39.8,39.41,39.52,1454000,2026-02-14T03:46:44Z
TFC,2006-03-02,18.12,18.24,18.04,18.12,3062988,39.45,39.71,39.29,39.46,1406700,2026-02-14T03:46:44Z
TFC,2006-03-03,17.96,18.12,17.96,18.03,2340295,39.1,39.46,39.1,39.25,1074800,2026-02-14T03:46:44Z
TFC,2006-03-06,17.88,18,17.82,18,2700880,38.93,39.2,38.8,39.2,1240400,2026-02-14T03:46:44Z
TFC,2006-03-07,18.07,18.08,17.82,17.86,2288039,39.34,39.37,38.79,38.9,1050800,2026-02-14T03:46:44Z
TFC,2006-03-08,18.2,18.22,17.98,18.04,2456353,39.62,39.67,39.14,39.28,1128100,2026-02-14T03:46:44Z
TFC,2006-03-09,18.03,18.26,18.03,18.19,2731139,39.26,39.75,39.25,39.61,1254300,2026-02-14T03:46:44Z
TFC,2006-03-10,18.14,18.18,18.05,18.05,1788319,39.49,39.59,39.3,39.3,821300,2026-02-14T03:46:44Z
TFC,2006-03-13,18.24,18.34,18.17,18.19,2476825,39.71,39.93,39.56,39.6,1137500,2026-02-14T03:46:44Z
TFC,2006-03-14,18.54,18.59,18.16,18.16,3311217,40.38,40.47,39.55,39.55,1520700,2026-02-14T03:46:44Z
TFC,2006-03-15,18.62,18.65,18.42,18.52,3124389,40.55,40.6,40.11,40.33,1434900,2026-02-14T03:46:44Z
TFC,2006-03-16,18.53,18.7,18.52,18.65,3749519,40.34,40.71,40.33,40.6,1722000,2026-02-14T03:46:44Z
TFC,2006-03-17,18.63,18.74,18.57,18.7,4152349,40.57,40.8,40.44,40.72,1907000,2026-02-14T03:46:44Z
TFC,2006-03-20,18.65,18.73,18.56,18.67,1939647,40.6,40.79,40.42,40.65,890800,2026-02-14T03:46:44Z
TFC,2006-03-21,18.42,18.6,18.41,18.6,3090209,40.1,40.5,40.08,40.5,1419200,2026-02-14T03:46:44Z
TFC,2006-03-22,18.46,18.52,18.31,18.37,2993303,40.19,40.32,39.87,40,1374700,2026-02-14T03:46:44Z
TFC,2006-03-23,18.29,18.45,18.25,18.43,2279988,39.82,40.17,39.74,40.14,1047100,2026-02-14T03:46:44Z
TFC,2006-03-24,18.23,18.3,18.15,18.25,2339213,39.7,39.85,39.53,39.74,1074300,2026-02-14T03:46:44Z
TFC,2006-03-27,18.32,18.34,18.16,18.18,1935078,39.88,39.93,39.55,39.58,888700,2026-02-14T03:46:44Z
TFC,2006-03-28,18.09,18.37,18.05,18.2,2500333,39.39,40,39.3,39.63,1148300,2026-02-14T03:46:44Z
TFC,2006-03-29,18.18,18.22,17.96,18.09,2360550,39.58,39.68,39.1,39.39,1084100,2026-02-14T03:46:44Z
TFC,2006-03-30,18,18.26,17.98,18.17,1919619,39.2,39.75,39.15,39.56,881600,2026-02-14T03:46:44Z
TFC,2006-03-31,18,18.15,17.97,17.97,2708937,39.2,39.53,39.12,39.12,1244100,2026-02-14T03:46:44Z
TFC,2006-04-03,18.14,18.28,17.97,18.05,3516323,39.49,39.8,39.13,39.3,1614900,2026-02-14T03:46:44Z
TFC,2006-04-04,18.27,18.34,18.14,18.15,2675616,39.79,39.94,39.49,39.53,1228800,2026-02-14T03:46:44Z
TFC,2006-04-05,18.32,18.38,18.23,18.32,2396910,39.89,40.03,39.7,39.89,1100800,2026-02-14T03:46:44Z
TFC,2006-04-06,18.2,18.3,18.1,18.22,2266264,39.62,39.85,39.4,39.67,1040800,2026-02-14T03:46:44Z
TFC,2006-04-07,18.19,18.35,18.1,18.26,3287913,39.61,39.95,39.4,39.75,1510000,2026-02-14T03:46:44Z
TFC,2006-04-10,18.46,18.59,18.34,18.37,3754747,40.19,40.47,39.94,40,1724400,2026-02-14T03:46:44Z
TFC,2006-04-11,18.36,18.56,18.34,18.5,2277195,39.61,40.02,39.55,39.91,1055800,2026-02-14T03:46:44Z
TFC,2006-04-12,18.2,18.46,18.14,18.35,2457290,39.25,39.82,39.13,39.58,1139300,2026-02-14T03:46:44Z
TFC,2006-04-13,18.36,18.38,18.12,18.15,2082639,39.59,39.65,39.09,39.14,965600,2026-02-14T03:46:44Z
TFC,2006-04-17,18.21,18.43,18.18,18.27,2726681,39.28,39.75,39.22,39.4,1264200,2026-02-14T03:46:44Z
TFC,2006-04-18,18.74,18.77,18.17,18.18,3544331,40.42,40.49,39.18,39.22,1643300,2026-02-14T03:46:44Z
TFC,2006-04-19,18.59,18.73,18.45,18.68,3001029,40.1,40.4,39.8,40.29,1391400,2026-02-14T03:46:44Z
TFC,2006-04-20,19.33,19.54,18.98,19.12,8596518,41.69,42.14,40.94,41.23,3985700,2026-02-14T03:46:44Z
TFC,2006-04-21,19.44,19.48,19.28,19.46,4634396,41.93,42.02,41.59,41.98,2148700,2026-02-14T03:46:44Z
TFC,2006-04-24,19.42,19.49,19.27,19.33,3660804,41.88,42.03,41.56,41.69,1697300,2026-02-14T03:46:44Z
TFC,2006-04-25,19.34,19.52,19.24,19.34,2710497,41.71,42.09,41.49,41.71,1256700,2026-02-14T03:46:44Z
TFC,2006-04-26,19.46,19.51,19.38,19.39,3031863,41.98,42.07,41.8,41.81,1405700,2026-02-14T03:46:44Z
TFC,2006-04-27,19.68,19.78,19.26,19.35,4644101,42.45,42.67,41.54,41.74,2153200,2026-02-14T03:46:44Z
TFC,2006-04-28,19.91,19.92,19.61,19.68,5372891,42.94,42.97,42.3,42.45,2491100,2026-02-14T03:46:44Z
TFC,2006-05-01,19.77,20.02,19.73,19.94,5654372,42.65,43.18,42.55,43,2621600,2026-02-14T03:46:44Z
TFC,2006-05-02,19.79,19.93,19.68,19.83,3626284,42.69,42.99,42.45,42.77,1681300,2026-02-14T03:46:44Z
TFC,2006-05-03,19.82,19.84,19.64,19.76,3305998,42.75,42.79,42.35,42.62,1532800,2026-02-14T03:46:44Z
TFC,2006-05-04,19.88,19.91,19.81,19.9,2188333,42.88,42.95,42.73,42.91,1014600,2026-02-14T03:46:44Z
TFC,2006-05-05,20.01,20.08,19.87,19.89,3911649,43.15,43.3,42.86,42.89,1813600,2026-02-14T03:46:44Z
TFC,2006-05-08,19.99,20.13,19.97,20.07,2649679,43.12,43.42,43.08,43.28,1228500,2026-02-14T03:46:44Z
TFC,2006-05-09,20.01,20.15,19.9,19.99,2791816,43.15,43.46,42.93,43.12,1294400,2026-02-14T03:46:44Z
TFC,2006-05-10,19.85,20,19.75,19.89,3383006,42.82,43.13,42.59,42.9,1568500,2026-02-14T03:46:44Z
TFC,2006-05-11,19.75,19.89,19.62,19.86,2829129,42.6,42.9,42.31,42.83,1311700,2026-02-14T03:46:44Z
TFC,2006-05-12,19.57,19.83,19.57,19.7,2321411,42.22,42.76,42.2,42.5,1076300,2026-02-14T03:46:44Z
TFC,2006-05-15,19.74,19.77,19.57,19.63,2951636,42.57,42.63,42.21,42.33,1368500,2026-02-14T03:46:44Z
TFC,2006-05-16,19.7,19.78,19.61,19.74,2013621,42.5,42.67,42.3,42.58,933600,2026-02-14T03:46:44Z
TFC,2006-05-17,19.42,19.65,19.33,19.52,3321532,41.88,42.38,41.69,42.1,1540000,2026-02-14T03:46:44Z
TFC,2006-05-18,19.36,19.61,19.33,19.42,2819630,41.76,42.29,41.68,41.88,1307300,2026-02-14T03:46:44Z
TFC,2006-05-19,19.48,19.65,19.37,19.57,3025615,42.02,42.37,41.77,42.2,1402800,2026-02-14T03:46:44Z
TFC,2006-05-22,19.57,19.65,19.37,19.4,2941708,42.2,42.37,41.77,41.85,1363900,2026-02-14T03:46:44Z
TFC,2006-05-23,19.36,19.63,19.36,19.59,2675131,41.75,42.34,41.75,42.26,1240300,2026-02-14T03:46:44Z
TFC,2006-05-24,19.4,19.57,19.24,19.33,2980103,41.85,42.2,41.5,41.68,1381700,2026-02-14T03:46:44Z
TFC,2006-05-25,19.5,19.55,19.28,19.47,3042225,42.05,42.17,41.59,42,1410500,2026-02-14T03:46:44Z
TFC,2006-05-26,19.51,19.62,19.46,19.54,1357082,42.07,42.31,41.97,42.15,629200,2026-02-14T03:46:44Z
TFC,2006-05-30,19.16,19.42,19.16,19.36,1679311,41.32,41.89,41.32,41.75,778600,2026-02-14T03:46:44Z
TFC,2006-05-31,19.27,19.39,19.1,19.22,3563524,41.57,41.81,41.19,41.45,1652200,2026-02-14T03:46:44Z
TFC,2006-06-01,19.61,19.63,19.14,19.33,2717621,42.3,42.34,41.29,41.7,1260000,2026-02-14T03:46:44Z
TFC,2006-06-02,19.62,19.81,19.51,19.73,3135176,42.31,42.73,42.07,42.55,1453600,2026-02-14T03:46:44Z
TFC,2006-06-05,19.36,19.65,19.36,19.52,2796121,41.76,42.37,41.76,42.1,1296400,2026-02-14T03:46:44Z
TFC,2006-06-06,19.48,19.52,19.22,19.47,2914101,42.01,42.09,41.46,42,1351100,2026-02-14T03:46:44Z
TFC,2006-06-07,19.67,19.82,19.43,19.5,3104549,42.42,42.75,41.9,42.05,1439400,2026-02-14T03:46:44Z
TFC,2006-06-08,19.85,19.88,19.45,19.57,4519438,42.81,42.88,41.96,42.21,2095400,2026-02-14T03:46:44Z
TFC,2006-06-09,19.83,19.94,19.73,19.8,3407591,42.76,43,42.56,42.71,1579900,2026-02-14T03:46:44Z
TFC,2006-06-12,19.7,19.91,19.7,19.78,2432047,42.5,42.94,42.5,42.66,1127600,2026-02-14T03:46:44Z
TFC,2006-06-13,19.58,19.88,19.5,19.73,4759707,42.23,42.87,42.05,42.56,2206800,2026-02-14T03:46:44Z
TFC,2006-06-14,19.47,19.65,19.25,19.57,4934202,41.99,42.39,41.51,42.2,2287700,2026-02-14T03:46:44Z
TFC,2006-06-15,19.83,19.84,19.51,19.61,3868071,42.78,42.8,42.08,42.3,1793400,2026-02-14T03:46:44Z
TFC,2006-06-16,19.56,19.84,19.52,19.78,7493289,42.18,42.78,42.1,42.67,3474200,2026-02-14T03:46:44Z
TFC,2006-06-19,19.44,19.7,19.41,19.66,2649036,41.92,42.48,41.86,42.4,1228200,2026-02-14T03:46:44Z
TFC,2006-06-20,19.41,19.53,19.3,19.44,2675347,41.86,42.13,41.63,41.92,1240400,2026-02-14T03:46:44Z
TFC,2006-06-21,19.42,19.61,19.34,19.41,2916909,41.88,42.3,41.72,41.86,1352400,2026-02-14T03:46:44Z
TFC,2006-06-22,19.31,19.45,19.19,19.42,2321193,41.64,41.94,41.38,41.88,1076200,2026-02-14T03:46:44Z
TFC,2006-06-23,19.04,19.24,18.94,19.15,4302682,41.06,41.49,40.85,41.3,1994900,2026-02-14T03:46:44Z
TFC,2006-06-26,19.15,19.15,18.99,19.08,2129450,41.31,41.31,40.95,41.15,987300,2026-02-14T03:46:44Z
TFC,2006-06-27,18.86,19.19,18.86,19.16,2321625,40.68,41.39,40.67,41.32,1076400,2026-02-14T03:46:44Z
TFC,2006-06-28,19.04,19.16,18.93,18.94,2979244,41.06,41.32,40.84,40.86,1381300,2026-02-14T03:46:44Z
