ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
TGT,2006-01-03,32.77,33.24,32.09,33.24,7471208,54.72,55.52,53.59,55.52,4473700,2026-02-14T03:46:44Z
TGT,2006-01-04,32.72,32.79,32.44,32.65,6770795,54.65,54.76,54.18,54.53,4054300,2026-02-14T03:46:44Z
TGT,2006-01-05,32.63,33.19,32.42,32.95,8982912,54.49,55.43,54.14,55.03,5378900,2026-02-14T03:46:44Z
TGT,2006-01-06,32.53,32.89,32.29,32.86,6793504,54.33,54.92,53.92,54.88,4067900,2026-02-14T03:46:44Z
TGT,2006-01-09,32.57,32.73,32.42,32.46,6102951,54.4,54.66,54.15,54.2,3654400,2026-02-14T03:46:44Z
TGT,2006-01-10,32.54,32.66,32.42,32.53,5979883,54.34,54.54,54.15,54.32,3580700,2026-02-14T03:46:44Z
TGT,2006-01-11,32.54,32.54,32.12,32.28,6322072,54.34,54.34,53.64,53.91,3785600,2026-02-14T03:46:44Z
TGT,2006-01-12,32.29,32.5,32.08,32.5,4304172,53.93,54.28,53.58,54.28,2577300,2026-02-14T03:46:44Z
TGT,2006-01-13,32.56,32.75,32.38,32.43,4127978,54.38,54.7,54.08,54.16,2471800,2026-02-14T03:46:44Z
TGT,2006-01-17,32.39,32.56,32.23,32.49,4536306,54.1,54.38,53.83,54.26,2716300,2026-02-14T03:46:44Z
TGT,2006-01-18,32.3,32.48,32.08,32.13,6522306,53.94,54.25,53.57,53.65,3905500,2026-02-14T03:46:44Z
TGT,2006-01-19,32.59,32.77,32.35,32.71,5116143,54.42,54.73,54.02,54.63,3063500,2026-02-14T03:46:44Z
TGT,2006-01-20,32.08,32.74,32.08,32.69,6956166,53.58,54.67,53.58,54.59,4165300,2026-02-14T03:46:44Z
TGT,2006-01-23,31.59,32.19,31.47,32.05,6813880,52.75,53.75,52.56,53.53,4080100,2026-02-14T03:46:44Z
TGT,2006-01-24,32.48,32.72,32.1,32.32,10865530,54.25,54.64,53.6,53.98,6506200,2026-02-14T03:46:44Z
TGT,2006-01-25,32.81,33.08,32.54,32.72,7792021,54.8,55.25,54.35,54.65,4665800,2026-02-14T03:46:44Z
TGT,2006-01-26,32.27,33.01,32.03,32.93,9187661,53.9,55.12,53.5,55,5501500,2026-02-14T03:46:44Z
TGT,2006-01-27,32.44,32.89,32.35,32.78,6453652,54.17,54.93,54.02,54.75,3864400,2026-02-14T03:46:44Z
TGT,2006-01-30,32.56,32.8,32.5,32.56,4558012,54.37,54.78,54.27,54.38,2729300,2026-02-14T03:46:44Z
TGT,2006-01-31,32.78,32.83,32.41,32.66,6642198,54.75,54.83,54.12,54.55,3977300,2026-02-14T03:46:44Z
TGT,2006-02-01,32.78,33.03,32.38,32.69,5990055,54.74,55.17,54.07,54.6,3586800,2026-02-14T03:46:44Z
TGT,2006-02-02,33.07,33.38,32.16,32.87,9462545,55.23,55.74,53.7,54.9,5666100,2026-02-14T03:46:44Z
TGT,2006-02-03,32.91,33.16,32.55,32.76,6404228,54.96,55.37,54.36,54.71,3834800,2026-02-14T03:46:44Z
TGT,2006-02-06,32.93,33.22,32.83,33.05,7155419,55,55.48,54.83,55.2,4284600,2026-02-14T03:46:44Z
TGT,2006-02-07,32.52,33.03,32.44,32.96,5891526,54.31,55.17,54.17,55.04,3527800,2026-02-14T03:46:44Z
TGT,2006-02-08,32.36,32.71,32.17,32.71,5818048,54.05,54.63,53.72,54.63,3483800,2026-02-14T03:46:44Z
TGT,2006-02-09,32.32,32.55,32.19,32.34,6327404,53.98,54.36,53.75,54.01,3788800,2026-02-14T03:46:44Z
TGT,2006-02-10,32.7,32.8,32.16,32.28,6707009,54.61,54.77,53.7,53.9,4016100,2026-02-14T03:46:44Z
TGT,2006-02-13,32.66,32.83,32.48,32.55,3262236,54.54,54.83,54.25,54.36,1953400,2026-02-14T03:46:44Z
TGT,2006-02-14,33.19,33.2,32.34,32.49,5756596,55.43,55.44,54.01,54.26,3447000,2026-02-14T03:46:44Z
TGT,2006-02-15,33.47,33.53,32.8,33.05,6000088,55.8,55.89,54.68,55.1,3599300,2026-02-14T03:46:44Z
TGT,2006-02-16,32.75,33.29,32.48,32.93,9865078,54.59,55.5,54.15,54.9,5917800,2026-02-14T03:46:44Z
TGT,2006-02-17,32.58,32.85,32.44,32.66,8647804,54.31,54.77,54.07,54.45,5187600,2026-02-14T03:46:44Z
TGT,2006-02-21,32.19,32.75,32.1,32.55,7704793,53.66,54.6,53.52,54.26,4621900,2026-02-14T03:46:44Z
TGT,2006-02-22,32.75,32.99,32.26,32.35,6862778,54.6,55,53.78,53.92,4116800,2026-02-14T03:46:44Z
TGT,2006-02-23,32.7,33.09,32.58,32.83,7073992,54.51,55.16,54.31,54.73,4243500,2026-02-14T03:46:44Z
TGT,2006-02-24,32.42,32.7,32.3,32.66,4731825,54.05,54.51,53.85,54.45,2838500,2026-02-14T03:46:44Z
TGT,2006-02-27,33.28,33.49,32.54,32.59,6164296,55.48,55.82,54.25,54.32,3697800,2026-02-14T03:46:44Z
TGT,2006-02-28,32.63,33.2,32.56,33.05,7847492,54.4,55.34,54.27,55.1,4707500,2026-02-14T03:46:44Z
TGT,2006-03-01,32.74,32.93,32.41,32.75,5782385,54.57,54.9,54.03,54.59,3468700,2026-02-14T03:46:44Z
TGT,2006-03-02,32.22,32.66,32.03,32.66,6708582,53.71,54.45,53.4,54.45,4024300,2026-02-14T03:46:44Z
TGT,2006-03-03,32.03,32.41,31.97,32.06,6796420,53.39,54.02,53.3,53.45,4077000,2026-02-14T03:46:44Z
TGT,2006-03-06,31.76,32.18,31.67,32.03,8004355,52.94,53.64,52.8,53.4,4801600,2026-02-14T03:46:44Z
TGT,2006-03-07,31.71,31.88,31.52,31.76,7426735,52.86,53.14,52.55,52.95,4455100,2026-02-14T03:46:44Z
TGT,2006-03-08,32.02,32.26,31.61,31.7,5449973,53.37,53.77,52.7,52.85,3269300,2026-02-14T03:46:44Z
TGT,2006-03-09,31.64,32.12,31.55,32.09,4437758,52.75,53.54,52.59,53.5,2662100,2026-02-14T03:46:44Z
TGT,2006-03-10,31.98,32.26,31.62,31.64,6023928,53.31,53.78,52.71,52.75,3613600,2026-02-14T03:46:44Z
TGT,2006-03-13,32.01,32.14,31.88,32.06,5040888,53.36,53.58,53.15,53.45,3023900,2026-02-14T03:46:44Z
TGT,2006-03-14,32.72,32.76,31.89,31.89,6412019,54.54,54.61,53.16,53.16,3846400,2026-02-14T03:46:44Z
TGT,2006-03-15,32.23,32.81,31.96,32.78,7161010,53.72,54.7,53.27,54.65,4295700,2026-02-14T03:46:44Z
TGT,2006-03-16,32.23,32.49,32.18,32.39,4123036,53.72,54.17,53.64,54,2473300,2026-02-14T03:46:44Z
TGT,2006-03-17,32.26,32.42,32.15,32.36,6042773,53.77,54.04,53.6,53.94,3624900,2026-02-14T03:46:44Z
TGT,2006-03-20,32.11,32.33,31.96,32.18,4621964,53.53,53.9,53.27,53.65,2772600,2026-02-14T03:46:44Z
TGT,2006-03-21,32.01,32.35,31.78,32.12,9781547,53.36,53.93,52.98,53.55,5867700,2026-02-14T03:46:44Z
TGT,2006-03-22,32.13,32.36,31.86,32.01,7579414,53.56,53.94,53.11,53.36,4546700,2026-02-14T03:46:44Z
TGT,2006-03-23,31.99,32.08,31.79,31.99,6946954,53.33,53.48,53,53.32,4167300,2026-02-14T03:46:44Z
TGT,2006-03-24,32.22,32.29,31.81,32.15,6293161,53.71,53.83,53.03,53.6,3775100,2026-02-14T03:46:44Z
TGT,2006-03-27,31.9,32.28,31.85,32.1,4400090,53.17,53.81,53.1,53.51,2639500,2026-02-14T03:46:44Z
TGT,2006-03-28,31.94,32.21,31.84,31.84,5155414,53.25,53.7,53.07,53.07,3092600,2026-02-14T03:46:44Z
TGT,2006-03-29,31.97,32.14,31.86,32,6433514,53.3,53.58,53.11,53.35,3859300,2026-02-14T03:46:44Z
TGT,2006-03-30,31.64,32.06,31.49,31.87,8554283,52.75,53.45,52.5,53.12,5131500,2026-02-14T03:46:44Z
TGT,2006-03-31,31.2,31.73,31.13,31.52,8062538,52.01,52.89,51.9,52.55,4836500,2026-02-14T03:46:44Z
TGT,2006-04-03,30.7,31.2,30.68,31.19,9148740,51.18,52.01,51.15,52,5488100,2026-02-14T03:46:44Z
TGT,2006-04-04,30.93,31.13,30.52,30.82,7590094,51.56,51.9,50.88,51.37,4553100,2026-02-14T03:46:44Z
TGT,2006-04-05,31.3,31.4,31.07,31.13,6566717,52.18,52.35,51.8,51.89,3939200,2026-02-14T03:46:44Z
TGT,2006-04-06,31.57,32.02,31.4,31.88,8966541,52.62,53.38,52.34,53.15,5378800,2026-02-14T03:46:44Z
TGT,2006-04-07,31.17,31.73,31.13,31.61,5672849,51.96,52.89,51.89,52.7,3403000,2026-02-14T03:46:44Z
TGT,2006-04-10,30.97,31.37,30.85,31.37,5935912,51.62,52.29,51.43,52.29,3560800,2026-02-14T03:46:44Z
TGT,2006-04-11,30.71,31.05,30.62,30.92,5123901,51.19,51.76,51.05,51.55,3073700,2026-02-14T03:46:44Z
TGT,2006-04-12,30.83,30.88,30.56,30.65,5866903,51.39,51.47,50.95,51.1,3519400,2026-02-14T03:46:44Z
