ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
TJX,2006-01-03,4.43,4.45,4.32,4.44,15290995,23.15,23.23,22.57,23.2,2929200,2026-02-14T03:46:45Z
TJX,2006-01-04,4.66,4.68,4.43,4.43,42849330,24.32,24.44,23.12,23.15,8208500,2026-02-14T03:46:45Z
TJX,2006-01-05,4.64,4.73,4.6,4.68,30517924,24.2,24.68,24.01,24.45,5846200,2026-02-14T03:46:45Z
TJX,2006-01-06,4.7,4.7,4.64,4.68,25399071,24.52,24.55,24.22,24.45,4865600,2026-02-14T03:46:45Z
TJX,2006-01-09,4.78,4.79,4.67,4.71,18868330,24.93,25,24.4,24.61,3614500,2026-02-14T03:46:45Z
TJX,2006-01-10,4.79,4.79,4.76,4.78,17272555,25,25,24.85,24.93,3308800,2026-02-14T03:46:45Z
TJX,2006-01-11,4.82,4.88,4.78,4.79,17640513,25.18,25.48,24.96,25,3379300,2026-02-14T03:46:45Z
TJX,2006-01-12,4.78,4.84,4.75,4.81,14162612,24.94,25.27,24.81,25.1,2713100,2026-02-14T03:46:45Z
TJX,2006-01-13,4.77,4.81,4.73,4.79,10731012,24.9,25.09,24.71,24.98,2055700,2026-02-14T03:46:45Z
TJX,2006-01-17,4.72,4.75,4.69,4.74,9055278,24.62,24.81,24.49,24.72,1734700,2026-02-14T03:46:45Z
TJX,2006-01-18,4.71,4.79,4.67,4.69,11079191,24.58,24.98,24.4,24.48,2122400,2026-02-14T03:46:45Z
TJX,2006-01-19,4.71,4.74,4.69,4.72,8078223,24.61,24.73,24.46,24.65,1547500,2026-02-14T03:46:45Z
TJX,2006-01-20,4.63,4.75,4.62,4.74,11607401,24.18,24.8,24.12,24.75,2223600,2026-02-14T03:46:45Z
TJX,2006-01-23,4.59,4.67,4.5,4.5,8833028,23.96,24.4,23.5,23.5,1692100,2026-02-14T03:46:45Z
TJX,2006-01-24,4.64,4.69,4.6,4.63,15411543,24.23,24.47,24,24.15,2952300,2026-02-14T03:46:45Z
TJX,2006-01-25,4.71,4.72,4.64,4.67,9375864,24.58,24.65,24.24,24.35,1796100,2026-02-14T03:46:45Z
TJX,2006-01-26,4.71,4.78,4.69,4.75,11664445,24.6,24.95,24.46,24.78,2234500,2026-02-14T03:46:45Z
TJX,2006-01-27,4.77,4.79,4.7,4.7,23070792,24.89,24.98,24.54,24.55,4419600,2026-02-14T03:46:45Z
TJX,2006-01-30,4.76,4.81,4.76,4.78,11716104,24.85,25.09,24.84,24.95,2244400,2026-02-14T03:46:45Z
TJX,2006-01-31,4.89,4.91,4.8,4.83,19405765,25.53,25.63,25.08,25.23,3717500,2026-02-14T03:46:45Z
TJX,2006-02-01,4.84,4.88,4.79,4.88,13691899,25.29,25.49,25,25.48,2622900,2026-02-14T03:46:45Z
TJX,2006-02-02,4.93,4.94,4.84,4.87,16650580,25.72,25.79,25.25,25.43,3189700,2026-02-14T03:46:45Z
TJX,2006-02-03,4.74,4.9,4.73,4.88,16977013,24.73,25.59,24.69,25.5,3252200,2026-02-14T03:46:45Z
TJX,2006-02-06,4.82,4.83,4.74,4.74,8868485,25.16,25.23,24.73,24.73,1698900,2026-02-14T03:46:45Z
TJX,2006-02-07,4.76,4.88,4.73,4.81,10743911,24.79,25.4,24.63,25.05,2063100,2026-02-14T03:46:45Z
TJX,2006-02-08,4.77,4.8,4.71,4.8,21819311,24.82,24.99,24.55,24.99,4189800,2026-02-14T03:46:45Z
TJX,2006-02-09,4.71,4.77,4.7,4.75,13751430,24.51,24.86,24.46,24.73,2640600,2026-02-14T03:46:45Z
TJX,2006-02-10,4.69,4.74,4.66,4.7,15098005,24.44,24.67,24.28,24.45,2899200,2026-02-14T03:46:45Z
TJX,2006-02-13,4.7,4.71,4.67,4.68,13583797,24.47,24.53,24.34,24.36,2608400,2026-02-14T03:46:45Z
TJX,2006-02-14,4.73,4.73,4.68,4.7,13428040,24.61,24.64,24.38,24.47,2578500,2026-02-14T03:46:45Z
TJX,2006-02-15,4.78,4.78,4.71,4.73,19528277,24.9,24.91,24.51,24.61,3749900,2026-02-14T03:46:45Z
TJX,2006-02-16,4.8,4.81,4.78,4.81,17787879,25,25.04,24.9,25.03,3415700,2026-02-14T03:46:45Z
TJX,2006-02-17,4.7,4.8,4.69,4.8,9503993,24.45,25.01,24.41,25.01,1825000,2026-02-14T03:46:45Z
TJX,2006-02-21,4.71,4.78,4.7,4.71,16672424,24.51,24.89,24.47,24.5,3201500,2026-02-14T03:46:45Z
TJX,2006-02-22,4.7,4.75,4.6,4.61,20090141,24.45,24.76,23.95,24,3857800,2026-02-14T03:46:45Z
TJX,2006-02-23,4.67,4.75,4.67,4.7,11310672,24.33,24.75,24.3,24.46,2171900,2026-02-14T03:46:45Z
TJX,2006-02-24,4.64,4.67,4.57,4.67,13816901,24.14,24.34,23.81,24.34,2653200,2026-02-14T03:46:45Z
TJX,2006-02-27,4.74,4.76,4.65,4.65,9705543,24.7,24.79,24.2,24.2,1863700,2026-02-14T03:46:45Z
TJX,2006-02-28,4.7,4.77,4.68,4.71,10482471,24.49,24.82,24.38,24.55,2012900,2026-02-14T03:46:45Z
TJX,2006-03-01,4.71,4.74,4.67,4.71,8229194,24.51,24.66,24.3,24.5,1580200,2026-02-14T03:46:45Z
TJX,2006-03-02,4.66,4.71,4.63,4.67,12098546,24.27,24.54,24.12,24.3,2323200,2026-02-14T03:46:45Z
TJX,2006-03-03,4.65,4.72,4.62,4.64,10313816,24.21,24.56,24.06,24.17,1980500,2026-02-14T03:46:45Z
TJX,2006-03-06,4.62,4.66,4.58,4.65,5225339,24.04,24.24,23.86,24.2,1003400,2026-02-14T03:46:45Z
TJX,2006-03-07,4.65,4.65,4.59,4.62,12503235,24.23,24.23,23.91,24.05,2400900,2026-02-14T03:46:45Z
TJX,2006-03-08,4.76,4.77,4.63,4.63,22886467,24.78,24.86,24.1,24.1,4394700,2026-02-14T03:46:45Z
TJX,2006-03-09,4.77,4.79,4.72,4.76,16570902,24.86,24.95,24.58,24.78,3182000,2026-02-14T03:46:45Z
