ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
TMO,2006-01-03,28.68,28.79,28.36,28.79,984881,30.28,30.4,29.95,30.4,932700,2025-12-19T03:48:22Z
TMO,2006-01-04,28.89,29.03,28.61,28.63,914974,30.51,30.65,30.21,30.23,866500,2025-12-19T03:48:22Z
TMO,2006-01-05,28.82,28.9,28.57,28.65,422694,30.43,30.52,30.17,30.25,400300,2025-12-19T03:48:22Z
TMO,2006-01-06,28.83,29.15,28.67,29.04,953517,30.44,30.78,30.27,30.66,903000,2025-12-19T03:48:22Z
TMO,2006-01-09,29.47,29.56,28.74,28.74,682985,31.12,31.21,30.35,30.35,646800,2025-12-19T03:48:22Z
TMO,2006-01-10,29.51,29.59,28.97,29.36,900721,31.16,31.25,30.59,31,853000,2025-12-19T03:48:22Z
TMO,2006-01-11,29.82,29.95,29.59,29.65,671687,31.49,31.62,31.25,31.31,636100,2025-12-19T03:48:22Z
TMO,2006-01-12,29.77,29.78,29.45,29.73,827965,31.44,31.45,31.1,31.39,784100,2025-12-19T03:48:22Z
TMO,2006-01-13,30.35,30.37,29.74,29.77,1369664,32.05,32.07,31.4,31.44,1297100,2025-12-19T03:48:22Z
TMO,2006-01-17,30.28,30.38,30.06,30.31,973053,31.97,32.08,31.74,32,921500,2025-12-19T03:48:22Z
TMO,2006-01-18,30.35,30.4,29.93,30.18,859538,32.05,32.1,31.6,31.87,814000,2025-12-19T03:48:22Z
TMO,2006-01-19,30.78,30.84,30.32,30.38,823743,32.5,32.56,32.02,32.08,780100,2025-12-19T03:48:22Z
TMO,2006-01-20,30.31,30.79,30.22,30.78,639796,32.01,32.51,31.91,32.5,605900,2025-12-19T03:48:22Z
TMO,2006-01-23,30.56,30.67,30.4,30.4,725539,32.27,32.38,32.1,32.1,687100,2025-12-19T03:48:22Z
TMO,2006-01-24,31.33,31.54,30.74,30.77,1339043,33.08,33.3,32.46,32.49,1268100,2025-12-19T03:48:22Z
TMO,2006-01-25,31.41,31.59,31.33,31.54,947288,33.17,33.36,33.08,33.3,897100,2025-12-19T03:48:22Z
TMO,2006-01-26,31.37,31.6,31.23,31.58,1164708,33.13,33.37,32.98,33.35,1103000,2025-12-19T03:48:22Z
