ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
TSM,2006-01-03,5.56,5.67,5.54,5.67,14230564,10.1,10.3,10.07,10.3,7834700,2025-12-13T03:46:26Z
TSM,2006-01-04,5.6,5.63,5.57,5.59,7299426,10.18,10.22,10.12,10.15,4018700,2025-12-13T03:46:26Z
TSM,2006-01-05,5.7,5.75,5.67,5.71,9881378,10.35,10.44,10.29,10.37,5440200,2025-12-13T03:46:26Z
TSM,2006-01-06,5.95,5.98,5.83,5.95,23719349,10.8,10.86,10.59,10.8,13058600,2025-12-13T03:46:26Z
TSM,2006-01-09,6.02,6.08,5.99,6.04,20486825,10.93,11.04,10.88,10.98,11279000,2025-12-13T03:46:26Z
TSM,2006-01-10,5.84,5.93,5.81,5.91,19764537,10.61,10.77,10.55,10.73,10881300,2025-12-13T03:46:26Z
TSM,2006-01-11,5.93,5.97,5.79,5.82,21223062,10.78,10.84,10.52,10.57,11684300,2025-12-13T03:46:26Z
TSM,2006-01-12,5.75,5.86,5.7,5.84,16448398,10.44,10.64,10.36,10.6,9055600,2025-12-13T03:46:26Z
TSM,2006-01-13,5.72,5.74,5.63,5.73,13801324,10.39,10.42,10.22,10.4,7598300,2025-12-13T03:46:26Z
TSM,2006-01-17,5.57,5.68,5.55,5.65,18273232,10.11,10.31,10.09,10.27,10060400,2025-12-13T03:46:26Z
TSM,2006-01-18,5.48,5.51,5.39,5.41,21498210,9.95,10.01,9.8,9.83,11835900,2025-12-13T03:46:26Z
TSM,2006-01-19,5.62,5.66,5.56,5.56,19464588,10.21,10.28,10.1,10.1,10716200,2025-12-13T03:46:26Z
TSM,2006-01-20,5.43,5.63,5.43,5.62,17083369,9.87,10.23,9.86,10.2,9405200,2025-12-13T03:46:26Z
TSM,2006-01-23,5.41,5.49,5.38,5.46,16720190,9.82,9.97,9.78,9.92,9205300,2025-12-13T03:46:26Z
TSM,2006-01-24,5.53,5.53,5.47,5.47,19440090,10.04,10.05,9.93,9.94,10702700,2025-12-13T03:46:26Z
TSM,2006-01-25,5.41,5.6,5.41,5.58,23614569,9.82,10.17,9.82,10.14,13001000,2025-12-13T03:46:26Z
TSM,2006-01-26,5.77,5.78,5.48,5.56,41282638,10.48,10.5,9.95,10.1,22728300,2025-12-13T03:46:26Z
TSM,2006-01-27,5.96,6.04,5.86,5.89,25555143,10.82,10.98,10.64,10.7,14069500,2025-12-13T03:46:26Z
TSM,2006-01-30,5.97,5.98,5.87,5.96,13617750,10.84,10.87,10.66,10.82,7497300,2025-12-13T03:46:26Z
TSM,2006-01-31,5.95,6.02,5.8,6.02,19483375,10.8,10.94,10.54,10.94,10726500,2025-12-13T03:46:26Z
TSM,2006-02-01,5.89,5.95,5.82,5.92,15240160,10.69,10.8,10.57,10.75,8390500,2025-12-13T03:46:26Z
TSM,2006-02-02,5.73,5.88,5.67,5.86,23593580,10.4,10.69,10.3,10.64,12989400,2025-12-13T03:46:26Z
TSM,2006-02-03,5.66,5.71,5.55,5.55,14873550,10.28,10.37,10.08,10.08,8188700,2025-12-13T03:46:26Z
TSM,2006-02-06,5.8,5.8,5.69,5.73,13758766,10.53,10.54,10.33,10.4,7574900,2025-12-13T03:46:26Z
TSM,2006-02-07,5.73,5.8,5.71,5.8,16580582,10.41,10.53,10.37,10.53,9128400,2025-12-13T03:46:26Z
TSM,2006-02-08,5.75,5.78,5.65,5.7,12524633,10.45,10.49,10.26,10.35,6895500,2025-12-13T03:46:26Z
TSM,2006-02-09,5.71,5.81,5.69,5.75,19608040,10.37,10.55,10.33,10.45,10795200,2025-12-13T03:46:26Z
TSM,2006-02-10,5.64,5.71,5.54,5.71,25775668,10.25,10.37,10.06,10.37,14190700,2025-12-13T03:46:26Z
TSM,2006-02-13,5.47,5.62,5.46,5.62,15219219,9.93,10.2,9.92,10.2,8379000,2025-12-13T03:46:26Z
TSM,2006-02-14,5.54,5.57,5.46,5.52,27539535,10.06,10.12,9.91,10.03,15161800,2025-12-13T03:46:26Z
TSM,2006-02-15,5.51,5.84,5.47,5.84,15184466,10.01,10.6,9.93,10.6,8359800,2025-12-13T03:46:26Z
TSM,2006-02-16,5.59,5.62,5.53,5.56,12160904,10.16,10.2,10.05,10.1,6695200,2025-12-13T03:46:26Z
TSM,2006-02-17,5.49,5.77,5.47,5.66,8815892,9.98,10.48,9.93,10.28,4853600,2025-12-13T03:46:26Z
TSM,2006-02-21,5.56,5.59,5.49,5.58,20949405,10.09,10.16,9.97,10.13,11533800,2025-12-13T03:46:26Z
TSM,2006-02-22,5.45,5.53,5.37,5.53,26118280,9.9,10.05,9.76,10.05,14379300,2025-12-13T03:46:26Z
TSM,2006-02-23,5.44,5.48,5.38,5.39,19855017,9.89,9.95,9.77,9.8,10931100,2025-12-13T03:46:26Z
TSM,2006-02-24,5.44,5.47,5.41,5.45,12332121,9.89,9.93,9.82,9.89,6789400,2025-12-13T03:46:26Z
TSM,2006-02-27,5.52,5.54,5.45,5.48,10877145,10.02,10.07,9.9,9.96,5988400,2025-12-13T03:46:26Z
TSM,2006-02-28,5.36,5.53,5.34,5.52,17954971,9.73,10.04,9.7,10.03,9885200,2025-12-13T03:46:26Z
TSM,2006-03-01,5.53,5.54,5.39,5.39,16493225,10.05,10.07,9.79,9.79,9080300,2025-12-13T03:46:26Z
TSM,2006-03-02,5.48,5.55,5.46,5.53,21045211,9.95,10.09,9.92,10.05,11586500,2025-12-13T03:46:26Z
TSM,2006-03-03,5.4,5.5,5.39,5.47,16457693,9.8,9.99,9.8,9.94,9060800,2025-12-13T03:46:26Z
TSM,2006-03-06,5.33,5.45,5.29,5.38,13811901,9.69,9.9,9.61,9.78,7604100,2025-12-13T03:46:26Z
TSM,2006-03-07,5.2,5.33,5.12,5.3,22497671,9.45,9.69,9.3,9.63,12386100,2025-12-13T03:46:26Z
TSM,2006-03-08,5.17,5.22,5.13,5.17,19233725,9.39,9.48,9.31,9.4,10589200,2025-12-13T03:46:26Z
TSM,2006-03-09,5.18,5.35,5.16,5.22,19685835,9.4,9.71,9.37,9.49,10838100,2025-12-13T03:46:26Z
TSM,2006-03-10,5.31,5.33,5.25,5.29,17351018,9.64,9.68,9.54,9.6,9552600,2025-12-13T03:46:26Z
TSM,2006-03-13,5.29,5.43,5.27,5.34,14925033,9.61,9.86,9.58,9.7,8217000,2025-12-13T03:46:26Z
TSM,2006-03-14,5.38,5.39,5.24,5.25,11393289,9.78,9.79,9.51,9.54,6272600,2025-12-13T03:46:26Z
TSM,2006-03-15,5.48,5.48,5.38,5.43,14903929,9.95,9.96,9.77,9.87,8205400,2025-12-13T03:46:26Z
TSM,2006-03-16,5.29,5.43,5.28,5.43,17607054,9.6,9.87,9.59,9.87,9693600,2025-12-13T03:46:26Z
TSM,2006-03-17,5.27,5.41,5.24,5.27,15905455,9.58,9.83,9.52,9.58,8756800,2025-12-13T03:46:26Z
TSM,2006-03-20,5.22,5.33,5.2,5.33,16251245,9.48,9.68,9.45,9.68,8947100,2025-12-13T03:46:26Z
TSM,2006-03-21,5.22,5.31,5.22,5.24,10741843,9.49,9.65,9.48,9.51,5913900,2025-12-13T03:46:26Z
TSM,2006-03-22,5.23,5.27,5.17,5.17,12968185,9.5,9.57,9.39,9.39,7139600,2025-12-13T03:46:26Z
TSM,2006-03-23,5.23,5.26,5.2,5.23,9091860,9.5,9.56,9.45,9.5,5005500,2025-12-13T03:46:26Z
TSM,2006-03-24,5.3,5.32,5.24,5.24,7624552,9.63,9.67,9.51,9.52,4197700,2025-12-13T03:46:26Z
TSM,2006-03-27,5.3,5.37,5.29,5.34,9914443,9.63,9.75,9.6,9.7,5458400,2025-12-13T03:46:26Z
TSM,2006-03-28,5.26,5.36,5.22,5.31,14344269,9.56,9.73,9.49,9.65,7897300,2025-12-13T03:46:26Z
TSM,2006-03-29,5.43,5.47,5.31,5.31,15125499,9.87,9.93,9.65,9.65,8327300,2025-12-13T03:46:26Z
TSM,2006-03-30,5.53,5.56,5.46,5.48,15025231,10.05,10.1,9.91,9.95,8272100,2025-12-13T03:46:26Z
TSM,2006-03-31,5.54,5.65,5.53,5.57,11692196,10.06,10.27,10.04,10.12,6437100,2025-12-13T03:46:26Z
TSM,2006-04-03,5.68,5.72,5.6,5.61,14907392,10.32,10.39,10.17,10.18,8207300,2025-12-13T03:46:26Z
TSM,2006-04-04,5.7,5.7,5.63,5.65,12140582,10.36,10.36,10.22,10.26,6684000,2025-12-13T03:46:26Z
TSM,2006-04-05,5.77,5.78,5.68,5.7,10339231,10.48,10.5,10.32,10.36,5692300,2025-12-13T03:46:26Z
TSM,2006-04-06,5.81,5.83,5.75,5.8,13445832,10.55,10.58,10.44,10.54,7402600,2025-12-13T03:46:26Z
TSM,2006-04-07,5.74,5.89,5.71,5.84,14278359,10.43,10.7,10.38,10.6,7860900,2025-12-13T03:46:26Z
TSM,2006-04-10,5.76,5.81,5.72,5.78,14246015,10.47,10.55,10.39,10.5,7843200,2025-12-13T03:46:26Z
TSM,2006-04-11,5.62,5.78,5.61,5.74,15425526,10.21,10.5,10.18,10.43,8492500,2025-12-13T03:46:26Z
TSM,2006-04-12,5.72,5.78,5.68,5.7,10657188,10.39,10.5,10.32,10.35,5867300,2025-12-13T03:46:26Z
TSM,2006-04-13,5.81,5.88,5.75,5.75,9735360,10.55,10.69,10.44,10.45,5359800,2025-12-13T03:46:26Z
TSM,2006-04-17,5.89,5.97,5.83,5.87,15163888,10.7,10.84,10.59,10.67,8348500,2025-12-13T03:46:26Z
TSM,2006-04-18,6.01,6.01,5.88,5.92,11536827,10.91,10.92,10.69,10.75,6351600,2025-12-13T03:46:26Z
TSM,2006-04-19,5.97,6.06,5.96,6.01,12698324,10.85,11,10.83,10.91,6991100,2025-12-13T03:46:26Z
TSM,2006-04-20,5.99,6.06,5.99,6.02,14610805,10.88,11,10.88,10.94,8044000,2025-12-13T03:46:26Z
TSM,2006-04-21,5.95,6.06,5.91,6.04,16841817,10.8,11,10.74,10.97,9272200,2025-12-13T03:46:26Z
TSM,2006-04-24,5.88,5.92,5.8,5.92,19795572,10.68,10.76,10.53,10.75,10898500,2025-12-13T03:46:26Z
TSM,2006-04-25,5.76,5.9,5.74,5.87,22346562,10.46,10.71,10.43,10.66,12303000,2025-12-13T03:46:26Z
TSM,2006-04-26,5.84,5.99,5.82,5.96,28946865,10.61,10.88,10.57,10.83,15936600,2025-12-13T03:46:26Z
TSM,2006-04-27,5.88,5.92,5.73,5.78,31302015,10.68,10.76,10.41,10.5,17233400,2025-12-13T03:46:26Z
TSM,2006-04-28,5.77,5.91,5.75,5.86,18124305,10.48,10.73,10.44,10.65,9978400,2025-12-13T03:46:26Z
TSM,2006-05-01,5.77,5.83,5.76,5.81,12991290,10.48,10.59,10.46,10.55,7152400,2025-12-13T03:46:26Z
TSM,2006-05-02,5.79,5.83,5.76,5.76,9481223,10.52,10.59,10.46,10.46,5219900,2025-12-13T03:46:26Z
TSM,2006-05-03,5.91,5.92,5.79,5.81,13820000,10.73,10.75,10.52,10.56,7608600,2025-12-13T03:46:26Z
TSM,2006-05-04,6.03,6.07,5.92,5.93,18297225,10.95,11.03,10.76,10.78,10073500,2025-12-13T03:46:26Z
TSM,2006-05-05,6.2,6.22,6.03,6.06,24118035,11.26,11.29,10.96,11.01,13278200,2025-12-13T03:46:26Z
TSM,2006-05-08,6.14,6.26,6.14,6.22,16700311,11.16,11.37,11.15,11.29,9194300,2025-12-13T03:46:26Z
TSM,2006-05-09,5.9,6.06,5.88,6.02,24568688,10.72,11,10.69,10.93,13526300,2025-12-13T03:46:26Z
TSM,2006-05-10,5.76,5.88,5.76,5.88,16514821,10.47,10.69,10.46,10.69,9092300,2025-12-13T03:46:26Z
TSM,2006-05-11,5.71,5.87,5.67,5.82,22317514,10.37,10.66,10.29,10.57,12286900,2025-12-13T03:46:26Z
TSM,2006-05-12,5.59,5.71,5.53,5.65,25465933,10.16,10.38,10.05,10.26,14020300,2025-12-13T03:46:26Z
TSM,2006-05-15,5.53,5.57,5.47,5.53,25054861,10.04,10.12,9.93,10.05,13793900,2025-12-13T03:46:26Z
TSM,2006-05-16,5.49,5.58,5.48,5.53,19067437,9.98,10.14,9.95,10.04,10497600,2025-12-13T03:46:26Z
TSM,2006-05-17,5.44,5.59,5.39,5.55,18237512,9.88,10.15,9.8,10.09,10040600,2025-12-13T03:46:26Z
TSM,2006-05-18,5.39,5.57,5.39,5.48,15013125,9.79,10.12,9.79,9.95,8265500,2025-12-13T03:46:26Z
TSM,2006-05-19,5.42,5.5,5.36,5.41,16279591,9.85,9.98,9.74,9.82,8962700,2025-12-13T03:46:26Z
TSM,2006-05-22,5.21,5.43,5.09,5.43,22819556,9.46,9.86,9.25,9.86,12563300,2025-12-13T03:46:26Z
TSM,2006-05-23,5.24,5.39,5.24,5.29,15677521,9.52,9.8,9.52,9.6,8631200,2025-12-13T03:46:26Z
TSM,2006-05-24,5.21,5.29,5.12,5.26,20407422,9.46,9.6,9.3,9.55,11235300,2025-12-13T03:46:26Z
TSM,2006-05-25,5.22,5.28,5.15,5.2,14673909,9.48,9.59,9.36,9.45,8078700,2025-12-13T03:46:26Z
TSM,2006-05-26,5.15,5.22,5.12,5.2,13681089,9.36,9.48,9.3,9.45,7532200,2025-12-13T03:46:26Z
TSM,2006-05-30,5.11,5.2,5.11,5.15,15856354,9.29,9.44,9.28,9.36,8729700,2025-12-13T03:46:26Z
TSM,2006-05-31,5.21,5.22,5.12,5.17,15128714,9.47,9.48,9.3,9.39,8329100,2025-12-13T03:46:26Z
TSM,2006-06-01,5.33,5.35,5.22,5.23,11863462,9.68,9.72,9.49,9.5,6531400,2025-12-13T03:46:26Z
TSM,2006-06-02,5.39,5.43,5.35,5.39,13417088,9.79,9.86,9.71,9.8,7386800,2025-12-13T03:46:26Z
TSM,2006-06-05,5.11,5.29,5.09,5.29,14422498,9.28,9.6,9.25,9.6,7940300,2025-12-13T03:46:26Z
TSM,2006-06-06,5.13,5.17,5.04,5.16,16977637,9.31,9.4,9.16,9.38,9347000,2025-12-13T03:46:26Z
TSM,2006-06-07,5.03,5.16,5.03,5.12,13081171,9.14,9.38,9.13,9.29,7201800,2025-12-13T03:46:26Z
TSM,2006-06-08,4.96,4.98,4.76,4.91,30713556,9.01,9.04,8.65,8.91,16909500,2025-12-13T03:46:26Z
TSM,2006-06-09,4.83,5.09,4.83,5.06,23689361,8.78,9.25,8.78,9.19,13042100,2025-12-13T03:46:26Z
TSM,2006-06-12,4.75,4.89,4.74,4.84,18742692,8.62,8.89,8.61,8.8,10318700,2025-12-13T03:46:26Z
TSM,2006-06-13,4.66,4.76,4.65,4.74,14129381,8.47,8.65,8.45,8.6,7779000,2025-12-13T03:46:26Z
TSM,2006-06-14,4.9,4.93,4.82,4.92,16681664,8.9,8.96,8.76,8.93,9184100,2025-12-13T03:46:26Z
TSM,2006-06-15,5.02,5.05,4.86,4.9,28693035,9.12,9.17,8.83,8.9,15796900,2025-12-13T03:46:26Z
TSM,2006-06-16,5,5.07,4.92,5.06,11722821,9.09,9.2,8.93,9.19,6454000,2025-12-13T03:46:26Z
TSM,2006-06-19,4.97,5.06,4.96,5.02,11804284,9.02,9.19,9.01,9.11,6498900,2025-12-13T03:46:26Z
TSM,2006-06-20,4.87,4.89,4.78,4.87,11978008,8.47,8.51,8.31,8.47,6882900,2025-12-13T03:46:26Z
TSM,2006-06-21,4.98,5.06,4.82,4.87,14130124,8.66,8.8,8.39,8.47,8119600,2025-12-13T03:46:26Z
TSM,2006-06-22,4.98,5.05,4.93,5.03,10321826,8.67,8.79,8.58,8.76,5931300,2025-12-13T03:46:26Z
TSM,2006-06-23,5,5.03,4.83,4.96,11492327,8.71,8.75,8.41,8.64,6603800,2025-12-13T03:46:26Z
TSM,2006-06-26,5.01,5.04,4.95,4.99,8538319,8.72,8.78,8.62,8.68,4906400,2025-12-13T03:46:26Z
TSM,2006-06-27,4.94,5.03,4.92,5.01,11138582,8.59,8.75,8.57,8.72,6400600,2025-12-13T03:46:26Z
TSM,2006-06-28,4.91,5,4.84,5,10793698,8.55,8.7,8.42,8.7,6202400,2025-12-13T03:46:26Z
TSM,2006-06-29,5.2,5.24,4.98,4.98,24318612,9.05,9.11,8.66,8.67,13974200,2025-12-13T03:46:26Z
TSM,2006-06-30,5.28,5.33,5.15,5.23,17502055,9.18,9.27,8.96,9.1,10057200,2025-12-13T03:46:26Z
TSM,2006-07-03,5.32,5.34,5.28,5.3,5231514,9.26,9.3,9.18,9.22,3006200,2025-12-13T03:46:26Z
TSM,2006-07-05,5.15,5.24,5.15,5.22,14937393,8.96,9.11,8.96,9.08,8583500,2025-12-13T03:46:26Z
TSM,2006-07-06,5.16,5.24,5.15,5.15,15100780,8.98,9.12,8.96,8.96,8677400,2025-12-13T03:46:26Z
TSM,2006-07-07,5.03,5.17,5.03,5.12,14225211,8.76,9,8.75,8.91,8174300,2025-12-13T03:46:26Z
TSM,2006-07-10,5.1,5.18,5.08,5.14,11537543,8.88,9.01,8.85,8.95,6629800,2025-12-13T03:46:26Z
TSM,2006-07-11,5.15,5.15,5.03,5.1,9787312,8.96,8.96,8.75,8.87,5624100,2025-12-13T03:46:26Z
TSM,2006-07-12,5.1,5.15,5.07,5.15,13569515,8.87,8.96,8.82,8.96,7797500,2025-12-13T03:46:26Z
TSM,2006-07-13,4.92,5.05,4.88,5.02,13531779,8.57,8.79,8.5,8.74,7775800,2025-12-13T03:46:26Z
TSM,2006-07-14,4.88,4.91,4.81,4.88,14160983,8.5,8.54,8.37,8.5,8137400,2025-12-13T03:46:26Z
TSM,2006-07-17,4.74,4.81,4.68,4.77,13045999,8.24,8.37,8.15,8.3,7496700,2025-12-13T03:46:26Z
TSM,2006-07-18,4.78,4.79,4.66,4.74,14216690,8.32,8.34,8.11,8.25,8169300,2025-12-13T03:46:26Z
TSM,2006-07-19,4.92,4.95,4.74,4.77,22636381,8.57,8.61,8.24,8.3,13007600,2025-12-13T03:46:26Z
TSM,2006-07-20,4.86,4.99,4.84,4.97,16841515,8.46,8.68,8.43,8.65,9677700,2025-12-13T03:46:26Z
TSM,2006-07-21,4.6,4.75,4.58,4.74,35780994,8,8.26,7.97,8.25,20561100,2025-12-13T03:46:26Z
TSM,2006-07-24,4.83,4.84,4.63,4.63,20937784,8.4,8.42,8.05,8.06,12031500,2025-12-13T03:46:26Z
TSM,2006-07-25,4.83,4.86,4.74,4.83,10465498,8.4,8.45,8.24,8.4,6013800,2025-12-13T03:46:26Z
TSM,2006-07-26,4.86,4.88,4.75,4.83,12480613,8.45,8.49,8.26,8.4,7171700,2025-12-13T03:46:26Z
TSM,2006-07-27,4.81,5.04,4.81,4.97,20122490,8.37,8.77,8.37,8.65,11563100,2025-12-13T03:46:26Z
TSM,2006-07-28,4.99,5,4.8,4.81,23143012,8.68,8.71,8.35,8.37,13298700,2025-12-13T03:46:26Z
TSM,2006-07-31,4.98,5.02,4.9,4.99,12557325,8.67,8.73,8.52,8.68,7215900,2025-12-13T03:46:26Z
TSM,2006-08-01,4.95,5,4.93,4.97,17345470,8.61,8.7,8.58,8.65,9967300,2025-12-13T03:46:26Z
TSM,2006-08-02,4.96,5.02,4.96,4.99,11023449,8.64,8.73,8.63,8.68,6334400,2025-12-13T03:46:26Z
TSM,2006-08-03,4.97,5.02,4.94,4.96,12128549,8.65,8.74,8.6,8.64,6969500,2025-12-13T03:46:26Z
TSM,2006-08-04,4.91,5.02,4.9,5,9573613,8.55,8.74,8.52,8.7,5501300,2025-12-13T03:46:26Z
TSM,2006-08-07,4.84,4.92,4.84,4.92,11884305,8.42,8.57,8.42,8.57,6829100,2025-12-13T03:46:26Z
TSM,2006-08-08,4.89,4.94,4.84,4.92,19159639,8.51,8.59,8.43,8.57,11009700,2025-12-13T03:46:26Z
TSM,2006-08-09,4.86,4.99,4.86,4.95,18605453,8.45,8.69,8.45,8.62,10691200,2025-12-13T03:46:26Z
