ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
TXN,2006-01-03,20.64,20.76,19.87,19.97,19845304,33.24,33.44,32,32.16,12321700,2026-02-03T03:46:19Z
TXN,2006-01-04,20.82,21.04,20.72,20.72,18756347,33.54,33.88,33.37,33.37,11645600,2026-02-03T03:46:19Z
TXN,2006-01-05,21.2,21.4,20.91,20.93,20144227,34.14,34.46,33.67,33.71,12507300,2026-02-03T03:46:19Z
TXN,2006-01-06,21.39,21.52,21.02,21.42,19156909,34.45,34.66,33.85,34.5,11894300,2026-02-03T03:46:19Z
TXN,2006-01-09,21.22,21.7,21.06,21.42,22109999,34.18,34.95,33.92,34.5,13727800,2026-02-03T03:46:19Z
TXN,2006-01-10,21.01,21.08,20.8,21.07,18357783,33.84,33.95,33.5,33.93,11398100,2026-02-03T03:46:19Z
TXN,2006-01-11,20.99,21.1,20.76,21,18757501,33.8,33.98,33.43,33.82,11646300,2026-02-03T03:46:19Z
TXN,2006-01-12,20.72,21.45,20.68,20.99,19555569,33.37,34.54,33.3,33.8,12141800,2026-02-03T03:46:19Z
TXN,2006-01-13,20.51,20.68,20.25,20.67,20078208,33.03,33.3,32.61,33.29,12466300,2026-02-03T03:46:19Z
TXN,2006-01-17,20.02,20.28,19.95,20.27,21317080,32.24,32.67,32.13,32.65,13235500,2026-02-03T03:46:19Z
TXN,2006-01-18,19.93,20.04,19.56,19.62,24360919,32.1,32.27,31.51,31.6,15125400,2026-02-03T03:46:19Z
TXN,2006-01-19,20.18,20.36,20.05,20.24,16944973,32.5,32.8,32.29,32.6,10520900,2026-02-03T03:46:19Z
TXN,2006-01-20,19.66,20.03,19.44,20.02,29297092,31.66,32.26,31.31,32.25,18190200,2026-02-03T03:46:19Z
TXN,2006-01-23,19.68,19.86,19.32,19.86,28021549,31.7,31.99,31.11,31.99,17398200,2026-02-03T03:46:19Z
TXN,2006-01-24,19.06,20.15,19.01,19.56,42152323,30.69,32.46,30.61,31.51,26171800,2026-02-03T03:46:19Z
TXN,2006-01-25,18.56,19.14,18.32,19.06,52060071,29.89,30.82,29.5,30.69,32323400,2026-02-03T03:46:19Z
TXN,2006-01-26,18.73,18.81,18.33,18.69,36598512,30.16,30.3,29.52,30.1,22723600,2026-02-03T03:46:19Z
TXN,2006-01-27,18.79,19.27,18.71,18.77,27685050,30.23,31,30.1,30.2,17206400,2026-02-03T03:46:19Z
TXN,2006-01-30,18.68,19.11,18.41,18.99,31292788,30.05,30.75,29.62,30.55,19448600,2026-02-03T03:46:19Z
TXN,2006-01-31,18.17,18.74,18.16,18.68,28587688,29.23,30.15,29.22,30.06,17767400,2026-02-03T03:46:19Z
TXN,2006-02-01,18.5,18.55,17.85,18.07,37190701,29.77,29.85,28.72,29.08,23114200,2026-02-03T03:46:19Z
TXN,2006-02-02,18.5,18.86,18.46,18.64,31878888,29.76,30.34,29.7,29.99,19812900,2026-02-03T03:46:19Z
