ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
UNH,2006-01-03,47.63,48.3,46.75,48.3,10460592,61.73,62.6,60.6,62.6,8070500,2026-03-13T02:47:14Z
UNH,2006-01-04,47.74,47.99,47.53,47.75,7241474,61.88,62.2,61.6,61.89,5586900,2026-03-13T02:47:14Z
UNH,2006-01-05,47.59,48.51,47.44,48.01,7291636,61.69,62.88,61.49,62.23,5625600,2026-03-13T02:47:14Z
UNH,2006-01-06,48.53,48.55,47.86,48.41,7229685,62.9,62.93,62.03,62.75,5577800,2026-03-13T02:47:14Z
UNH,2006-01-09,47.37,48.53,47.26,48.53,11445019,61.4,62.9,61.26,62.9,8830000,2026-03-13T02:47:14Z
UNH,2006-01-10,48.3,48.43,47.4,47.41,8085529,62.61,62.77,61.44,61.45,6238100,2026-03-13T02:47:14Z
UNH,2006-01-11,47.72,48.37,47.54,48.3,7153587,61.85,62.7,61.62,62.6,5519100,2026-03-13T02:47:14Z
UNH,2006-01-12,48.24,48.54,47.63,47.76,6965520,62.53,62.91,61.74,61.9,5374000,2026-03-13T02:47:14Z
UNH,2006-01-13,47.02,47.33,46.07,47.33,14265056,60.94,61.34,59.71,61.34,11005700,2026-03-13T02:47:14Z
UNH,2006-01-17,47.06,47.06,46.28,46.45,8208138,61,61,59.98,60.2,6332700,2026-03-13T02:47:14Z
UNH,2006-01-18,47.11,47.65,46.74,47.06,9244539,61.06,61.76,60.58,61,7132300,2026-03-13T02:47:14Z
UNH,2006-01-19,47.43,47.91,45.74,47.3,17355603,61.47,62.1,59.29,61.31,13390100,2026-03-13T02:47:14Z
UNH,2006-01-20,45.89,47.37,45.82,47.37,13080629,59.48,61.4,59.39,61.4,10091900,2026-03-13T02:47:14Z
UNH,2006-01-23,44.74,46.16,44.53,45.91,12457453,57.99,59.83,57.72,59.51,9611100,2026-03-13T02:47:14Z
UNH,2006-01-24,44.99,45.29,44.79,44.79,10694163,58.31,58.7,58.05,58.05,8250700,2026-03-13T02:47:14Z
UNH,2006-01-25,44.73,45.43,44.32,45.31,8463874,57.98,58.88,57.45,58.73,6530000,2026-03-13T02:47:14Z
UNH,2006-01-26,44.66,45.15,44.07,44.74,12900982,57.89,58.52,57.12,57.99,9953300,2026-03-13T02:47:14Z
UNH,2006-01-27,45.16,45.35,44.76,44.93,8320528,58.54,58.78,58.01,58.24,6419400,2026-03-13T02:47:14Z
UNH,2006-01-30,44.57,45.29,44.48,45.06,8735543,57.77,58.7,57.65,58.4,6739600,2026-03-13T02:47:14Z
UNH,2006-01-31,45.84,46.25,44.76,44.88,13809588,59.42,59.95,58.01,58.17,10654300,2026-03-13T02:47:14Z
UNH,2006-02-01,45.91,46.1,45.56,45.75,9750823,59.5,59.75,59.05,59.3,7522900,2026-03-13T02:47:14Z
UNH,2006-02-02,45.8,46.09,45.33,46.08,8081766,59.36,59.74,58.75,59.73,6235200,2026-03-13T02:47:14Z
UNH,2006-02-03,46,46.21,45.59,45.8,6989368,59.62,59.89,59.09,59.36,5392400,2026-03-13T02:47:14Z
UNH,2006-02-06,45.16,45.98,44.94,45.78,6340395,58.54,59.6,58.25,59.34,4891700,2026-03-13T02:47:14Z
UNH,2006-02-07,44.54,45.58,44.52,45.13,6708497,57.73,59.08,57.7,58.5,5175700,2026-03-13T02:47:14Z
UNH,2006-02-08,44.43,44.81,42.63,44.38,9487836,57.59,58.08,55.25,57.52,7320000,2026-03-13T02:47:14Z
UNH,2006-02-09,44.81,45.67,44.78,45.13,7450032,58.08,59.19,58.04,58.5,5747800,2026-03-13T02:47:14Z
UNH,2006-02-10,45.21,45.35,44.29,44.86,5474951,58.6,58.78,57.4,58.15,4224000,2026-03-13T02:47:14Z
UNH,2006-02-13,45.2,45.35,44.88,45.13,4351833,58.59,58.78,58.17,58.5,3357500,2026-03-13T02:47:14Z
UNH,2006-02-14,45.87,45.88,45.13,45.13,6185112,59.45,59.47,58.5,58.5,4771900,2026-03-13T02:47:14Z
UNH,2006-02-15,45.52,46.1,45.3,45.83,5619344,59,59.75,58.72,59.4,4335400,2026-03-13T02:47:14Z
UNH,2006-02-16,45.13,45.73,44.85,45.71,6594302,58.5,59.27,58.13,59.24,5087600,2026-03-13T02:47:14Z
UNH,2006-02-17,44.75,45.06,44.62,44.94,9157710,58,58.4,57.83,58.25,7065300,2026-03-13T02:47:14Z
UNH,2006-02-21,44.88,45.55,44.7,45.37,6077396,58.17,59.04,57.94,58.8,4688800,2026-03-13T02:47:14Z
UNH,2006-02-22,45.94,46.14,45.01,45.01,6865842,59.54,59.8,58.34,58.34,5297100,2026-03-13T02:47:14Z
UNH,2006-02-23,45.87,46.2,45.81,46.2,6185889,59.45,59.88,59.37,59.88,4772500,2026-03-13T02:47:14Z
UNH,2006-02-24,45.43,45.87,45.14,45.6,6931818,58.89,59.46,58.51,59.1,5348000,2026-03-13T02:47:14Z
UNH,2006-02-27,45.47,45.64,45.38,45.52,4208611,58.94,59.16,58.82,59,3247000,2026-03-13T02:47:14Z
UNH,2006-02-28,44.93,45.54,44.65,45.47,6871158,58.23,59.02,57.87,58.93,5301200,2026-03-13T02:47:14Z
UNH,2006-03-01,45.08,45.1,44.62,44.79,6856382,58.43,58.46,57.84,58.05,5289800,2026-03-13T02:47:14Z
