ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
UNP,2006-01-03,13.26,13.32,13.07,13.32,13095382,80.15,80.5,79,80.5,2167200,2026-03-03T03:47:42Z
UNP,2006-01-04,13.25,13.32,13.23,13.24,7567680,80.08,80.49,79.92,80,1252400,2026-03-03T03:47:42Z
UNP,2006-01-05,13.1,13.24,13.06,13.23,8501887,79.16,79.97,78.92,79.95,1407000,2026-03-03T03:47:42Z
UNP,2006-01-06,13,13.12,12.85,13.1,10323127,78.58,79.28,77.62,79.16,1708400,2026-03-03T03:47:42Z
UNP,2006-01-09,13.18,13.2,13.05,13.06,6883689,79.67,79.75,78.85,78.93,1139200,2026-03-03T03:47:42Z
UNP,2006-01-10,13.16,13.22,13.08,13.17,6575501,79.5,79.86,79.05,79.57,1088200,2026-03-03T03:47:42Z
UNP,2006-01-11,13.21,13.21,13.12,13.2,3164494,79.8,79.8,79.26,79.75,523700,2026-03-03T03:47:42Z
UNP,2006-01-12,13.09,13.2,13.06,13.18,4118605,79.12,79.74,78.89,79.65,681600,2026-03-03T03:47:42Z
UNP,2006-01-13,13.03,13.19,13.01,13.13,4472080,78.73,79.7,78.64,79.34,740100,2026-03-03T03:47:42Z
UNP,2006-01-17,13.02,13.07,12.91,12.92,4117998,78.7,78.96,78,78.05,681500,2026-03-03T03:47:42Z
UNP,2006-01-18,13.24,13.25,12.94,13,8187682,80,80.08,78.2,78.53,1355000,2026-03-03T03:47:42Z
UNP,2006-01-19,14.07,14.09,13.07,13.07,29352327,85.02,85.12,79,79,4857600,2026-03-03T03:47:42Z
UNP,2006-01-20,13.87,14,13.77,13.97,17553642,83.82,84.59,83.2,84.4,2905000,2026-03-03T03:47:42Z
UNP,2006-01-23,14.21,14.21,13.87,13.87,15303990,85.84,85.84,83.83,83.83,2532700,2026-03-03T03:47:42Z
UNP,2006-01-24,14.28,14.6,14.16,14.27,19773710,86.3,88.22,85.55,86.25,3272400,2026-03-03T03:47:42Z
UNP,2006-01-25,14.12,14.44,14.08,14.35,13766159,85.33,87.28,85.09,86.7,2278200,2026-03-03T03:47:42Z
UNP,2006-01-26,14.28,14.33,14.15,14.22,10853020,86.29,86.6,85.5,85.9,1796100,2026-03-03T03:47:42Z
UNP,2006-01-27,14.42,14.48,14.19,14.3,12885109,87.16,87.48,85.76,86.4,2132400,2026-03-03T03:47:42Z
UNP,2006-01-30,14.61,14.64,14.37,14.39,8032986,88.3,88.45,86.8,86.97,1329400,2026-03-03T03:47:42Z
UNP,2006-01-31,14.64,14.66,14.4,14.53,13430185,88.46,88.57,87.02,87.8,2222600,2026-03-03T03:47:42Z
UNP,2006-02-01,14.43,14.67,14.34,14.4,11760617,87.22,88.64,86.64,87,1946300,2026-03-03T03:47:42Z
UNP,2006-02-02,14.23,14.44,14.19,14.42,9840898,86,87.28,85.76,87.15,1628600,2026-03-03T03:47:42Z
UNP,2006-02-03,14.18,14.27,14.11,14.2,7596083,85.67,86.22,85.24,85.82,1257100,2026-03-03T03:47:42Z
UNP,2006-02-06,14.18,14.27,14.1,14.15,7130789,85.7,86.21,85.21,85.5,1180100,2026-03-03T03:47:42Z
UNP,2006-02-07,14.01,14.22,13.96,14.16,5550098,84.66,85.95,84.36,85.55,918500,2026-03-03T03:47:42Z
UNP,2006-02-08,14.08,14.13,13.95,13.98,6745321,85.08,85.35,84.32,84.45,1116300,2026-03-03T03:47:42Z
