ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
UPS,2006-01-03,38.77,39.07,37.82,39.07,6928349,75.55,76.14,73.7,76.14,3555000,2026-02-21T03:46:41Z
UPS,2006-01-04,38.82,39.05,38.66,38.82,5765830,75.65,76.1,75.35,75.65,2958500,2026-02-21T03:46:41Z
UPS,2006-01-05,38.83,39.03,38.72,38.82,4480138,75.68,76.06,75.47,75.65,2298800,2026-02-21T03:46:41Z
UPS,2006-01-06,38.6,39,38.26,38.96,5838329,75.23,76,74.57,75.93,2995700,2026-02-21T03:46:41Z
UPS,2006-01-09,39.07,39.17,38.53,38.59,5844949,76.15,76.34,75.1,75.21,2999100,2026-02-21T03:46:41Z
UPS,2006-01-10,38.86,39.07,38.74,39.07,4129139,75.74,76.15,75.51,76.15,2118700,2026-02-21T03:46:41Z
UPS,2006-01-11,38.66,38.98,38.55,38.98,3581886,75.35,75.96,75.12,75.96,1837900,2026-02-21T03:46:41Z
UPS,2006-01-12,38.31,38.5,38.11,38.45,5406641,74.67,75.03,74.28,74.93,2774200,2026-02-21T03:46:41Z
UPS,2006-01-13,38.23,38.6,38.1,38.47,3404727,74.5,75.23,74.25,74.98,1747000,2026-02-21T03:46:41Z
UPS,2006-01-17,38.44,38.73,38.32,38.48,5579895,74.92,75.49,74.69,75,2863100,2026-02-21T03:46:41Z
UPS,2006-01-18,38.79,38.95,38.31,38.45,4623373,75.59,75.91,74.67,74.93,2372300,2026-02-21T03:46:41Z
UPS,2006-01-19,39.29,39.5,38.74,38.89,4924878,76.58,76.99,75.5,75.79,2527000,2026-02-21T03:46:41Z
UPS,2006-01-20,38.61,39.5,38.48,39.35,8318877,75.24,76.98,75,76.69,4268500,2026-02-21T03:46:41Z
UPS,2006-01-23,38.59,38.85,38.29,38.83,4688078,75.21,75.71,74.63,75.68,2405500,2026-02-21T03:46:41Z
UPS,2006-01-24,39.07,39.25,38.62,38.73,6303331,76.15,76.5,75.26,75.49,3234300,2026-02-21T03:46:41Z
UPS,2006-01-25,39.39,39.48,38.89,39.28,7069833,76.76,76.94,75.8,76.55,3627600,2026-02-21T03:46:41Z
UPS,2006-01-26,38.77,39.35,38.1,39.35,13353882,75.55,76.7,74.26,76.7,6852000,2026-02-21T03:46:41Z
UPS,2006-01-27,38.69,38.91,38.48,38.89,7976261,75.4,75.84,74.99,75.8,4092700,2026-02-21T03:46:41Z
UPS,2006-01-30,38.43,38.85,38.43,38.77,4460061,74.9,75.71,74.9,75.55,2288500,2026-02-21T03:46:41Z
UPS,2006-01-31,38.44,38.71,38.29,38.44,5010046,74.91,75.45,74.62,74.91,2570700,2026-02-21T03:46:41Z
UPS,2006-02-01,38.36,38.46,38.11,38.45,4580889,74.76,74.96,74.27,74.93,2350500,2026-02-21T03:46:41Z
UPS,2006-02-02,37.82,38.53,37.82,38.35,4606424,73.71,75.1,73.7,74.74,2363600,2026-02-21T03:46:41Z
UPS,2006-02-03,37.49,37.61,37.33,37.46,5159129,73.06,73.3,72.75,73,2647200,2026-02-21T03:46:41Z
UPS,2006-02-06,37.71,37.86,37.43,37.49,3468461,73.49,73.79,72.95,73.06,1779700,2026-02-21T03:46:41Z
UPS,2006-02-07,37.35,37.89,37.32,37.77,4902259,72.79,73.85,72.74,73.62,2515400,2026-02-21T03:46:41Z
UPS,2006-02-08,37.91,37.97,37.35,37.35,4075546,73.88,74,72.8,72.8,2091200,2026-02-21T03:46:41Z
UPS,2006-02-09,37.85,37.92,37.67,37.92,4299275,73.77,73.9,73.42,73.9,2206000,2026-02-21T03:46:41Z
UPS,2006-02-10,38.37,38.62,37.86,37.92,5575227,74.78,75.26,73.78,73.9,2860700,2026-02-21T03:46:41Z
UPS,2006-02-13,38.5,38.63,38.16,38.17,3233813,75.03,75.28,74.36,74.4,1659300,2026-02-21T03:46:41Z
UPS,2006-02-14,38.96,39.14,38.49,38.61,6803416,75.92,76.28,75.02,75.25,3490900,2026-02-21T03:46:41Z
UPS,2006-02-15,39.15,39.18,38.63,38.96,4171619,76.3,76.35,75.28,75.93,2140500,2026-02-21T03:46:41Z
UPS,2006-02-16,39.24,39.29,38.93,39.14,4110122,76.1,76.19,75.5,75.9,2119500,2026-02-21T03:46:41Z
UPS,2006-02-17,39.32,39.36,39.09,39.35,4321888,76.25,76.32,75.81,76.3,2228700,2026-02-21T03:46:41Z
