ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
USB,2006-01-03,15.93,15.96,15.64,15.81,17934468,30.28,30.33,29.72,30.05,9436800,2026-01-03T03:47:03Z
USB,2006-01-04,15.99,16.15,15.93,15.95,10692098,30.39,30.69,30.28,30.32,5626000,2026-01-03T03:47:03Z
USB,2006-01-05,16.07,16.15,15.95,15.96,8794865,30.54,30.7,30.32,30.33,4627700,2026-01-03T03:47:03Z
USB,2006-01-06,16.2,16.23,15.98,16.18,8223191,30.78,30.85,30.38,30.75,4326900,2026-01-03T03:47:03Z
USB,2006-01-09,16.2,16.29,16.11,16.16,7189737,30.79,30.95,30.61,30.72,3783100,2026-01-03T03:47:03Z
USB,2006-01-10,16.13,16.16,15.99,16.15,6589345,30.65,30.72,30.39,30.7,3467200,2026-01-03T03:47:03Z
USB,2006-01-11,16.06,16.15,15.97,16.12,7202250,30.52,30.69,30.35,30.63,3789700,2026-01-03T03:47:03Z
USB,2006-01-12,15.99,16.06,15.92,16.06,8788388,30.39,30.52,30.25,30.52,4624300,2026-01-03T03:47:03Z
USB,2006-01-13,16.1,16.13,15.97,16.07,6235868,30.59,30.66,30.35,30.55,3281200,2026-01-03T03:47:03Z
USB,2006-01-17,15.8,16.05,15.75,15.79,10824233,30.03,30.5,29.93,30,5695500,2026-01-03T03:47:03Z
USB,2006-01-18,15.75,15.89,15.63,15.8,8787279,29.93,30.2,29.7,30.03,4623700,2026-01-03T03:47:03Z
USB,2006-01-19,15.6,15.79,15.57,15.77,20164930,29.64,30.01,29.6,29.97,10610400,2026-01-03T03:47:03Z
USB,2006-01-20,15.28,15.58,15.26,15.57,19779612,29.03,29.61,29.01,29.6,10407700,2026-01-03T03:47:03Z
USB,2006-01-23,15.34,15.4,15.25,15.31,10758611,29.16,29.26,28.99,29.1,5661000,2026-01-03T03:47:03Z
USB,2006-01-24,15.35,15.49,15.29,15.43,10523349,29.18,29.44,29.06,29.32,5537200,2026-01-03T03:47:03Z
USB,2006-01-25,15.35,15.41,15.31,15.36,8652536,29.17,29.29,29.1,29.2,4552800,2026-01-03T03:47:03Z
USB,2006-01-26,15.58,15.82,15.46,15.65,11282823,29.61,30.07,29.38,29.74,5936800,2026-01-03T03:47:03Z
USB,2006-01-27,15.66,15.73,15.52,15.59,8020248,29.77,29.89,29.5,29.63,4220100,2026-01-03T03:47:03Z
USB,2006-01-30,15.62,15.69,15.52,15.65,8358348,29.69,29.81,29.5,29.75,4398000,2026-01-03T03:47:03Z
USB,2006-01-31,15.74,15.77,15.56,15.61,11155457,29.91,29.97,29.58,29.67,5869800,2026-01-03T03:47:03Z
USB,2006-02-01,15.7,15.74,15.6,15.69,10196478,29.83,29.92,29.65,29.82,5365200,2026-01-03T03:47:03Z
USB,2006-02-02,15.53,15.68,15.45,15.68,7144292,29.52,29.8,29.37,29.8,3759200,2026-01-03T03:47:03Z
USB,2006-02-03,15.42,15.59,15.34,15.4,9035296,29.3,29.63,29.16,29.26,4754200,2026-01-03T03:47:03Z
USB,2006-02-06,15.47,15.51,15.4,15.42,6267038,29.41,29.48,29.27,29.3,3297600,2026-01-03T03:47:03Z
USB,2006-02-07,15.44,15.5,15.36,15.4,8914050,29.35,29.45,29.2,29.27,4690400,2026-01-03T03:47:03Z
USB,2006-02-08,15.56,15.6,15.39,15.41,6094469,29.57,29.65,29.25,29.28,3206800,2026-01-03T03:47:03Z
USB,2006-02-09,15.59,15.71,15.5,15.56,6617107,29.62,29.86,29.45,29.57,3481800,2026-01-03T03:47:03Z
USB,2006-02-10,15.76,15.79,15.47,15.5,8521392,29.96,30,29.4,29.45,4483800,2026-01-03T03:47:03Z
USB,2006-02-13,15.75,15.78,15.69,15.72,5647852,29.94,29.98,29.81,29.87,2971800,2026-01-03T03:47:03Z
USB,2006-02-14,15.88,16.01,15.72,15.77,10401706,30.18,30.42,29.88,29.97,5473200,2026-01-03T03:47:03Z
USB,2006-02-15,15.95,16.03,15.8,15.82,8226450,30.32,30.46,30.02,30.06,4328600,2026-01-03T03:47:03Z
USB,2006-02-16,16.02,16.04,15.86,15.88,10607574,30.45,30.48,30.14,30.18,5581500,2026-01-03T03:47:03Z
USB,2006-02-17,16.03,16.06,15.95,15.95,7719555,30.47,30.53,30.31,30.31,4061900,2026-01-03T03:47:03Z
