ticker,tradeDate,clsPx,hiPx,loPx,open,stockVolume,unadjClsPx,unadjHiPx,unadjLoPx,unadjOpen,unadjStockVolume,updatedAt
XOM,2006-01-03,29.43,29.43,28.4,28.4,47435354,58.47,58.47,56.42,56.42,23873200,2026-02-14T03:46:55Z
XOM,2006-01-04,29.48,29.61,29.22,29.49,37924359,58.57,58.84,58.06,58.6,19086500,2026-02-14T03:46:55Z
XOM,2006-01-05,29.33,29.6,29.13,29.48,34093216,58.28,58.82,57.87,58.57,17158400,2026-02-14T03:46:55Z
XOM,2006-01-06,29.91,29.98,29.57,29.57,34513743,59.43,59.56,58.76,58.76,17370000,2026-02-14T03:46:55Z
XOM,2006-01-09,29.89,30.13,29.83,30.1,34452545,59.4,59.87,59.27,59.8,17339200,2026-02-14T03:46:55Z
XOM,2006-01-10,30.13,30.28,29.77,29.79,35593355,59.86,60.16,59.16,59.2,17913400,2026-02-14T03:46:55Z
XOM,2006-01-11,30.33,30.44,29.86,30.04,34428447,60.27,60.49,59.32,59.68,17327100,2026-02-14T03:46:55Z
XOM,2006-01-12,30.02,30.7,30,30.45,41985144,59.64,61,59.6,60.5,21130200,2026-02-14T03:46:55Z
XOM,2006-01-13,30.68,30.7,29.95,29.95,33929314,60.97,60.99,59.51,59.51,17075900,2026-02-14T03:46:55Z
XOM,2006-01-17,30.97,31.07,30.74,30.83,36147731,61.54,61.74,61.08,61.26,18192400,2026-02-14T03:46:55Z
XOM,2006-01-18,30.54,31.08,30.26,31.06,32252959,60.68,61.75,60.12,61.72,16232200,2026-02-14T03:46:55Z
XOM,2006-01-19,30.95,31.05,30.41,30.54,37480276,61.5,61.7,60.42,60.68,18863000,2026-02-14T03:46:55Z
XOM,2006-01-20,30.46,31.23,30.37,31.11,51650836,60.53,62.06,60.35,61.81,25994800,2026-02-14T03:46:55Z
XOM,2006-01-23,30.8,31.02,30.26,30.46,38837202,61.2,61.64,60.12,60.53,19545900,2026-02-14T03:46:55Z
XOM,2006-01-24,30.68,30.97,30.57,30.65,35914460,60.96,61.53,60.75,60.9,18075000,2026-02-14T03:46:55Z
XOM,2006-01-25,30.3,31.03,29.97,30.87,48701062,60.21,61.65,59.55,61.34,24510200,2026-02-14T03:46:55Z
XOM,2006-01-26,30.17,30.71,29.98,30.59,48805495,59.95,61.02,59.57,60.79,24562800,2026-02-14T03:46:55Z
XOM,2006-01-27,30.85,30.97,30.35,30.38,42536344,61.29,61.53,60.31,60.36,21407600,2026-02-14T03:46:55Z
XOM,2006-01-30,31.76,32.19,31.6,31.65,58504002,63.11,63.96,62.79,62.88,29443800,2026-02-14T03:46:55Z
XOM,2006-01-31,31.58,31.93,31.35,31.58,48221253,62.75,63.45,62.3,62.75,24268700,2026-02-14T03:46:55Z
XOM,2006-02-01,31.18,31.75,31.16,31.59,40895252,61.95,63.08,61.91,62.77,20581700,2026-02-14T03:46:55Z
XOM,2006-02-02,31.18,31.35,30.81,31.15,42527946,61.95,62.29,61.21,61.9,21403400,2026-02-14T03:46:55Z
XOM,2006-02-03,30.9,31.11,30.72,31.03,37412845,61.39,61.82,61.03,61.65,18829100,2026-02-14T03:46:55Z
XOM,2006-02-06,31.19,31.51,31.03,31.05,37282301,61.97,62.61,61.65,61.7,18763400,2026-02-14T03:46:55Z
XOM,2006-02-07,30.47,31.13,30.4,31,42000222,60.55,61.85,60.4,61.59,21137800,2026-02-14T03:46:55Z
XOM,2006-02-08,30.55,30.68,30.2,30.36,43459569,60.39,60.64,59.68,60,21988500,2026-02-14T03:46:55Z
XOM,2006-02-09,30.32,31.06,30.23,30.64,44579045,59.92,61.39,59.74,60.55,22554900,2026-02-14T03:46:55Z
XOM,2006-02-10,30.07,30.83,29.65,30.38,51756364,59.43,60.93,58.6,60.05,26186300,2026-02-14T03:46:55Z
XOM,2006-02-13,30.15,30.53,29.91,30.07,33277989,59.6,60.35,59.11,59.43,16837100,2026-02-14T03:46:55Z
XOM,2006-02-14,30.13,30.31,29.75,29.98,41552081,59.55,59.9,58.8,59.26,21023400,2026-02-14T03:46:55Z
XOM,2006-02-15,30.24,30.33,29.88,30.26,42834483,59.76,59.95,59.05,59.81,21672200,2026-02-14T03:46:55Z
XOM,2006-02-16,30.48,30.48,30.11,30.31,39643098,60.25,60.25,59.51,59.9,20057500,2026-02-14T03:46:55Z
XOM,2006-02-17,30.64,30.7,30.46,30.54,37946082,60.55,60.68,60.21,60.37,19198900,2026-02-14T03:46:55Z
XOM,2006-02-21,30.74,31.02,30.69,30.86,34888027,60.76,61.3,60.65,61,17651700,2026-02-14T03:46:55Z
XOM,2006-02-22,30.49,30.73,30.34,30.66,31051526,60.26,60.74,59.96,60.6,15710600,2026-02-14T03:46:55Z
XOM,2006-02-23,30.27,30.63,30.17,30.36,35101167,59.83,60.54,59.63,60.01,17759500,2026-02-14T03:46:55Z
XOM,2006-02-24,30.57,30.73,30.45,30.53,26071856,60.42,60.73,60.18,60.34,13191100,2026-02-14T03:46:55Z
XOM,2006-02-27,30.32,30.62,30.31,30.46,24809619,59.92,60.52,59.9,60.2,12552500,2026-02-14T03:46:55Z
XOM,2006-02-28,30.04,30.23,29.9,30.11,37934981,59.37,59.75,59.1,59.52,19193300,2026-02-14T03:46:55Z
XOM,2006-03-01,30.53,30.63,30.12,30.15,31474865,60.34,60.54,59.53,59.59,15924800,2026-02-14T03:46:55Z
XOM,2006-03-02,30.79,30.85,30.35,30.38,38996751,60.85,60.98,59.98,60.04,19730500,2026-02-14T03:46:55Z
XOM,2006-03-03,30.85,31.12,30.77,30.78,36015020,60.98,61.5,60.81,60.83,18221900,2026-02-14T03:46:55Z
XOM,2006-03-06,30.35,30.91,30.33,30.84,32204636,59.98,61.09,59.94,60.95,16294000,2026-02-14T03:46:55Z
XOM,2006-03-07,30.28,30.37,30.08,30.31,36908551,59.85,60.02,59.45,59.9,18674000,2026-02-14T03:46:55Z
XOM,2006-03-08,30.21,30.57,29.93,30.08,43798020,59.71,60.41,59.15,59.45,22159700,2026-02-14T03:46:55Z
XOM,2006-03-09,29.81,30.36,29.78,30.33,43142222,58.92,60.01,58.86,59.94,21827900,2026-02-14T03:46:55Z
XOM,2006-03-10,29.94,29.96,29.57,29.81,40029013,59.18,59.21,58.44,58.92,20252800,2026-02-14T03:46:55Z
XOM,2006-03-13,30.18,30.34,30.08,30.2,33373299,59.64,59.96,59.45,59.68,16885300,2026-02-14T03:46:55Z
XOM,2006-03-14,30.77,30.8,30.07,30.13,36377294,60.81,60.87,59.44,59.55,18405200,2026-02-14T03:46:55Z
XOM,2006-03-15,30.87,30.96,30.57,30.7,35574905,61.02,61.2,60.41,60.67,17999200,2026-02-14T03:46:55Z
XOM,2006-03-16,31.19,31.33,30.79,30.85,37506304,61.64,61.92,60.85,60.97,18976400,2026-02-14T03:46:55Z
XOM,2006-03-17,30.89,31.27,30.86,31.27,53192346,61.05,61.8,60.99,61.8,26912800,2026-02-14T03:46:55Z
XOM,2006-03-20,30.69,31.04,30.52,30.75,33156055,60.66,61.35,60.33,60.77,16775400,2026-02-14T03:46:55Z
XOM,2006-03-21,30.72,30.98,30.54,30.69,40977612,60.72,61.23,60.37,60.66,20732700,2026-02-14T03:46:55Z
XOM,2006-03-22,30.89,31.11,30.67,30.67,31823740,61.05,61.49,60.62,60.62,16101300,2026-02-14T03:46:55Z
XOM,2006-03-23,30.99,31.04,30.82,30.92,30501867,61.25,61.35,60.92,61.11,15432500,2026-02-14T03:46:55Z
XOM,2006-03-24,30.95,31.21,30.82,30.94,30546754,61.17,61.69,60.91,61.15,15455200,2026-02-14T03:46:55Z
XOM,2006-03-27,31.01,31.1,30.83,30.92,23400835,61.29,61.47,60.93,61.11,11839700,2026-02-14T03:46:55Z
XOM,2006-03-28,30.84,31.31,30.79,31.09,39973919,60.95,61.89,60.86,61.45,20224900,2026-02-14T03:46:55Z
XOM,2006-03-29,31,31.12,30.84,30.84,37898774,61.28,61.5,60.95,60.95,19175000,2026-02-14T03:46:55Z
XOM,2006-03-30,30.92,31.23,30.86,30.99,31166184,61.12,61.73,61,61.25,15768600,2026-02-14T03:46:55Z
XOM,2006-03-31,30.79,30.95,30.77,30.81,38165602,60.86,61.18,60.82,60.9,19310000,2026-02-14T03:46:55Z
XOM,2006-04-03,30.88,31.36,30.8,31.05,33003274,61.03,61.98,60.87,61.36,16698100,2026-02-14T03:46:55Z
XOM,2006-04-04,31.24,31.37,30.58,30.69,29407077,61.75,62.01,60.43,60.65,14878600,2026-02-14T03:46:55Z
XOM,2006-04-05,31.45,31.46,31.14,31.18,31173485,62.16,62.18,61.55,61.63,15772300,2026-02-14T03:46:55Z
XOM,2006-04-06,31.41,31.72,31.17,31.17,30455617,62.09,62.7,61.6,61.6,15409100,2026-02-14T03:46:55Z
XOM,2006-04-07,31.03,31.67,30.98,31.25,31898021,61.33,62.59,61.23,61.77,16138900,2026-02-14T03:46:55Z
XOM,2006-04-10,31.34,31.42,31.12,31.32,25407520,61.94,62.1,61.5,61.9,12855000,2026-02-14T03:46:55Z
XOM,2006-04-11,31.37,31.74,31.27,31.47,29106445,62,62.73,61.8,62.2,14726500,2026-02-14T03:46:55Z
XOM,2006-04-12,31.1,31.5,30.96,31.39,27904829,61.46,62.26,61.2,62.05,14118500,2026-02-14T03:46:55Z
XOM,2006-04-13,31.15,31.26,30.86,31.01,22850194,61.56,61.78,61,61.29,11561100,2026-02-14T03:46:55Z
XOM,2006-04-17,31.39,31.47,31.17,31.34,22865227,62.05,62.19,61.61,61.94,11568700,2026-02-14T03:46:55Z
XOM,2006-04-18,32.15,32.28,31.6,31.62,44111085,63.54,63.8,62.45,62.49,22318100,2026-02-14T03:46:55Z
XOM,2006-04-19,32.53,32.62,31.84,31.93,41353745,64.3,64.48,62.93,63.1,20923000,2026-02-14T03:46:55Z
XOM,2006-04-20,32.34,32.78,32.04,32.38,45765142,63.92,64.78,63.33,64,23155000,2026-02-14T03:46:55Z
XOM,2006-04-21,32.89,32.89,32.43,32.48,43016305,65,65,64.1,64.2,21764200,2026-02-14T03:46:55Z
XOM,2006-04-24,32.59,32.82,32.5,32.77,32341178,64.41,64.87,64.24,64.76,16363100,2026-02-14T03:46:55Z
XOM,2006-04-25,32.36,32.88,31.94,32.81,43050829,63.95,64.98,63.13,64.85,21781700,2026-02-14T03:46:55Z
XOM,2006-04-26,31.93,32.79,31.88,32.37,45883362,63.1,64.8,63.01,63.98,23214800,2026-02-14T03:46:55Z
XOM,2006-04-27,31.58,32.08,30.86,31.12,53979493,62.42,63.4,61,61.5,27311100,2026-02-14T03:46:55Z
XOM,2006-04-28,31.92,32.13,31.63,31.66,40727320,63.08,63.5,62.52,62.57,20606100,2026-02-14T03:46:55Z
XOM,2006-05-01,32.09,32.55,32.04,32.08,39076005,63.42,64.33,63.32,63.4,19770600,2026-02-14T03:46:55Z
XOM,2006-05-02,32.72,32.77,32.29,32.29,37481243,64.67,64.77,63.82,63.82,18963700,2026-02-14T03:46:55Z
XOM,2006-05-03,32.26,32.77,31.98,32.68,45670678,63.77,64.77,63.2,64.6,23107200,2026-02-14T03:46:55Z
XOM,2006-05-04,32.03,32.59,31.82,32.27,45833288,63.31,64.41,62.89,63.77,23189500,2026-02-14T03:46:55Z
XOM,2006-05-05,32.38,32.41,31.98,32.33,27474283,64,64.05,63.2,63.9,13900700,2026-02-14T03:46:55Z
XOM,2006-05-08,32.23,32.43,31.96,32.18,32770699,63.71,64.09,63.17,63.6,16580400,2026-02-14T03:46:55Z
XOM,2006-05-09,32.35,32.47,32.09,32.18,27731062,63.94,64.17,63.43,63.6,14030600,2026-02-14T03:46:55Z
XOM,2006-05-10,32.48,32.52,32.03,32.29,30289255,63.88,63.95,63,63.5,15402000,2026-02-14T03:46:55Z
XOM,2006-05-11,32.27,32.68,32.16,32.6,35447427,63.46,64.26,63.25,64.1,18024900,2026-02-14T03:46:55Z
XOM,2006-05-12,31.65,32.29,31.56,32.27,37761034,62.24,63.5,62.06,63.46,19201400,2026-02-14T03:46:55Z
XOM,2006-05-15,31.53,31.77,31.2,31.28,38384705,62,62.48,61.35,61.51,19518500,2026-02-14T03:46:55Z
XOM,2006-05-16,31.51,31.89,31.29,31.58,31134867,61.96,62.71,61.54,62.11,15832000,2026-02-14T03:46:55Z
XOM,2006-05-17,30.6,31.4,30.48,31.25,52747126,60.18,61.74,59.94,61.45,26821800,2026-02-14T03:46:55Z
XOM,2006-05-18,30.45,31.02,30.44,30.64,37504039,59.89,61,59.86,60.25,19070700,2026-02-14T03:46:55Z
XOM,2006-05-19,30.74,31.04,30.26,30.46,52475138,60.45,61.04,59.5,59.9,26683500,2026-02-14T03:46:55Z
XOM,2006-05-22,30.91,31.23,30.29,30.48,45474132,60.78,61.41,59.56,59.95,23123500,2026-02-14T03:46:55Z
XOM,2006-05-23,30.71,31.38,30.61,31.17,38770254,60.39,61.72,60.19,61.3,19714600,2026-02-14T03:46:55Z
XOM,2006-05-24,30.56,30.97,30.08,30.51,48312134,60.1,60.9,59.15,60,24566600,2026-02-14T03:46:55Z
XOM,2006-05-25,31.28,31.49,30.77,30.91,38925222,61.52,61.93,60.52,60.78,19793400,2026-02-14T03:46:55Z
XOM,2006-05-26,31.31,31.38,30.95,31.29,26165301,61.58,61.71,60.86,61.53,13305000,2026-02-14T03:46:55Z
XOM,2006-05-30,30.61,31.43,30.57,31.37,35135528,60.2,61.8,60.11,61.7,17866300,2026-02-14T03:46:55Z
XOM,2006-05-31,30.97,31.05,30.39,30.62,50888716,60.91,61.06,59.76,60.21,25876800,2026-02-14T03:46:55Z
XOM,2006-06-01,31.07,31.1,30.52,30.71,35147053,61.11,61.15,60.01,60.4,17872200,2026-02-14T03:46:55Z
XOM,2006-06-02,31.35,31.45,30.77,31.27,34097089,61.65,61.85,60.51,61.5,17338300,2026-02-14T03:46:55Z
XOM,2006-06-05,30.54,31.63,30.51,31.58,40464274,60.05,62.2,60,62.1,20576000,2026-02-14T03:46:55Z
XOM,2006-06-06,30.71,31.18,30.46,30.51,47069336,60.4,61.31,59.9,60,23934600,2026-02-14T03:46:55Z
XOM,2006-06-07,29.91,30.69,29.9,30.66,55026862,58.82,60.36,58.8,60.3,27981000,2026-02-14T03:46:55Z
